scenario,ensemble,theta_deg,A2460,B2460,G2460,A2536,B2536,G2536,abs_ratio_G2460_over_G2536
legacy_chi_condensate,theta_fixed,35.3,-0.09302556646917765,-0.23480007771843206,-0.32782564418760973,-0.1035901924512769,0.13107790335828862,0.027487710907011714,11.926262077501192
legacy_chi_condensate,theta_fixed,35.3,-0.1229057696155419,-0.2636384665131045,-0.3865442361286464,-0.18848777343157214,0.20269107384905757,0.014203300417485437,27.215099643515142
legacy_chi_condensate,theta_fixed,35.3,-0.13720418988974567,-0.30718306027615383,-0.44438725016589953,-0.1599150134700802,0.17948743899279113,0.019572425522710934,22.704761331203084
legacy_chi_condensate,theta_fixed,35.3,-0.18509660106235357,-0.3548680046387936,-0.5399646057011471,-0.2727408065068743,0.2621400960429277,-0.010600710463946617,50.93664311817453
legacy_chi_condensate,theta_fixed,35.3,-0.12569776133490299,-0.2712037446299344,-0.3969015059648374,-0.20178167679296136,0.2182552999082556,0.01647362311529424,24.093152015621325
legacy_chi_condensate,theta_fixed,35.3,-0.13922754556891168,-0.2850716422752025,-0.42429918784411413,-0.1859846183136366,0.19090654218383593,0.004921923870199324,86.20596316271978
legacy_chi_condensate,theta_fixed,35.3,-0.12771315502589767,-0.26413841652875375,-0.39185157155465145,-0.1749516950842135,0.18139655042027739,0.006444855336063898,60.80067761365286
legacy_chi_condensate,theta_fixed,35.3,-0.13377106677727227,-0.29319615607691457,-0.42696722285418687,-0.1518410913894484,0.1668400577835318,0.014998966394083407,28.466443062544045
legacy_chi_condensate,theta_fixed,35.3,-0.17990115596965658,-0.3568077222493912,-0.5367088782190478,-0.2424197501436186,0.24103672812360846,-0.001383022020010144,388.0696550407138
legacy_chi_condensate,theta_fixed,35.3,-0.13935389264751485,-0.32189491520889807,-0.4612488078564129,-0.17575045567659253,0.2035196769749015,0.02776922129830897,16.610073537946167
legacy_chi_condensate,theta_fixed,35.3,-0.13372129224551255,-0.28740149465530906,-0.4211227869008216,-0.18457514916643256,0.1988733634139487,0.01429821424751615,29.452823940862267
legacy_chi_condensate,theta_fixed,35.3,-0.1539808566668643,-0.3258153497818267,-0.47979620644869103,-0.19843631262553332,0.21049456697235885,0.012058254346825531,39.789856197137084
legacy_chi_condensate,theta_fixed,35.3,-0.15123681414442808,-0.31089076024146206,-0.46212757438589014,-0.2200388470009342,0.2267590288560267,0.0067201818550924886,68.76712332355922
legacy_chi_condensate,theta_fixed,35.3,-0.14997664157171384,-0.3106735630307349,-0.46065020460244877,-0.22596316123363608,0.23465685680439113,0.008693695570755056,52.986696032012176
legacy_chi_condensate,theta_fixed,35.3,-0.13687808521603215,-0.3064468393871989,-0.44332492460323103,-0.20145638510683905,0.22610865945827027,0.02465227435143122,17.983124732566235
legacy_chi_condensate,theta_fixed,35.3,-0.17618969877909424,-0.35564893188978675,-0.5318386306688809,-0.17399269053622593,0.17607063586172583,0.0020779453254999025,255.94447752899063
legacy_chi_condensate,theta_fixed,35.3,-0.1535846432758222,-0.334371703723042,-0.48795634699886414,-0.15517727307184626,0.16936543175355814,0.014188158681711888,34.39180220248208
legacy_chi_condensate,theta_fixed,35.3,-0.13759159123916095,-0.306767366818053,-0.4443589580572139,-0.14170457189252708,0.1583857336884151,0.016681161795888022,26.638369886607677
legacy_chi_condensate,theta_fixed,35.3,-0.13719738124820577,-0.29549043315248685,-0.4326878144006926,-0.175732827912418,0.18974285619063747,0.014010028278219455,30.884149968017283
legacy_chi_condensate,theta_fixed,35.3,-0.08293746420153082,-0.2337186500800768,-0.3166561142816076,-0.11247975165555021,0.15890292750616175,0.04642317585061154,6.821078232574997
legacy_chi_condensate,theta_fixed,35.3,-0.146846018400246,-0.30219709613098167,-0.4490431145312277,-0.1775105384032172,0.18313324279623328,0.00562270439301607,79.86247953724575
legacy_chi_condensate,theta_fixed,35.3,-0.14694507745382582,-0.3135843474492752,-0.460529424903101,-0.24040707941079006,0.25719440705779617,0.016787327647006106,27.433158784223348
legacy_chi_condensate,theta_fixed,35.3,-0.10194313255785013,-0.23539286595547843,-0.33733599851332857,-0.21528966225790253,0.2492145713013513,0.033924909043448775,9.94360804567791
legacy_chi_condensate,theta_fixed,35.3,-0.12863927580696125,-0.28495042306169904,-0.41358969886866026,-0.14542455659888742,0.16149102870909604,0.01606647211020862,25.742409163108423
legacy_chi_condensate,theta_fixed,35.3,-0.11068180394107179,-0.2514153808689295,-0.3620971848100013,-0.11426975884513983,0.13012533427296183,0.015855575427821997,22.8372149884024
