M2_GeV2,s0_mix_GeV2,mb_GeV,ms_GeV,ss_GeV3,m0_sq_GeV2,mass_low_GeV,mass_high_GeV,theta_deg,theta_matrix_deg,Pi12_normalized,s01_GeV2,s02_GeV2,sqrt_s01_minus_m1_GeV,sqrt_s02_minus_m2_GeV,m_eff1_GeV,m_eff2_GeV,f1_GeV,f2_GeV,pole_fraction1,pole_fraction2,d5_fraction1,d5_fraction2,accepted
6.931588763238862,46.04675451678308,4.208650212293292,0.11543645147063236,-0.008599311666303702,0.8999973543681588,5.73545058438482,5.828464108396062,38.38533452383548,39.754193976913605,0.13964879130903118,43.8,43.175,0.882706258724899,0.7423044920037416,5.735664330188146,5.8288458329960875,0.5113756511979144,0.08700068256581947,0.7904263198985081,0.5662732205986337,0.0029435701658112484,0.03195625786507543,1
6.7081273524308145,44.102351084035206,4.145996272974685,0.09283087011253426,-0.010307686353751459,0.916672763576953,5.73424598375786,5.828740811921639,38.48927595743059,39.588482983564425,0.11463054681625416,45.525,44.0,1.012975666669818,0.8045087687891606,5.734090973790561,5.828494379840343,0.5580667513376473,0.0953269996512528,0.850162668267363,0.6235536497981082,0.0036076162059801744,0.0381795661269407,1
7.177463130537595,46.44451038559712,4.205789607698346,0.0945546869832367,-0.012620720900043876,0.7312161943433833,5.790516083511521,5.828642440739346,38.41642216031522,39.34872165993576,0.095323942633602,44.4,42.45,0.8728164160715517,0.686724010965424,5.790685893361808,5.828432196700708,0.5363395516852586,0.08450270602315176,0.7889039684389462,0.5164609327786207,0.0028441622407140606,0.03643527566960608,1
7.176697480486374,43.7319579084639,4.165444295942157,0.08609654011555877,-0.00972921437051389,0.5301575037685907,5.717766392787265,5.829250526579195,38.335202556246465,39.517341957878386,0.12538463239497138,43.625,42.6,0.8871560140241881,0.6976170222530929,5.717777508892001,5.828962661845164,0.5338575031937438,0.08916708895856568,0.7812123038504726,0.5314291430127014,0.0014536776878977733,0.01924198119594464,1
6.653793786933839,44.41401592054179,4.179925928376063,0.1117580192382182,-0.008197404154200864,1.3,5.750805619408423,5.828610554234221,38.49058450921646,39.91664448399938,0.1474347311930614,46.175,44.425,1.0444132880293644,0.8365976195590026,5.750831474189643,5.828549302531373,0.5479902692302331,0.09334573960711441,0.8573275971379255,0.6360783640039075,0.004502936842048527,0.04436856964039593,1
7.266391704541313,46.53785932648794,4.159489301291283,0.09971244235551964,-0.012508560638538058,0.8966008768581126,5.724435951827452,5.828452234941168,38.67537681546949,39.25401427308955,0.05768546980977872,42.875,42.9,0.8234644750269453,0.7213569225839578,5.7242387986708705,5.828731583766066,0.5222282838998454,0.09092343339221326,0.7581429310150173,0.529055196214088,0.0031196135142688257,0.0383819814198975,1
6.722802816773187,46.77085365633643,4.20000076196062,0.09116904783487885,-0.009309443821154229,0.4087744753314273,5.762969873053126,5.8284190909818,38.55162602474317,39.48007219333679,0.09732009676630873,45.5,42.575,0.982398908562895,0.696533016122129,5.762982234723556,5.828555975928273,0.5446719916884002,0.08488218017521765,0.841090061327259,0.5650028778313785,0.0015718932346100024,0.017946617242296015,1
6.97309683393979,45.49907084680486,4.164161646336957,0.09724935431287912,-0.01128847986426658,0.5671364330197693,5.779775198627933,5.828728577689093,38.444510388339815,39.40999200314812,0.09909127625735119,45.7,42.775,0.9804023138342961,0.7115313559832686,5.780029368174966,5.828443647271119,0.5629072626341804,0.0897245535191693,0.8334158302580738,0.5570519478231525,0.0020603091160533715,0.02554459180114396,1
7.04428849762525,45.93599771206499,4.1543684843182795,0.08287029549703132,-0.013827347244191037,1.2726854246916917,5.724739983571283,5.828342972729129,38.45768632399497,39.22150622735716,0.0770610121707233,43.35,44.05,0.8593317049813258,0.8086744296889172,5.7245869008856785,5.827849680405766,0.5335141176863084,0.09499877532384243,0.7871667484978622,0.5874315988939369,0.005555376123761688,0.06122214910045951,1
6.681144382322752,44.03373986082691,4.14267395812728,0.0718219862768842,-0.013234216449846936,0.7515173550365665,5.745714779894872,5.828986681555745,38.44193650324495,39.301775053939686,0.09105050166465144,45.3,43.675,0.9848126882906643,0.7797196971540856,5.745901980201394,5.8293589366327065,0.5655422581220854,0.09406571083688849,0.8505606567511743,0.6154437062051573,0.0038507313763759625,0.0418779854093813,1
6.796194465343588,44.92989626507725,4.177065090166297,0.09505571882044872,-0.013083704590732017,0.8060008762185299,5.770899207429342,5.828778431308705,38.62374408387684,39.471791969854074,0.0877037244062802,44.8,43.275,0.9223810048432624,0.7495952278870082,5.771087450000283,5.828746810631782,0.5450280647983023,0.08960990362005317,0.8272334007035363,0.5834306761709439,0.004144297879732754,0.04427751489653697,1
6.699865577995309,44.53705661697792,4.1588663928828495,0.07844989212705183,-0.010388438476231816,0.6911373857606987,5.729496492784499,5.82892009675389,38.588159614045175,39.455009378301966,0.09226489820975539,45.15,43.4,0.9898784781484373,0.7589475400463508,5.729355204397002,5.829232576414708,0.5536089306136756,0.09160592577102865,0.8440248717555654,0.5998813675425413,0.0028000480640714416,0.0307365646118637,1
7.227683527656597,43.84255978431719,4.186395191931279,0.09838640680239684,-0.010647978411729483,0.9752974762379918,5.750658263384272,5.828524887681332,38.51921600287269,39.651613173374685,0.11830306673981425,43.95,42.95,0.8788213542026169,0.7251000634430458,5.750317217359142,5.8289317932997475,0.5310520177911092,0.08839583867997587,0.7792710786017965,0.5302480143671192,0.00298176340769874,0.03736034377451266,1
6.854815346699474,42.49129364048428,4.151271414364299,0.0935424457832138,-0.01010933978484366,1.1097012887624471,5.757509745711343,5.828681330168668,38.595072834572626,39.761043006215324,0.12365035916676093,46.2,43.95,1.0395484414752287,0.8007982874182211,5.7577086723223,5.828588530804653,0.5684576695782212,0.0948547973103858,0.8512293789663788,0.6037729881129633,0.0037874050189509053,0.042326889516239016,1
7.006191984164218,45.99216952357409,4.17180539124301,0.08915578671904534,-0.010186095177681332,0.9355872490897743,5.768047172278337,5.828645667521055,38.52216832452416,39.40489319210511,0.09084446984731387,45.7,43.275,0.9921303401838921,0.749727991674658,5.767911712945962,5.828239755046074,0.5609819839330409,0.09058788690575563,0.8310183873567437,0.5640445400943531,0.0029736003340503584,0.0362093408371698,1
6.527179480313613,45.73788522759831,4.140421208053058,0.09675247889412725,-0.009102064837274638,0.7162469816648477,5.780914656117607,5.828917465149823,38.29857182285701,39.534696634656996,0.12710485544566,49.075,44.2,1.2244404383797454,0.8193905902880418,5.780940995103351,5.828995323433856,0.5969680254343184,0.096449445643079,0.9078029344127434,0.6537641301426999,0.002691287573143987,0.02860220871227029,0
6.955347833929158,43.86883873290208,4.219468730779887,0.09118091378460705,-0.010285163185688952,0.8355975793818472,5.741923874800894,5.8288629465541115,38.42653051895254,39.73829731337403,0.1406668323085617,43.575,42.875,0.8592123910248617,0.7190374803002859,5.742092478188487,5.828533417904495,0.5134051332369269,0.08438435902703428,0.7849851519221995,0.5474785943344649,0.003228651548230241,0.036575637096624564,1
7.006774586637578,46.514168329851564,4.214253749698159,0.07337090131740479,-0.009465925644387942,0.5951646950704389,5.746423079956067,5.828926695121576,38.43774367305812,39.35953261741446,0.09800982600129106,44.25,42.45,0.9056442678689685,0.6864397565831935,5.746102111234545,5.829092249016176,0.5310547185664828,0.08313784624475468,0.7984717909775609,0.5272467829784552,0.0019178404755982265,0.024213137949495527,1
6.567210221306086,43.287302810220055,4.219786355542549,0.09903365087614448,-0.008860008907973917,0.8447967025041019,5.73903184709823,5.828580593654526,38.61923676308504,39.98326297074611,0.1482035909283561,44.6,43.425,0.9392912957273696,0.7611841972921125,5.738837780309011,5.828378742792197,0.5190421254286227,0.08556480808161283,0.8315523656029226,0.6025648283532499,0.003731503300922204,0.036289163929963675,1
6.854630555156197,42.06315545728592,4.177637608395078,0.08616671655401671,-0.013473873616148116,0.8925164285399881,5.760875911321669,5.828601112331192,38.65631039137494,39.67046486949971,0.10926319840304634,44.35,43.325,0.8987036549873029,0.7535717811744167,5.7606988194969775,5.828268153740098,0.5412105373508966,0.08963557119792506,0.815849896955819,0.5766610291033629,0.004521168098602745,0.04893917796927651,1
6.998930724923447,42.62037417695174,4.179725249970585,0.10108748341999693,-0.014272925265738902,0.5851701098795207,5.767212342491837,5.828841819584335,38.535878590024765,39.62309100579662,0.11475622145460501,43.525,42.45,0.830135609526458,0.6865246321204346,5.767341310385978,5.8286108895788,0.5277555307900409,0.08686826660509624,0.7871782338682369,0.5394419644221737,0.0029563120051929125,0.03436743719563286,1
7.0360449842399735,46.80279858300148,4.217711168525373,0.10123126760666687,-0.00850509923246689,0.5866996142837549,5.798178490673407,5.828728503433054,38.61291571884764,39.568249403404394,0.09894220698322567,46.0,42.375,0.9841514924518613,0.680879779712714,5.797964772478841,5.828214712166235,0.549605504826341,0.08300790913310431,0.8261020672167666,0.5221578789802976,0.0016562292821470266,0.021068138094590575,1
7.09407547609946,43.01637142414221,4.185338340037911,0.09527894180510328,-0.012249040696032366,0.6121813532333849,5.756403753187692,5.8285847320461786,38.58645446900291,39.632916298781005,0.11136207172439803,43.75,42.425,0.857974524473784,0.6848628957466474,5.756319073817246,5.828401660533318,0.5298098166669964,0.08624725436782643,0.7849380567213335,0.5257847830099985,0.002417917407273082,0.02976455119129847,1
7.159450521705962,46.1049487213675,4.186279401065097,0.10589197642365908,-0.00799563005544618,0.7192152842994138,5.709433327081827,5.8287464049310245,38.50871800421523,39.57549172933545,0.10907811839424171,43.225,42.75,0.865138902348769,0.709602010379986,5.709088586413216,5.829281952037631,0.5137511953527379,0.08783059960736446,0.7673936863581486,0.5322389030310919,0.0017626009809846197,0.02158257320426346,1
6.6014484285198565,46.816468822142554,4.169702804155001,0.11488212340704762,-0.009894005436742893,0.4293265350275016,5.7290704349049255,5.828723760966892,38.462698739756874,39.5667451602947,0.11167802702888271,44.35,43.1,0.9305091314040466,0.736335263901049,5.729283540123081,5.829031298250068,0.5282359121100341,0.09009392694629764,0.8310249075222713,0.6068845518936775,0.0019549247998132554,0.019753601876713576,1
6.965577695830351,43.66302546807936,4.22660262914508,0.08603806600128616,-0.009673251308163546,0.8026880149866952,5.721757102888802,5.828751477724059,38.26454474646063,39.7588494383413,0.16193902123476273,42.95,42.85,0.8318678482355759,0.7172396618971977,5.721453688952669,5.829141219141713,0.5018562529557274,0.0836768954241598,0.7696436888161732,0.546462451668972,0.0029459334567997052,0.03348741687125512,1
6.540433748023441,45.66777104165297,4.201050872839356,0.08297041163391074,-0.011312527845084883,1.1785234473727713,5.741985317875479,5.828886473596461,38.56744579310097,39.57185930150889,0.10550954030676142,44.775,44.375,0.9494270890831586,0.8325698236406529,5.741866594486482,5.828415829971706,0.5320516334654869,0.09002318493091127,0.841102650596712,0.6362783433305026,0.006514871281250116,0.06051585604783533,1
6.540524863610668,42.83098531383727,4.173361664348437,0.08597444622068703,-0.011201022532505102,0.9113477995351671,5.731251441333099,5.828369248023195,38.48420679336712,39.73073037407828,0.1341515107380182,44.85,44.075,0.965762818768189,0.8105312633566824,5.731410847405654,5.828653405814273,0.5405802871912817,0.09207920896304238,0.8462755576428895,0.6362593724413833,0.00475755971297037,0.0461168605368618,1
7.115380607244586,43.51827541354996,4.178449060307423,0.07550515616176907,-0.011806192630732707,0.6812933647288056,5.778687636109762,5.828737976233046,38.647180637029265,39.44537239302924,0.0859596421041735,45.3,42.55,0.9518398320757742,0.6942981266871273,5.778603038069379,5.82912646570232,0.5614647601639285,0.08704317633264011,0.8173545373972698,0.5248110635729134,0.0023446002378552846,0.03107351186744283,1
7.048755762980253,43.398820383552774,4.127399153553584,0.10705743587553666,-0.009961593938585046,0.6068759928008483,5.72437189845123,5.828690957690039,38.676042890030686,39.614763786066426,0.09684734530827525,44.5,43.05,0.9464601336119367,0.7325589232396608,5.724064763693652,5.8289830928713435,0.5512692910593002,0.09480831279992287,0.8118292265095773,0.5640282205717866,0.0017714862808001894,0.021585832946318308,1
7.019299379165641,46.04708707542097,4.17756260390402,0.08768556711944132,-0.008744476703187192,0.8300505826802157,5.726005143070037,5.828789673669095,38.50956878614574,39.44406199210916,0.09702530515101461,44.375,43.075,0.9354511541670769,0.7343650555750667,5.726246045876078,5.828576648966197,0.5379237742982155,0.08933804103437515,0.8049789677879577,0.5552912787795701,0.002311029467442985,0.028029736234485302,1
6.987876421650616,44.90677203180824,4.19618357332902,0.08670091761962183,-0.010545628476306523,0.8738377952538408,5.741704276963871,5.82833702875446,38.573205974574115,39.53433171780541,0.10137209309032859,44.025,42.975,0.8934294820495827,0.727194986269188,5.741837139306827,5.827880906702532,0.5289872146660903,0.08688782753377704,0.7970218469833,0.5493882620620176,0.0031838390422145686,0.037098425646283135,1
6.704039938781117,44.07865651421394,4.186746176934731,0.09243520614592049,-0.014316705567171803,0.7445615000330363,5.745551704781344,5.828426395459637,38.674896250275815,39.50849825039334,0.0875111998685351,43.175,43.125,0.8252168956184596,0.7385363728222121,5.745668087129233,5.828095337701058,0.5180198974714486,0.08780698607106036,0.8007132505809467,0.5849095345305745,0.004835034388889036,0.0477674583937287,1
7.050568158510011,45.52067907553289,4.200757182479417,0.07707202416315578,-0.013042236624899402,0.88120891396784,5.739629026767114,5.828785776174212,38.74450905496522,39.32025640955619,0.060491057801995804,43.075,42.775,0.8235257024770481,0.7114741574981496,5.739961878086473,5.82839170969035,0.5178787136973914,0.08545869003488109,0.7728510620710926,0.5308707118390362,0.003957370180329028,0.045778226092194896,1
6.63062030647343,43.60328450458927,4.157249068146637,0.08872336734486509,-0.01133796477861983,1.070843784069035,5.720917258099441,5.829201150411264,38.310610377763666,39.633390997829935,0.13870617046094044,44.6,44.5,0.9574058847261586,0.8416308816519029,5.721025465271173,5.829341653965728,0.5417737223028459,0.09552907062263821,0.8381808885667218,0.6457963278944364,0.005137534449014588,0.050511291424184736,1
7.244167370348819,42.94317851522035,4.1825987356334045,0.08935542263002808,-0.008936720463919322,0.6507431903150321,5.727602069008388,5.828647401761409,38.53800723986604,39.697800386155905,0.1249455924939404,43.775,42.5,0.8886657611206186,0.69055500344124,5.727915197596901,5.828642430550847,0.530543156020034,0.08703281857633725,0.776245374061563,0.5140987376660863,0.0016072842350832123,0.02147339194107388,1
6.720154934932532,47.199554331307255,4.160974277540745,0.09930071112523682,-0.011946230683882444,0.8194131481167817,5.7484660365081135,5.82878042242664,38.42044173752651,39.342268692578,0.09251670300194424,44.825,43.7,0.946681460000085,0.781817129988724,5.74874622301186,5.829041584202478,0.5453578912146273,0.09284071710925242,0.8346709934590164,0.6123289052156183,0.003944894302034622,0.040979191888590116,1
6.6890538921452665,43.548352566143805,4.200965823221914,0.09975988705304861,-0.00847905543056523,0.8152836302442108,5.772409053840109,5.8285816928486245,38.496065253834985,39.8999538617828,0.15057841880540063,46.375,43.4,1.0375101820980088,0.7592859439516166,5.772499779442955,5.8283203952441225,0.5511917922077684,0.08774241342772225,0.8565016324761741,0.5957927129391997,0.002895842616217306,0.03113018783217816,1
7.144100078936226,45.38816960317516,4.160366790096381,0.09443159345441168,-0.009717228963727079,0.800740002275704,5.7253192164967315,5.8285938697458235,38.69467829757005,39.436129571130934,0.07627085996475774,44.025,42.9,0.9098145425167221,0.7212152877793025,5.725253739271649,5.828475586286285,0.5386060765878992,0.09065771054964081,0.7918965456802579,0.5395193009245544,0.002240411389432149,0.028011842940863816,1
6.519694638806732,45.12260097250977,4.179764748762648,0.08233103895764185,-0.009138196212713738,0.9408745804605937,5.771289733587355,5.8288786828822,38.436955206964925,39.611508402489896,0.12485558983516734,47.725,44.125,1.137038573608244,0.8137864449110115,5.771354813551462,5.828572255228556,0.574150366633035,0.09160001034713158,0.8893500665953827,0.638756324330727,0.0038235357999563757,0.03944303397181337,0
6.729464181383254,45.49504138605101,4.204296483706265,0.09320500194669487,-0.010339803972166956,0.7056430190591081,5.789702020343243,5.8285646491592225,38.42212364488449,39.59500371365173,0.12326789802366397,46.2,43.1,1.007356166843329,0.7364943757087188,5.7898199634274725,5.828924108399069,0.5538651790545761,0.08632870795420486,0.8513594574779239,0.5821362100475963,0.0029993657816750957,0.033306398626447895,1
7.279705117833903,46.0741631942112,4.1777719990861195,0.09771542129272838,-0.014594235786523206,0.8237918524803339,5.735411155783668,5.828774230694998,38.61553383682964,39.245444941290884,0.06331029359651666,42.225,42.625,0.7626654827302239,0.7000081979052997,5.7355031404097145,5.829111037316211,0.508258051138558,0.08793984645541886,0.7384251646307674,0.5156084346675918,0.0035553847664171303,0.04301020678354089,1
6.618902167967522,42.51382196516213,4.212326943955926,0.09549417762744375,-0.009052386285791232,0.8623123511789321,5.7772837870568745,5.828574767198717,38.60506974195992,39.99738247262943,0.15260359697320072,46.35,43.425,1.0307996436892557,0.7611900237479219,5.777397996082976,5.82819340190253,0.5480427634870477,0.08635260701906869,0.8592393737517316,0.5985138877858659,0.0035338922139661654,0.03662726033628027,1
6.8001537865191715,47.81122468010552,4.1570505489331095,0.08375289201272125,-0.012772004649955506,1.03895593743703,5.717663793626538,5.82877039447543,38.31071709660749,39.156114334780064,0.08475578311941288,43.65,44.075,0.8891508700370343,0.8101301169044479,5.717867645296143,5.828640529650212,0.5334398341942137,0.0944073837739139,0.8096266901329444,0.6152862516499319,0.005027097556229907,0.05224891495950045,1
6.618298911404533,44.54536601484715,4.205420810562326,0.07866872482161925,-0.009922929622145076,0.7319048468701617,5.7538536208248585,5.828867512945163,38.47877415739586,39.621500857015455,0.12383138279514166,45.4,43.275,0.984098590344348,0.7495061462505506,5.754059712013019,5.828920611897736,0.5423828867881069,0.0863064161565285,0.8464409904959673,0.5956126214007124,0.003254550573456032,0.03457766199327909,1
7.092492428778908,44.88978551049176,4.17524774127296,0.0871699912390515,-0.012262915861316693,0.8827544491953981,5.74733084772309,5.828889579298067,38.53448133399224,39.39884789197576,0.0897051119600019,43.925,43.025,0.8802629841287084,0.7304549001449816,5.747581001395202,5.828533202796371,0.5365158299279673,0.08936252840839957,0.7914662231832178,0.5464644616650961,0.003364435026229196,0.04059895533677542,1
6.602028127550911,46.796075462143456,4.1970229310205145,0.09611702562557202,-0.010651542119047492,0.8531889529006671,5.76617325214113,5.8288856572532115,38.42172330705563,39.53063622291193,0.11422032852914121,45.55,43.675,0.9829007584176512,0.7798207214566188,5.766051630972336,5.828774614713542,0.5430084047848006,0.08877315919190719,0.8495166832175579,0.6151383122123589,0.004173654908802654,0.04199309001869619,1
7.242922139542291,44.974902652652936,4.150175012278327,0.07091792711024988,-0.009581943286754636,0.7026282788124157,5.745402566332811,5.828690608236396,38.60257027732627,39.25283382221212,0.06849245843585944,45.25,42.7,0.9814094572040437,0.7058330928454204,5.74557357464521,5.828226443456932,0.5690696635150414,0.09075614687756094,0.813251838615749,0.5241893106053666,0.0016487658625647496,0.023550499438115668,1
6.769174324144907,45.736971247665224,4.203152467003898,0.1020421091797011,-0.011725649639077984,0.7832165009506492,5.7856946738011406,5.828903389671149,38.60644583935282,39.57802569893421,0.10036089734236016,45.2,43.1,0.9373998517875037,0.7361556351967922,5.7857183732312505,5.829130038925359,0.5401830993898005,0.08647599116720482,0.831295275651175,0.5759058478664606,0.0038287172950309764,0.04071619867995579,1
7.248227184816211,47.24114084477815,4.230469377517904,0.07392649680448096,-0.010176830031595313,1.3,5.751796351003413,5.828883835505596,38.551252055204856,39.328007363045515,0.08096672308349612,43.75,43.025,0.8625819266580637,0.7304606439374526,5.751911218469906,5.828890560609356,0.5205299154372234,0.08384378016797256,0.7681316142976594,0.5147637316408425,0.003947709015651916,0.049528962815557916,1
6.900753454658082,46.61827685535296,4.200785841646258,0.07700991694814519,-0.011155857162565461,0.8232479156421147,5.722429551588804,5.828795130415119,38.597063928571245,39.324039846592875,0.07616071157100826,43.275,42.95,0.8559441076069092,0.7248298207092585,5.722385565173928,5.828492216644342,0.5174035404149341,0.08598795506952106,0.7878683076468314,0.5543041481634844,0.003469563575017537,0.038801930070984425,1
7.1090019361249,45.41250082373479,4.165739171738593,0.09228266566939614,-0.011248695527269308,0.7085195819573262,5.765715790799996,5.828955368592717,38.56474107843072,39.37640177049694,0.08352408413489233,45.0,42.8,0.9424881416993731,0.713215524925733,5.765973457897178,5.829244590606638,0.5548486960552901,0.08965573320102797,0.8124934823620933,0.5406558121537889,0.00233607181885482,0.029808178821994557,1
6.695107805391099,45.44842702230613,4.17217152204441,0.08674496048337203,-0.009979294612788047,0.9046379127046797,5.74733140403973,5.8286190450596544,38.51500469855276,39.51447723001171,0.10454058710152139,45.7,43.75,1.0128461084224991,0.7857592326018219,5.7472320534848915,5.828724064213245,0.5545307913577135,0.09155022866526685,0.8506508437387363,0.6100870096214135,0.003601102272050334,0.03840289789046041,1
6.599478618219777,47.40715202520653,4.1704633579456765,0.08949875814210562,-0.01188210920173739,1.1046365047019673,5.749492763501972,5.828612357865695,38.44149766117774,39.358893994044045,0.09286501195344564,45.325,44.45,0.9828916580829992,0.8384709624476185,5.7493381669537165,5.828464703933411,0.5489517051762004,0.09377106403587285,0.8504885900414223,0.6424582324446912,0.005787387548265874,0.05604595466991019,1
6.930154214888078,42.049858357314896,4.210334401105121,0.08205584115495643,-0.013123356537761303,0.7077076552116014,5.760685733118492,5.828607041050169,38.34021878130561,39.70701869274954,0.14994406709626307,43.575,42.675,0.8404505327072638,0.7040034631816567,5.76100935820663,5.8290522872654575,0.5218823051031526,0.08430873805021037,0.7895712169251481,0.5465337506548974,0.0035269432082382594,0.040577058582393286,1
7.020391401019785,47.69240243060117,4.191856343713869,0.0953283720075326,-0.00847865932377848,1.0007303435746553,5.75631393845768,5.828934906323978,38.503120470586246,39.425884753404446,0.09379543950850552,45.25,43.225,0.9704980850791749,0.7456373231066182,5.7565827012896795,5.8290240215581495,0.5450681017660339,0.08855439576494568,0.8182712173485873,0.5574889124893079,0.0027348189212709003,0.03285605143070442,1
6.671052847980013,47.509742189369426,4.15155346131642,0.08824315641423379,-0.011132889181353639,0.9225651913338968,5.756658342677546,5.828656555488479,38.45388106922965,39.27712501426734,0.08324954752996164,46.25,44.05,1.0440769116901762,0.8083608469295678,5.756870296413406,5.8286622804706925,0.5682358493016488,0.09470039760471566,0.8633541058455441,0.6275397301384902,0.00402335201038021,0.04252860444610887,1
6.893596428150635,47.27459839120237,4.2068125898673205,0.08156005656591402,-0.013913599943890778,0.664110210721307,5.789751674845279,5.828478698921938,38.417175051970155,39.192402901479625,0.07992117939395393,44.5,42.575,0.881080357217888,0.6964734081819914,5.7898376933181535,5.828757706708224,0.5391425492025727,0.08414923283478269,0.8115057680718927,0.5464352951681828,0.003521180366404012,0.04110538900714297,1
6.812851962901918,42.87035694329447,4.194131006004002,0.1083303872970189,-0.008848335001814218,1.025526700508176,5.78418582938952,5.828670442424707,38.57578551827568,39.990596625517064,0.15033737645957443,46.475,43.55,1.0330716837164653,0.7705719383338598,5.7839665722142275,5.828472270618821,0.5552135604353831,0.08923510141881513,0.8507590813021513,0.588559016148567,0.0034439363029368304,0.03759995437993901,1
6.657709946734038,44.32949959407559,4.205943968665535,0.08188794484733457,-0.009478382127986388,0.5665250532196092,5.706314001722907,5.829141916012326,38.49758598333108,39.65489099458388,0.12585326207293182,43.375,42.9,0.8796559344368386,0.7206672415127997,5.706272980091408,5.828631707427503,0.5113811718391434,0.08518193506668334,0.8057920787932293,0.5800332118136549,0.0024552940351669616,0.02576034840460076,1
6.7472663161757715,42.56620969792017,4.208168715982274,0.1033802775303059,-0.013211650547107438,0.9162413986988143,5.769115406347631,5.828374794425861,38.520218675323484,39.85450746544929,0.14157575454017993,43.875,43.4,0.8547052433982536,0.7594928423743799,5.7692022983692866,5.828132188373225,0.5191466432671273,0.08694685776287274,0.8066335259460795,0.5878816722665511,0.005427510146640736,0.05356410174054887,1
6.887453323188537,46.775236033074584,4.181666471362741,0.08023146147278042,-0.011582636922501457,0.5889129518433455,5.762897570781485,5.828803296771837,38.45751593947263,39.24251294607727,0.08145196797829872,44.975,42.725,0.9434427128605556,0.7076330411725635,5.763012703315799,5.8286467045259505,0.5503222210993084,0.08726743635815021,0.8251193189535719,0.5569460451825067,0.002417157267925175,0.02907967496899259,1
6.801465285875417,44.674352776559346,4.153176981558353,0.08908647679466114,-0.010798692871829914,0.7856548413895333,5.7420539181240535,5.828957713464053,38.42062102818413,39.47541555915874,0.10981620435633484,45.25,43.55,0.9847581054128014,0.7702846672945141,5.742056901355765,5.828577448533354,0.5563043434818148,0.09320041939023746,0.8390013399512889,0.5997046145477399,0.0030523137185349794,0.03422555462982153,1
6.928903348305555,47.525965850310186,4.164760877145663,0.09506831866706848,-0.01342471013486373,1.088471615121707,5.735494156057027,5.828690584682252,38.63197941708759,39.225541636158,0.05893024335306343,43.5,43.75,0.8599588230794328,0.7856876929792245,5.735227311196032,5.828184242296799,0.5288149356140162,0.09277620301193329,0.7951312605846496,0.586633027869494,0.005228625883412196,0.0548248742281093,1
6.739181126006907,44.579673428766355,4.191740709523675,0.08313073847316586,-0.010005759892085726,0.7106360020245136,5.7527886234662216,5.828702158501799,38.53369768763408,39.581680631906664,0.11223167307111734,45.275,43.125,0.9758813788447851,0.7382606097800499,5.752896897951666,5.828434508775689,0.5458168374441896,0.0874526166640516,0.8382196644937208,0.5811245999882093,0.002849548180828631,0.03166562973263815,1
7.085444959425358,45.24624014698108,4.174830852413963,0.10927009710814478,-0.012227486606665597,0.7492158712776611,5.711323055670734,5.828750551831937,38.48801968347659,39.50706802115642,0.10316642419601892,42.2,42.85,0.7848296518939524,0.7172405877893198,5.711526099527488,5.828729090532261,0.5015570576179014,0.08919289347813028,0.7510783930361661,0.5463602345754902,0.0031154628016726,0.03487593665704391,1
7.028410498143111,43.17790190671723,4.183162333862801,0.1024649737594461,-0.00905152508428998,0.8525418621898003,5.7846968992035634,5.828727394975632,38.476278313819456,39.82081107267837,0.14227629249944843,46.2,43.1,1.0123612879830084,0.7363316298923088,5.784980845760594,5.828900592537098,0.5610702817791703,0.08914333122796078,0.8351405642558549,0.5567188017057554,0.0024134418459329588,0.029786469589481085,1
7.229318360533658,45.77459646772703,4.113728189767436,0.09742741951791471,-0.012159909573988631,0.6220862063232206,5.706252122525546,5.828866138080373,38.62976142772787,39.16845302231638,0.05369372728093969,43.25,42.875,0.8702210964574064,0.7190342887740249,5.706099300592297,5.829396807865183,0.5421725813033957,0.09568975418013574,0.7780311013113154,0.5437610073443652,0.0019378219701406529,0.025057707453625472,1
6.741184981667448,44.64665517475567,4.2180096514058265,0.06946528874489633,-0.009542898093505954,0.42366079131499723,5.725630171656496,5.828585250890411,38.496187500762936,39.53600456489179,0.11476109061895255,43.825,42.375,0.8944151454089395,0.6810230322553572,5.7255860667786935,5.828432057964739,0.5203515994715341,0.08204600808983255,0.8081987998409339,0.5496862687590705,0.0017185142164102146,0.019767244426280042,1
6.569113810351211,45.09013597578547,4.1532034955325985,0.1021109765476324,-0.008820468392143252,1.1705964847297372,5.756152306615401,5.828700444988342,38.518466574388874,39.70711834980464,0.12228837940946524,47.4,44.65,1.1286134846080014,0.8533651039269037,5.756153196394402,5.828613080663986,0.5720195184732204,0.09649142073932142,0.8840534694632735,0.6556639562653944,0.004337636434849954,0.04307174838290718,0
6.738348568237021,46.743660660081424,4.178124377300605,0.09546061562027593,-0.013591723405537314,0.9837103788323822,5.747101135798915,5.82854234718859,38.36346355322223,39.34910643356108,0.09927804580068571,43.8,43.9,0.8710557073108038,0.7971651622023881,5.747025992667077,5.8285572571678665,0.5279550399772537,0.0916138624221126,0.8119175649714737,0.6126016094086849,0.005655963515923975,0.055976060244649344,1
