scenario,ensemble,n,f1_median,f1_p16,f1_p84,f2_median,f2_p16,f2_p84,rho_median,rho_p16,rho_p84,G2460_median,G2460_p16,G2460_p84,G2536_median,G2536_p16,G2536_p84,Gamma2460_median,Gamma2460_p16,Gamma2460_p84,Gamma2536_median,Gamma2536_p16,Gamma2536_p84,f1_target_clipped_fraction
legacy_chi_condensate,theta_fixed,500,0.34446862564460473,0.328675136202348,0.36286901968921287,0.38026161900049577,0.3388830166179213,0.42256756856032585,-0.4123487465949177,-0.6210942214857758,-0.20598225875338497,-0.4303819917723686,-0.49225443520407924,-0.36795576931294266,0.012339716635602526,0.0014902696490940604,0.02346563749353253,38.94000288229683,28.479285545250917,51.07317169774805,0.050932296928461865,0.005813390607553659,0.17090653508029247,0.0
legacy_chi_condensate,theta_scan_25_45,500,0.34630522668568114,0.3302465145027852,0.36135922939768933,0.3741764457374124,0.33188341757317635,0.41712385737289037,-0.39856742874759954,-0.707239111922645,-0.14813993277954618,-0.43118879073712424,-0.48774891887931415,-0.36419404364908076,0.012224832522421425,-0.03724577477523582,0.05589589360531573,39.010860177312495,27.812220191733655,49.983993842136265,0.34004830785519113,0.03491082913794034,1.1810488022799277,0.03
lattice_fperp_s,theta_fixed,500,0.3449128712827171,0.32974316956014793,0.36371912552620767,0.37926005760063064,0.3377881736427091,0.423068102224421,-0.39241481825680463,-0.6043593645814543,-0.20502954229764792,-0.2840038412100888,-0.31984610348477094,-0.25255737413152934,0.03988327483616998,0.01904083013558603,0.059795220536512234,16.954437800082104,13.40771892955445,21.503882673633157,0.49360780178365793,0.11494574394315231,1.1095152932692118,0.006
lattice_fperp_s,theta_scan_25_45,500,0.34642526869108803,0.33112424860058703,0.3640782441663939,0.38029811534644103,0.3318026054678008,0.42124060834541444,-0.3704867359883731,-0.7141328047734896,-0.11597428766153632,-0.28474645011647404,-0.32301859502406305,-0.2483232273508498,0.0384807498658134,0.004953268403318623,0.07266095357979098,17.04320966537575,12.961923047803035,21.932583937688236,0.4795497111707019,0.05104404078020336,1.6476232672478943,0.032
