fB_scheme,M2,s0_root,s0,GA_stage2,GB_hard,GB_soft2p,GB_em_Sgamma_T4gamma,GB_em_qcd,GB_em_kernel_total,GB_3p_sigma_matched,GB_3p_xgamma_unmatched_axial_ratio,GB_3p_xgamma_matched_S_T2_T3,GB_3p_xgamma_T4_tensor_only,GB_3p_full_matched,GB_3p_full_ratio_diagnostic,GB_stage2_sigma_matched,GB_stage2_full_matched,GB_stage2_full_ratio_diagnostic,hard_qcd_side,G2460_sigma_matched,G2536_sigma_matched,G2460_full_matched,G2536_full_matched,G2460_full_ratio_diagnostic,G2536_full_ratio_diagnostic,Gamma2460_keV_sigma_matched,Gamma2536_keV_sigma_matched,Gamma2460_keV_full_matched,Gamma2536_keV_full_matched,Gamma2460_keV_full_ratio_diagnostic,Gamma2536_keV_full_ratio_diagnostic,fB
fB_equal_fT_diagnostic,3.0,2.5,6.25,-0.36249415592331596,-0.7657846555855715,0.3204266853878648,-0.038934758763805116,-0.003331266748605386,0.9830670841885452,-0.0036640993170747797,0.005313350871717194,0.00605441894352224,-0.0009880907624067155,0.0014022288640407451,0.0016492515546424136,-0.48795682827858666,-0.48289050009747114,-0.4826434774068694,-0.06552070799308397,-0.6077099216891957,-0.013875533242622806,-0.6035751008169048,-0.01680314960970941,-0.603373496313502,-0.016945893554869362,77.62960982670617,0.05974471972948485,76.5768294125182,0.08761562273813173,76.52568199001286,0.08911054745922117,0.256
fB_converted_fT_M_over_msum_central,3.0,2.5,6.25,-0.36249415592331596,-0.4243807625790339,0.1775733166024231,-0.02157677422039698,-0.003331266748605386,0.9830670841885452,-0.0020305620529265803,0.0029445404505592737,0.0033552238341210865,-0.0005475778447490763,0.0007770839364454301,0.0009139783976326935,-0.27041478224993437,-0.2676071362605624,-0.2674702417993751,-0.06552070799308397,-0.4301656805022641,-0.139583863164267,-0.42787425507069976,-0.14120628280579536,-0.4277625303550511,-0.14128538831392828,38.89611868923831,6.046034086142102,38.48283527173264,6.187400168176697,38.46274094520737,6.194334626398453,0.4619457079970653
fB_equal_fT_diagnostic,3.25,2.5,6.25,-0.35166508502193866,-0.7488861605240041,0.30371527453901564,-0.028631620531321605,-0.0027820883776281838,0.8156401608507711,-0.003362598592898251,0.00487614134299032,0.0055562305654306325,-0.0009067856299204056,0.001286846342611977,0.001513542750092069,-0.47716510510920834,-0.4725156601736981,-0.47228896376621804,-0.07276806009220518,-0.5926447295635765,-0.011273600928026983,-0.5888501427786988,-0.013960318133162841,-0.5886651273190182,-0.014091316380645535,73.82842485221975,0.03943896218243687,72.88603395891305,0.060477077234529365,72.84023988122908,0.061617389566655904,0.256
fB_converted_fT_M_over_msum_central,3.25,2.5,6.25,-0.35166508502193866,-0.415015993817531,0.16831222573558782,-0.015867004994588877,-0.0027820883776281838,0.8156401608507711,-0.001863477081569553,0.0027022486889594654,0.0030791389553494414,-0.0005025203551866285,0.0007131415185932606,0.0008387716073899125,-0.2644342501581016,-0.26185763155793884,-0.26173200146914216,-0.07276806009220518,-0.41902708226808816,-0.13420174740314555,-0.4169242069731956,-0.13569066610637798,-0.41682167553528354,-0.1357632624110411,36.907866024132296,5.588773448889384,36.53835343398431,5.713472120216396,36.52038436815079,5.719587322244874,0.4619457079970653
fB_equal_fT_diagnostic,3.5,2.5,6.25,-0.34377312566543566,-0.735217565532848,0.290437841892962,-0.021176842396800462,-0.00229480597450452,0.6721313694183932,-0.0031239946070163527,0.004530139068850842,0.005161970375650468,-0.0008424417423994891,0.0011955340262346256,0.0014061444618344895,-0.4690805606437028,-0.4647610320104518,-0.46455042157485193,-0.07967106853476695,-0.581486200041123,-0.009504391896859865,-0.5779608703520993,-0.012000464451326798,-0.5777889832587431,-0.012122167297312969,71.0744609394154,0.028031661130291406,70.21527845316653,0.04468855100725868,70.17352024408918,0.04559956612712,0.256
fB_converted_fT_M_over_msum_central,3.5,2.5,6.25,-0.34377312566543566,-0.40744116357848004,0.16095416893681933,-0.011735733355088035,-0.00229480597450452,0.6721313694183932,-0.001731248078618942,0.002510501951959218,0.0028606487586955017,-0.000466862408981705,0.0006625382710948544,0.000779253873340276,-0.2599539760753677,-0.25756018972565387,-0.25744347412340846,-0.07967106853476695,-0.4108101332898271,-0.13034978325095423,-0.4088564742672049,-0.1317330509442815,-0.40876121827686357,-0.13180049594492355,35.47456223950971,5.272551013503363,35.13795708683436,5.3850490582286605,35.121586006979996,5.390564570231344,0.4619457079970653
fB_equal_fT_diagnostic,3.75,2.5,6.25,-0.33788483869049063,-0.7239550750846059,0.2796575300086056,-0.015650296861451234,-0.0018640282309520014,0.5477570835103329,-0.00293094379906606,0.004250193960941677,0.004842980531879081,-0.0007903820945831947,0.0011216546382298266,0.001319250161875617,-0.4628787857365176,-0.4588261872992217,-0.4586285917755759,-0.08622665179103486,-0.5730221068911232,-0.008282482470255093,-0.5697146289689459,-0.010624307375811215,-0.569553363834467,-0.010738489455694,69.02040509841788,0.021287331063484023,68.22593438479782,0.035026877019695805,68.18731537545942,0.03578380790017507,0.256
fB_converted_fT_M_over_msum_central,3.75,2.5,6.25,-0.33788483869049063,-0.4011997427689846,0.1549799607244275,-0.008673045180792042,-0.0018640282309520014,0.5477570835103329,-0.0016242636300577511,0.002355362621981502,0.0026838717076443125,-0.0004380121142170743,0.000621595963369487,0.000731098991923751,-0.2565170908554069,-0.2542712312619797,-0.2541617282334254,-0.08622665179103486,-0.40460257054599613,-0.1275301612380075,-0.402769640109758,-0.12882794832736424,-0.40268027057192723,-0.12889122548730741,34.41058254213905,5.046914892920164,34.09951512036833,5.150155529423871,34.08438428871298,5.155216034591313,0.4619457079970653
fB_equal_fT_diagnostic,4.0,2.5,6.25,-0.33340553947621676,-0.7145289579295887,0.2707448257636658,-0.01147017230271586,-0.0014839331730377716,0.4389295833407796,-0.002771836149477521,0.004019470201708793,0.00458007707747785,-0.0007474758343587338,0.001060765093641596,0.001247634052231272,-0.45802614061811625,-0.4541935393749971,-0.45400667041640747,-0.09244091507821293,-0.5664732835958136,-0.007430895984365304,-0.5633453536535162,-0.009645593833923383,-0.563192842871992,-0.009753577486404985,67.45181093565408,0.01713493763487821,66.70896200664889,0.028870752536068026,66.6728475389729,0.029520794442376198,0.256
fB_converted_fT_M_over_msum_central,4.0,2.5,6.25,-0.33340553947621676,-0.3959759990477858,0.1500407389777908,-0.006356513457451398,-0.0014839331730377716,0.4389295833407796,-0.0015360897221946982,0.0022275006647404284,0.002538176481643549,-0.00041423442253748897,0.0005878523369113621,0.0006914109425457301,-0.25382786324964113,-0.25170392119053503,-0.25160036258490065,-0.09244091507821293,-0.3998193936057862,-0.1254284274477164,-0.3980859646521975,-0.12665576356031966,-0.39800144658136294,-0.12671560569015602,33.60179376459102,4.881936412226534,33.311062205309476,4.977944824379717,33.29691909002245,4.982649879809214,0.4619457079970653
fB_equal_fT_diagnostic,4.25,2.5,6.25,-0.32994262528154317,-0.7065335994328927,0.2632624257546143,-0.008255056616632239,-0.0011488245798872694,0.3429053184852915,-0.0026386353422758213,0.0038263142406352244,0.004359981108283912,-0.0007115558235315734,0.001009789942476517,0.001187678898359403,-0.4541648656371865,-0.45051644035243416,-0.45033855139655127,-0.09832557222071124,-0.5613208805682628,-0.006835948726441554,-0.5583432635487775,-0.008944219094229267,-0.5581980816850214,-0.00904701358367982,66.2303645200577,0.014500993466319358,65.52956893286755,0.024824757891180736,65.49549502643504,0.02539865087832625,0.256
fB_converted_fT_M_over_msum_central,4.25,2.5,6.25,-0.32994262528154317,-0.3915451498381918,0.14589415991198992,-0.004574768110782573,-0.0011488245798872694,0.3429053184852915,-0.0014622728080999974,0.002120457942665505,0.0024162042084126738,-0.0003943283543295525,0.0005596030459831235,0.0006581851345655077,-0.2516880308450844,-0.2496661549910013,-0.24956757290241893,-0.09832557222071124,-0.39607192457397783,-0.12383873147209715,-0.3944217956869852,-0.12500708784993597,-0.3943413391387845,-0.12506405426145095,32.97485291281355,4.758972038500472,32.70066327306412,4.849192666583604,32.68732367480807,4.853613280678392,0.4619457079970653
fB_equal_fT_diagnostic,4.5,2.5,6.25,-0.32722896172582394,-0.6996729647518177,0.25689783413577094,-0.005747126812895395,-0.0008534000719452316,0.2575504163915243,-0.0025256179775914028,0.0036624265123832126,0.004173235495111347,-0.0006810786436375042,0.0009665388738824403,0.0011368085347918096,-0.45104787540653357,-0.44755571855505977,-0.4473854488941504,-0.10389555997225614,-0.5572088764974303,-0.006422402461700172,-0.5543587960204865,-0.008440371923867429,-0.5542198325497683,-0.008538763545625105,65.26356633146429,0.0127995646474163,64.5976375573985,0.02210667018873587,64.565255688961,0.022625080768452887,0.256
fB_converted_fT_M_over_msum_central,4.5,2.5,6.25,-0.32722896172582394,-0.3877431392383523,0.1423670453047594,-0.0031849293945828104,-0.0008534000719452316,0.2575504163915243,-0.00139964110732144,0.002029635021906208,0.0023127139580552004,-0.0003774385815319854,0.0005356342692017752,0.0006299939145847678,-0.24996066443549714,-0.24802538905897392,-0.24793102941359094,-0.10389555997225614,-0.39309404473958787,-0.12262218048732804,-0.39151459375765074,-0.12374049411893365,-0.391437583304067,-0.12379502055945232,32.48087188701738,4.665930147302895,32.22038012871253,4.751424748871465,32.207705954656504,4.755613116833239,0.4619457079970653
