state,scenario,ensemble,G_median,G_p16,G_p84,Gamma_median,Gamma_p16,Gamma_p84,Gamma_mean,Gamma_std,chi_median,chi_p16,chi_p84
Bs1_5830_observed_high_combo,legacy_chi_condensate,theta_fixed,0.027526369612357243,-0.06078852330837244,0.1349691848272926,1.0188940127388102,0.06743149593523202,4.596794179394608,3.0659914759320253,6.598707665114457,3.120891255194233,2.832450388414288,3.395988845357624
Bs1_5830_observed_high_combo,legacy_chi_condensate,theta_scan_25_45,0.023237032676076713,-0.10065794890994433,0.1577956358148074,1.5454126926672276,0.14603097267207105,7.928541092204608,4.233727784743791,7.690885478418984,3.143552625379577,2.8387141827177285,3.468756183935041
Bs1_5830_observed_high_combo,lattice_fperp_s,theta_fixed,0.14208884994066012,0.006093248345557735,0.2975612329673224,5.3829896062365785,0.4687364331030024,19.007700583206738,11.729174989221308,19.44602668411198,5.034588347913191,4.260200668694947,6.056848544063725
Bs1_5830_observed_high_combo,lattice_fperp_s,theta_scan_25_45,0.1462071399786388,-0.021264275913030668,0.3378027926756372,5.310142515662977,0.579087547043178,24.9634622926815,12.527015287564835,19.297924267903326,5.038955961264231,4.218458723020911,5.962080180264434
Bs1_lower_model_5750_low_combo,legacy_chi_condensate,theta_fixed,0.6131277485014628,0.4894953354575627,0.7971134481620707,46.62626213364164,28.4006987186723,80.0997107171705,54.22270450137041,31.857878768346097,3.156479730973391,2.849875431488041,3.444627356189816
Bs1_lower_model_5750_low_combo,legacy_chi_condensate,theta_scan_25_45,0.6103098699923706,0.47334291282632157,0.7952730456558159,44.90029752730515,26.054888927229616,79.31891463132614,54.427250468587005,34.84088277921332,3.1303201717034503,2.8483168340426754,3.4111092156450256
Bs1_lower_model_5750_low_combo,lattice_fperp_s,theta_fixed,0.892284241208843,0.7402572931974594,1.0935463245879666,98.383050427075,65.22737631175414,157.63711569194567,112.3019263996247,55.800442872788715,4.971027415264343,4.228402279651463,6.003416372803717
Bs1_lower_model_5750_low_combo,lattice_fperp_s,theta_scan_25_45,0.9073436926984317,0.7391616676748136,1.0943591910900128,98.97434728518492,63.20492584071417,151.9732676508625,107.48903171899723,44.87909387327652,4.98851640408653,4.12276162931638,5.992851155520593
