group,M2,s0_root,theta_deg,GA,GB,G2460,G2536,Gamma2460_keV,Gamma2536_keV
borel_threshold,5.5310351143566,2.5198031585860816,35.3,-0.333882129354044,-0.2512863236993259,-0.398020548736705,-0.12728603836888483,33.3001153506885,5.027611410545688
borel_threshold,4.1140409804054485,2.502246027712819,35.3,-0.33312036157181635,-0.2515071229240678,-0.39776055796290744,-0.12653674053142178,33.25662566086223,4.968593308715533
borel_threshold,3.831260028186092,2.57154129937537,35.3,-0.38006435352141543,-0.2776593294935778,-0.4462313004748996,-0.14973724502926622,41.855719326319395,6.957606142559099
borel_threshold,3.2047158499586232,2.5707444406121085,35.3,-0.39440939496057154,-0.28533832692928107,-0.4607878105040199,-0.15700740536317662,44.631009841142784,7.649630132028077
borel_threshold,4.684405391794791,2.5232392718002337,35.3,-0.34053975442860085,-0.25544285966020264,-0.4052600133885159,-0.13031769045687408,34.52250161043984,5.26995507418635
borel_threshold,3.3293545510734455,2.5030654650730653,35.3,-0.3507144446618903,-0.2613743630162227,-0.4159804585700972,-0.13519407318535048,36.373124434054624,5.6717289693872965
borel_threshold,4.512275768417162,2.5337076770775337,35.3,-0.3486205656962553,-0.2600478125782526,-0.4136878469677041,-0.13425173713712793,35.973299627887684,5.59293782584777
borel_threshold,4.869376383727975,2.5260747639231482,35.3,-0.3411204563466198,-0.25568398144893045,-0.40579236497490545,-0.13065228905677964,34.61325904358722,5.297051676318705
borel_threshold,4.969599024662627,2.581977147831747,35.3,-0.37722450281679387,-0.2757634451861526,-0.4430429686433904,-0.1485150873210037,41.2597361628976,6.844493470074017
borel_threshold,3.5670793221445933,2.5724158021584054,35.3,-0.3854186710895735,-0.280587562441561,-0.45171517468639066,-0.15241500313090356,42.890796387485615,7.208677595353794
borel_threshold,3.987622301394387,2.5892701432634992,35.3,-0.38877462722484035,-0.28241033702815777,-0.4551420743846156,-0.15410062089115756,43.544039849621804,7.369006519699865
borel_threshold,4.711917593811323,2.5655749032893924,35.3,-0.367719449840538,-0.27060200596673223,-0.43333795674500886,-0.14374023329711208,39.47191638116712,6.411458779741096
borel_threshold,5.963797924359641,2.571826738100755,35.3,-0.36816671251286964,-0.2703501826375253,-0.43339088840529294,-0.14425077920742146,39.481559855225214,6.457084937735552
borel_threshold,3.2399184483366854,2.5575496760091303,35.3,-0.38562221506420735,-0.2805728022346982,-0.45182074776437203,-0.15258965231790972,42.91084726375379,7.225207608549434
borel_threshold,5.173992591031888,2.592503943003514,35.3,-0.38357323463897863,-0.2791912410990819,-0.44950918482767077,-0.15171574800730994,42.4728975306196,7.142684856124394
borel_threshold,5.84485597429507,2.58575546254779,35.3,-0.3778922075841852,-0.2758015034797801,-0.4434598677381084,-0.14903803400560373,41.33742271218461,6.892779565465071
borel_threshold,4.245023182332313,2.5045096030120395,35.3,-0.33283861497773365,-0.2513001531780005,-0.3974288327555978,-0.12642639559089552,33.20117792704356,4.959931475334267
borel_threshold,5.135856589058899,2.5841152033813395,35.3,-0.37808613991850687,-0.2761763070569629,-0.443877824304346,-0.14897972636885437,41.415379660847925,6.88738734364101
borel_threshold,5.053047329205706,2.5077303110339537,35.3,-0.32807840810051025,-0.24823580798291237,-0.39217718361525855,-0.12431216705656004,32.329530401021856,4.795428701447627
borel_threshold,5.832070721389323,2.564581576652385,35.3,-0.36337081327491316,-0.2677265737071563,-0.42847831559512056,-0.1418527379849028,38.591569884150395,6.244182808495204
borel_threshold,4.522713527360854,2.5706551978653938,35.3,-0.3721912765660006,-0.2731482627488198,-0.4380001317870975,-0.14591848528891965,40.32582229914517,6.607250755343256
borel_threshold,3.060410916390222,2.5868517290817845,35.3,-0.4089754561595797,-0.29309543250757303,-0.4755357854777681,-0.16441281284553144,47.5336493992111,8.38825226257967
borel_threshold,5.784849221308258,2.5539791385974135,35.3,-0.35621876121674995,-0.2637462992611378,-0.421096996189092,-0.13831571138979623,37.2734022866762,5.936673890300535
borel_threshold,4.248933279525624,2.554377138645743,35.3,-0.3641747559944446,-0.2688047073879757,-0.4298227854492176,-0.14188585809101753,38.834133405171855,6.247098961445941
borel_threshold,5.291003806147386,2.5320958330818373,35.3,-0.3429608966478393,-0.2565219220088897,-0.40753975222442335,-0.13167013122755067,34.91199798263611,5.379906159887715
borel_threshold,4.407740828941157,2.5141733333033973,35.3,-0.3371444220277652,-0.2536564752848908,-0.40184005923435284,-0.12857890788508844,33.94229533702091,5.1302629934062605
borel_threshold,4.372498232952192,2.506701679983663,35.3,-0.33277337496098464,-0.251211221423805,-0.39731855276695377,-0.12642454065306086,33.18275491778886,4.959785931407087
borel_threshold,3.3937563896645124,2.566704355547261,35.3,-0.386250092309377,-0.2809968496519655,-0.4525296524548785,-0.1528570475064806,43.045606746293856,7.250552427271013
borel_threshold,5.021529065788111,2.567079944994375,35.3,-0.3671994038812601,-0.27018955963231106,-0.43270083126499836,-0.14355413950017035,39.35593265233858,6.394868290993648
borel_threshold,3.5321850580946323,2.5587702237752734,35.3,-0.3780944383617468,-0.27656960489698756,-0.4442036047743842,-0.1487592288848098,41.47619492307949,6.867015071821744
borel_threshold,3.5337505042184594,2.5507623929560426,35.3,-0.3732951049301602,-0.27393265929835336,-0.4392781629329414,-0.14636609158321892,40.561497329555266,6.6478485318100695
borel_threshold,5.2455545725544495,2.5780839836473795,35.3,-0.3737501747272295,-0.27373408183498,-0.43937906195240284,-0.14685224065195834,40.58013283514557,6.692082992945978
borel_threshold,5.920412986170946,2.5671058524427726,35.3,-0.3649716069360588,-0.2685850989629642,-0.43010402115057633,-0.14266310050093137,38.8849688570454,6.315728906917298
borel_threshold,3.983375442632874,2.591844783975985,35.3,-0.39040756291891354,-0.2833034372938283,-0.4568145714240881,-0.1549172362954177,43.86464780901203,7.447313649920112
borel_threshold,4.111738350924893,2.5552553067808743,35.3,-0.36623208490810116,-0.2699844908294382,-0.4319744942625704,-0.14288317469584091,39.22391683006222,6.335229408616558
borel_threshold,3.4840000458797316,2.5779846660450194,35.3,-0.39057428239078223,-0.2833857550092138,-0.45697809412389623,-0.15500573440395066,43.896057268756856,7.455824793530624
borel_threshold,3.3696132315177736,2.5701849367165646,35.3,-0.3889451316209156,-0.28245840097737246,-0.4552798284455604,-0.1542120018185568,43.57040206219215,7.379662718131104
borel_threshold,5.138177653731458,2.527802224219316,35.3,-0.3407920971923459,-0.25537294574681957,-0.40534877220572246,-0.13056403715985002,34.53762529332005,5.289898078337797
borel_threshold,4.880363273492909,2.5781748382664977,35.3,-0.37508466193580375,-0.27461472953797017,-0.44086893525454773,-0.14743247683678823,40.85580259831252,6.745070401720181
borel_threshold,3.478858766642341,2.5010482069740636,35.3,-0.3449818010577006,-0.2582309109925884,-0.4101023173964413,-0.13233191496817953,35.35242393065739,5.434121670124816
borel_threshold,3.1316955084831197,2.5842330741540773,35.3,-0.4046966736740556,-0.2908571858563637,-0.4712365411675064,-0.16221412551197079,46.67804614003621,8.165400723294061
borel_threshold,4.659186516231941,2.5705805596169307,35.3,-0.3712682136493958,-0.2725877932215404,-0.4370093125936446,-0.14548901053424243,40.143583056832526,6.568414394931482
borel_threshold,3.234694640254849,2.5764543779169977,35.3,-0.3966569841186641,-0.2865820639306359,-0.4631016575544846,-0.15812304445319184,45.080364670895044,7.758727495643316
borel_threshold,4.097106761394904,2.5767523973055217,35.3,-0.37978135824548265,-0.2774594089834166,-0.44590460685366673,-0.14962180753782972,41.794455174668514,6.9468825713532185
borel_threshold,3.309169598748923,2.545701208250818,35.3,-0.37647067989892874,-0.2756018442842576,-0.4424754777522396,-0.1479932464147373,41.1541051955066,6.796478663057669
borel_threshold,4.285838517396906,2.5935903004655128,35.3,-0.38853066824949817,-0.2822117938278455,-0.4548390622616477,-0.15401624650301332,43.48608001420097,7.3609392556159206
borel_threshold,4.06789893609891,2.530416885818559,35.3,-0.35131559581420996,-0.26171250835358567,-0.41660381146760433,-0.13548929537673363,36.48221744634753,5.696526631365878
borel_threshold,4.407192759462874,2.5015950539977574,35.3,-0.32917296003697444,-0.24916559260393917,-0.39356851097692647,-0.12466818890390863,32.559328316947564,4.822935617150464
borel_threshold,3.6056356552417768,2.578063561632489,35.3,-0.3879745191112868,-0.28198925015265636,-0.4543360609830815,-0.15369095084509468,43.389951687479524,7.329878209056497
borel_threshold,5.647956344584506,2.5402117595335594,35.3,-0.34720871047465124,-0.25874877369890475,-0.4118118012029631,-0.13385012853982764,35.647766590334676,5.559525785199248
borel_threshold,3.862748937430415,2.557125078246291,35.3,-0.3707795420364797,-0.2725478396359499,-0.43669432235324235,-0.14511327474579147,40.0857340389647,6.534531403024935
borel_threshold,4.348850512856914,2.5127037003249653,35.3,-0.3368235059975867,-0.25350059763852195,-0.4015273978528725,-0.12840707133602572,33.88949663727899,5.116559694357791
borel_threshold,3.0612507130550535,2.5379018342875828,35.3,-0.3813386523782235,-0.2780646926168682,-0.44729849586759896,-0.1505430060558662,42.0561608662837,7.032687685938549
borel_threshold,5.77117372294333,2.5147534288590867,35.3,-0.3297269069480693,-0.24881773100114624,-0.39360471049282153,-0.1253213002803661,32.56531805491683,4.873600747174498
borel_threshold,4.648260913159846,2.544109430360368,35.3,-0.3542505969525995,-0.263136188332792,-0.41946174300027184,-0.13706197580203486,36.98447549027334,5.829538028992336
borel_threshold,3.995493502162851,2.566357487341258,35.3,-0.3745591080818247,-0.27460843263211626,-0.4405601008114332,-0.14700719129600215,40.79858260111886,6.706212700853256
borel_threshold,4.009564801062838,2.596809972396628,35.3,-0.39315917673633805,-0.2848015676379375,-0.4596272929365131,-0.156297225723538,44.4064819975889,7.580584661224977
borel_threshold,3.2591299882751184,2.5972643874082637,35.3,-0.4077415722190139,-0.29260345203572874,-0.47442125247845024,-0.1636900884465425,47.31109732515775,8.314668337337732
borel_threshold,5.240516171971694,2.5532811711897385,35.3,-0.357225338404314,-0.2645418759320296,-0.422327954518362,-0.1386774868248279,37.49163735827665,5.9677701634762474
borel_threshold,3.2897012898207034,2.505131371455905,35.3,-0.3532802611151682,-0.2627802651543968,-0.4186105447533305,-0.1364757211724358,36.834525324435795,5.7797753634789615
borel_threshold,5.4765042175348775,2.5254689738259413,35.3,-0.33785373179447487,-0.2535566506002999,-0.40216846861358324,-0.12921548670380373,33.997797633979225,5.1811873813059215
borel_threshold,4.942993715283155,2.5489049083309228,35.3,-0.35560827302332704,-0.26376798763655446,-0.4207619216303718,-0.13780493623374865,37.21410763519718,5.892908700914339
borel_threshold,3.806657622218463,2.5505145808870977,35.3,-0.36765900591542217,-0.270832377472227,-0.4334910436073506,-0.14355778080684217,39.4998100797758,6.395192711758938
borel_threshold,3.9042551286094316,2.5991354599545793,35.3,-0.3958371004430035,-0.28627500731228184,-0.46237728107287496,-0.15763134157402545,44.939446943343626,7.710549102982634
borel_threshold,4.595036164699125,2.5047189062417954,35.3,-0.3293708624619581,-0.24919142417796095,-0.39370395252065743,-0.12481477754010753,32.58174192154148,4.834284193070486
borel_threshold,4.417941155058151,2.5814736644721545,35.3,-0.37984690126720166,-0.27740594485902864,-0.44589884730685847,-0.14970619431353058,41.79337550174032,6.954720871753728
borel_threshold,5.256168220196133,2.547485094795126,35.3,-0.353314297187329,-0.262348060358723,-0.4182774741767703,-0.13675325212682007,36.77593331818653,5.803306252902591
