sector,M2,s0,state,g_low,g_high,g_quoted,Gamma_low_keV,Gamma_high_keV,Gamma_quoted_keV,GA_basis,GB_basis,GB_hard_frac,GB_soft2p_frac,GB_3p_frac,GA_3p_frac,spectral_pole_axial,spectral_pole_tensor,twist2_retention,rho_AB,window,window_state,s0_sqrt
Bs,8.0,36.6025,B_{s1}(5750),0.4679367494468266,-0.037131246721582925,0.4679367494468266,27.048721108699272,0.17031444789361028,27.048721108699272,0.37835044947044727,0.457921371373102,0.26291187198197635,0.7362413746068905,0.0008467534111332621,0.00102483420803041,0.7334920300698526,0.8616127729785674,0.9084859256045491,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.05
Bs,8.0,37.2225,B_{s1}(5750),0.47234685891907185,-0.03697806112071533,0.47234685891907185,27.56096957131801,0.16891207622349427,27.56096957131801,0.3821810337429089,0.4620879904430009,0.26455636505120705,0.7346045166612364,0.000839118287556587,0.0010145623382813663,0.7422001316593911,0.8748900683609615,0.9153104024418054,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.101024504130433
Bs,8.0,37.8425,B_{s1}(5750),0.4764409632902676,-0.03669665062267884,0.4764409632902676,28.0408139816145,0.16635094890630897,28.0408139816145,0.3858103975342544,0.46591480031511473,0.26600619217484445,0.7331615816692603,0.0008322261558953455,0.001005018231025174,0.7511287580087433,0.8869689648811281,0.9216259577343713,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.151625801363409
Bs,8.0,38.4625,B_{s1}(5750),0.4802390344888171,-0.03630251261414388,0.4802390344888171,28.489665009300353,0.1627967753758858,28.489665009300353,0.3892473672335656,0.4694254683510914,0.26727882490422,0.7318951728667084,0.0008260022290716302,0.0009961441383579878,0.7601774389662719,0.8979266866961645,0.927470543276183,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.201814250685036
Bs,8.0,39.082499999999996,B_{s1}(5750),0.48376007486219685,-0.03581006336171814,0.48376007486219685,28.90896037832123,0.1584100048150718,28.90896037832123,0.3925005137563413,0.4726424155014462,0.2683903054231772,0.7307893143686065,0.0008203802082164355,0.0009878878361970832,0.7692824721248614,0.9078385521572541,0.9328792806829733,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.251599795252412
Bs,8.0,39.7025,B_{s1}(5750),0.4870221266967848,-0.03523265044800153,0.4870221266967848,29.300147988645197,0.1533426832621628,29.300147988645197,0.39557815409446545,0.4755868290831106,0.26935536847477776,0.7298293303866509,0.0008153011385713444,0.0009802019631963807,0.7784003736371932,0.9167782050147917,0.9378846724470822,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.300991985394046
Bs,8.0,40.3225,B_{s1}(5750),0.49004228793231264,-0.034582577357076046,0.49004228793231264,29.664671674982056,0.14773627426656671,29.664671674982056,0.3984883517395288,0.47827868507375165,0.27018755121041604,0.7290017363423394,0.000810712447244443,0.0009730434567242891,0.7874629470913351,0.9248152930186808,0.9425167972532809,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.35
Bs,8.4,36.6025,B_{s1}(5750),0.4476106348912969,-0.03855146176409915,0.4476106348912969,24.749887047268786,0.1835921586131083,24.749887047268786,0.36031949447752193,0.4389291434002431,0.2681551374106082,0.7310294898042001,0.0008153727851917589,0.000993259825353179,0.7019991238131612,0.8476294598993912,0.897448775820436,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.05
Bs,8.4,37.2225,B_{s1}(5750),0.45218043107912365,-0.038392682354527294,0.45218043107912365,25.257825317966716,0.182082974641416,25.257825317966716,0.3642888060724127,0.4432466186329632,0.2698805212456095,0.7293120481658394,0.000807430588551079,0.0009824372096817826,0.7110394017189426,0.861473725577809,0.9047454389376143,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.101024504130433
Bs,8.4,37.8425,B_{s1}(5750),0.4564384641394386,-0.03809995891061714,0.4564384641394386,25.735754139324555,0.17931699110039429,25.735754139324555,0.36806351405223403,0.44722664127345757,0.2714040098467995,0.727795745165252,0.0008002449879484172,0.0009723617378312016,0.7203422971424831,0.8741149820412988,0.911522934262584,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.151625801363409
