group,Gamma2460_median,Gamma2460_p16,Gamma2460_p84,Gamma2460_half_width,Gamma2536_median,Gamma2536_p16,Gamma2536_p84,Gamma2536_half_width
borel_threshold,38.89911169200188,34.51975887195648,42.983929074914975,4.232085101479246,6.28849677739496,5.27531998735151,7.25085119809335,0.9877656053709196
theta,38.03183897557126,34.38141846913959,40.37121818434754,2.9948998576039756,5.821863343749558,2.368311023659771,11.210864905358308,4.4212769408492685
quark_and_hadron_masses,37.84133113909214,35.787906376757434,39.80785943035786,2.0099765268002123,5.99592505451039,4.889166551217678,7.302377385098411,1.2066054169403664
decay_constants,38.371774451851195,33.54689708631645,43.200160355609285,4.826631634646418,5.906178412930863,3.460597912998797,9.445775990876422,2.992589038938813
condensates_and_chi,39.42767779515397,29.922107845026908,49.27181755034793,9.674854852660513,6.39967414956946,3.9938270483696514,9.107298168898183,2.556735560264266
photon_DA_shape,37.88828689609898,37.888286896098926,37.88828689609901,4.263256414560601e-14,6.033784786521778,6.0337847865217755,6.03378478652178,2.220446049250313e-15
all_inputs_fixed_theta,39.21873983729665,28.933418203928262,52.489360265694394,11.777971030883066,5.915758234882401,2.8136693032611104,11.58461703446566,4.385473865602275
all_inputs_and_theta,37.9125913150005,27.021765122421957,50.11763713591127,11.547936006744655,6.501898518430512,1.8806238498283943,15.187804028982207,6.653590089576906
