fB_scheme,M2,s0_root,s0,GA_stage1_full,GB_hard_candidate,GB_soft2p_tensor_DA,GB_stage1_candidate,hard_qcd_side,G2460_candidate,G2536_candidate,Gamma2460_keV_candidate,Gamma2536_keV_candidate,fB
fB_equal_fT,3.0,2.5,6.25,-0.25924581986396156,-0.7657846555855715,0.3204266853878648,-0.44535797019770673,-0.06552070799308397,-0.5132805541180911,0.04577323999657784,55.37890597538813,0.6501648292549426,0.256
fB_converted_fT_M_over_msum,3.0,2.5,6.25,-0.25924581986396156,-0.4243807625790339,0.1775733166024231,-0.2468074459766108,-0.06552070799308397,-0.35123600777113345,-0.06896069424992429,25.931808996495604,1.475718132904185,0.4619457079970653
fB_equal_fT,3.25,2.5,6.25,-0.2673933777857902,-0.7488861605240041,0.30371527453901564,-0.4451708859849885,-0.07276806009220518,-0.5178359961248162,0.03901560367049706,56.366260292794465,0.4723640369536298,0.256
fB_converted_fT_M_over_msum,3.25,2.5,6.25,-0.2673933777857902,-0.415015993817531,0.16831222573558782,-0.2467037680819432,-0.07276806009220518,-0.35585952080926975,-0.07567013359919775,26.619011807410732,1.7768434477670019,0.4619457079970653
fB_equal_fT,3.5,2.5,6.25,-0.2737142895824664,-0.735217565532848,0.290437841892962,-0.444779723639886,-0.07967106853476695,-0.5211693409059192,0.03363083380615928,57.09426261533667,0.3509743944511462,0.256
fB_converted_fT_M_over_msum,3.5,2.5,6.25,-0.2737142895824664,-0.40744116357848004,0.16095416893681933,-0.2464869946416607,-0.07967106853476695,-0.3593351909308892,-0.08095413150527742,27.141525402584733,2.033659311381585,0.4619457079970653
fB_equal_fT,3.75,2.5,6.25,-0.2787462566985878,-0.7239550750846059,0.2796575300086056,-0.4442975450760003,-0.08622665179103486,-0.5236835774184989,0.029245425731189684,57.64646215313411,0.26540925282020184,0.256
fB_converted_fT_M_over_msum,3.75,2.5,6.25,-0.2787462566985878,-0.4011997427689846,0.1549799607244275,-0.24621978204455713,-0.08622665179103486,-0.3620248692495479,-0.08521531985735897,27.54936292960213,2.2533856307134443,0.4619457079970653
fB_equal_fT,4.0,2.5,6.25,-0.2828389925181214,-0.7145289579295887,0.2707448257636658,-0.4437841321659229,-0.09244091507821293,-0.5256295804412573,0.025608510618055663,58.075685541791536,0.20350205784653183,0.256
fB_converted_fT_M_over_msum,4.0,2.5,6.25,-0.2828389925181214,-0.3959759990477858,0.1500407389777908,-0.245935260069995,-0.09244091507821293,-0.36415767876880883,-0.08871996859825321,27.874924119875406,2.4425469620853524,0.4619457079970653
fB_equal_fT,4.25,2.5,6.25,-0.28622847932608986,-0.7065335994328927,0.2632624257546143,-0.44327117367827845,-0.09832557222071124,-0.5271695765320719,0.022545806049914185,58.41648578543601,0.1577363172803101,0.256
fB_converted_fT_M_over_msum,4.25,2.5,6.25,-0.28622847932608986,-0.3915451498381918,0.14589415991198992,-0.24565098992620185,-0.09832557222071124,-0.36588431601345367,-0.09165052386329256,28.139886183425688,2.606574048438868,0.4619457079970653
fB_equal_fT,4.5,2.5,6.25,-0.2890790406440712,-0.6996729647518177,0.25689783413577094,-0.4427751306160468,-0.10389555997225614,-0.5284119557340543,0.019932713539948077,58.69215019927775,0.12329146539556662,0.256
fB_converted_fT_M_over_msum,4.5,2.5,6.25,-0.2890790406440712,-0.3877431392383523,0.1423670453047594,-0.2453760939335929,-0.10389555997225614,-0.3673071816518913,-0.09413582485296715,28.35917478662335,2.7498564842674598,0.4619457079970653
fB_equal_fT,4.75,2.5,6.25,-0.291508246478086,-0.6937262978916644,0.2514222429872678,-0.4423040549043966,-0.10916746063097973,-0.5294312282503852,0.01767793265312767,58.918795310571745,0.09697574256362515,0.256
fB_converted_fT_M_over_msum,4.75,2.5,6.25,-0.291508246478086,-0.38444762920363423,0.13933259491426953,-0.2451150342893647,-0.10916746063097973,-0.36849785617536607,-0.09626924635398473,28.543332777348528,2.875910110134392,0.4619457079970653
fB_equal_fT,5.0,2.5,6.25,-0.29360222472192254,-0.6885258541317832,0.24666454154611253,-0.44186131258567074,-0.1141584707253449,-0.5302799108948479,0.015713116271009603,59.10784134428405,0.0766169416217887,0.256
fB_converted_fT_M_over_msum,5.0,2.5,6.25,-0.29360222472192254,-0.38156565935418596,0.13669598297513777,-0.2448696763790482,-0.1141584707253449,-0.3695076316552274,-0.098120002650769,28.699978723971682,2.9875505762956993,0.4619457079970653
fB_equal_fT,5.25,2.5,6.25,-0.29542539002523716,-0.6839420392836797,0.2424943743070931,-0.4414476649765866,-0.11888573791542052,-0.5309958475030594,0.013986133109327392,59.267553350017494,0.060700948605700134,0.256
