case,theta_deg,f1_GeV,f2_GeV,s01_GeV2,s02_GeV2,T_A_GeV3,T_B_GeV3,G_low_A_component_GeV_inv,G_low_B_component_GeV_inv,G_low_GeV_inv,Gamma_low_keV,G_high_A_component_GeV_inv,G_high_B_component_GeV_inv,G_high_GeV_inv,Gamma_high_keV,low_interference,high_interference
previous_study_nominal,26.6,0.40058584465010283,0.16754429849454994,7.925,10.075,-0.031167128991395558,-0.07013203951401081,-0.07487824700879103,-0.3364676914973619,-0.4113459385061529,35.56715903463023,-0.36476016220936563,0.4110162958691572,0.04625613365979159,0.6639552696759857,constructive,destructive
truncated_matrix_diagnostic,30.612200648415484,0.40116767359436173,0.1635251939803735,7.9,9.975,-0.031167128991395558,-0.07013203951401081,-0.08503356403449033,-0.3233842777722836,-0.408417841806774,35.06260359736023,-0.35971474895852495,0.4789267186472942,0.11921196968876924,4.410013216929356,constructive,destructive
hqet_benchmark,35.3,0.40078469629101376,0.1661060396291142,7.9,9.825,-0.031167128991395558,-0.07013203951401081,-0.096586532717838,-0.30695787510105554,-0.40354440781889356,34.230828956216776,-0.335816918704581,0.5350319404592205,0.1992150217546395,12.315281123604551,constructive,destructive
