sector,state,scenario,M2,s0,theta_deg,GA_basis,GB_basis,f1_GeV,f2_GeV,rho_AB,f1_target_clipped,g_2460,g_2536,Gamma_2460_keV,Gamma_2536_keV,chi_effective
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.0,7.5,35.3,-0.333189150017653,-0.26585593230322657,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4160905930205129,0.025693102262863886,36.39238718685888,0.20484871999212403,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.1666666666666665,7.5,35.3,-0.31376803568121453,-0.2568492705228761,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3989291244653342,0.028744964691755137,33.45231960004862,0.25640336630750177,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.3333333333333335,7.5,35.3,-0.30200483060796074,-0.2512785845758341,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3884084308370464,0.03051253421159168,31.711153949743988,0.28890610712669135,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.5,7.5,35.3,-0.294991630521686,-0.24787312158786004,0.345,0.3807805629715229,-0.4081864418895571,0,-0.382043967393293,0.03150730735379827,30.68043002378109,0.3080510849406034,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.6666666666666665,7.5,35.3,-0.2910174131796533,-0.2458752325904306,0.345,0.3807805629715229,-0.4081864418895571,0,-0.37836296363901994,0.03202328733220153,30.092064689410897,0.3182233093900653,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.833333333333333,7.5,35.3,-0.2890336029795468,-0.24481437707269593,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3764560493253093,0.03223628511533545,29.789506606776886,0.32247061076913897,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.0,7.5,35.3,-0.288375615316926,-0.24438831770600966,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3757424858628577,0.032254918176604426,29.676683036907857,0.32284350430582026,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.1666666666666665,7.5,35.3,-0.28861030548542965,-0.24439742016816962,0.345,0.3807805629715229,-0.4081864418895571,0,-0.37584087910612746,0.032148120236793996,29.692227552218895,0.3207091358405521,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.333333333333333,7.5,35.3,-0.289448736708949,-0.2447067186893601,0.345,0.3807805629715229,-0.4081864418895571,0,-0.376494850544113,0.03196061555780713,29.795647715326112,0.316978958444492,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.5,7.5,35.3,-0.29069442450819627,-0.2452231855317669,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3775286928823103,0.03172194324146767,29.959508099818407,0.3122624271871862,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.6666666666666665,7.5,35.3,-0.29221163021415786,-0.245881665915691,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3788200509005203,0.03145188759559701,30.164814979759996,0.30696834550145286,4.980468750000001
