sector,state,scenario,M2,s0,theta_deg,quoted_combo,GA_basis,GB_basis,f1_GeV,f2_GeV,rho_AB,g_low,g_high,g_quoted,Gamma_low_keV,Gamma_high_keV,Gamma_quoted_keV,chi_effective
Bs,B_{s1}(5750),lattice_fperp_s,6.0,36.5,35.3,low,0.5657862375913253,0.6523724530174141,0.448804208775972,0.19667693065789485,0.6561573080128956,0.6771548051405113,-0.01901291105459068,0.6771548051405113,56.643275265334076,0.0446549555384373,56.643275265334076,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,6.4,36.5,35.3,low,0.5101236258456805,0.5961500869709468,0.448804208775972,0.19667693065789485,0.6561573080128956,0.6160860843799875,-0.02611025483984826,0.6160860843799875,46.88730026890148,0.08421600767743095,46.88730026890148,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,6.8,36.5,35.3,low,0.46692507543691464,0.5520876169544174,0.448804208775972,0.19667693065789485,0.6561573080128956,0.5683924288204922,-0.031134381773325434,0.5683924288204922,39.908830103822645,0.11974376832676148,39.908830103822645,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,7.2,36.5,35.3,low,0.4326385661304663,0.5168041605889993,0.448804208775972,0.19667693065789485,0.6561573080128956,0.5303211000397879,-0.034771284904000034,0.5303211000397879,34.74163410251785,0.14935298510186099,34.74163410251785,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,7.6,36.5,35.3,low,0.40490118728061647,0.488029615104497,0.448804208775972,0.19667693065789485,0.6561573080128956,0.4993609914526751,-0.037453601598330166,0.4993609914526751,30.803612783291918,0.17328445360146832,30.803612783291918,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,8.0,36.5,35.3,low,0.38209111678538776,0.46419232623041323,0.448804208775972,0.19667693065789485,0.6561573080128956,0.47377912670411887,-0.03946303126124216,0.47377912670411887,27.728365781996583,0.19237707239010393,27.728365781996583,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,8.4,36.5,35.3,low,0.3630646156660602,0.4441749805105464,0.448804208775972,0.19667693065789485,0.6561573080128956,0.4523471343624932,-0.040988144422078425,0.4523471343624932,25.276452123844113,0.2075338504805375,25.276452123844113,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,8.8,36.5,35.3,low,0.34699577525610087,0.42716467750890597,0.448804208775972,0.19667693065789485,0.6561573080128956,0.43417375553965726,-0.04215826612491459,0.43417375553965726,23.28625047579862,0.21955225916695656,23.28625047579862,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,9.2,36.5,35.3,low,0.33327563637570984,0.4125578363574179,0.448804208775972,0.19667693065789485,0.6561573080128956,0.4185989088947553,-0.043064003220229845,0.4185989088947553,21.64554934260714,0.22908741242811548,21.64554934260714,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,9.6,36.5,35.3,low,0.3214468301128598,0.3998981468484378,0.448804208775972,0.19667693065789485,0.6561573080128956,0.4051247505601781,-0.043770048758595755,0.4051247505601781,20.27449201269221,0.23666088764256443,20.27449201269221,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,10.0,36.5,35.3,low,0.3111601362847743,0.3888350500766738,0.448804208775972,0.19667693065789485,0.6561573080128956,0.39336965864788753,-0.04432337923397482,0.39336965864788753,19.11499312281899,0.24268232993473995,19.11499312281899,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,10.4,36.5,35.3,low,0.3021449424689018,0.3790953243832544,0.448804208775972,0.19667693065789485,0.6561573080128956,0.3830368162742147,-0.04475862579421777,0.3830368162742147,18.123975491411187,0.2474719135480041,18.123975491411187,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,10.8,36.5,35.3,low,0.29418873895640435,0.370463243222498,0.448804208775972,0.19667693065789485,0.6561573080128956,0.37389232113332155,-0.0451016680883335,0.37389232113332155,17.26893361509027,0.25127983455759745,17.26893361509027,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,11.2,36.5,35.3,low,0.287122619338629,0.36276646397800844,0.448804208775972,0.19667693065789485,0.6561573080128956,0.3657496503021917,-0.04537208479095597,0.3657496503021917,16.52495431114298,0.25430207175461006,16.52495431114298,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,11.600000000000001,36.5,35.3,low,0.2808108537888999,0.35586582510549786,0.448804208775972,0.19667693065789485,0.6561573080128956,0.35845845009785576,-0.045584853471981615,0.35845845009785576,15.87267315866525,0.25669272155726947,15.87267315866525,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,12.0,36.5,35.3,low,0.2751432752347681,0.34964785715066704,0.448804208775972,0.19667693065789485,0.6561573080128956,0.3518963232393169,-0.04575154835998027,0.3518963232393169,15.296845723000258,0.2585735042019833,15.296845723000258,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,12.4,36.5,35.3,low,0.27002964105598576,0.34401920953089493,0.448804208775972,0.19667693065789485,0.6561573080128956,0.345962727870545,-0.04588119648813819,0.345962727870545,14.785331079716835,0.2600410422681619,14.785331079716835,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,12.8,36.5,35.3,low,0.26539540363935654,0.338902450249667,0.448804208775972,0.19667693065789485,0.6561573080128956,0.3405743873380523,-0.04598089775823361,0.3405743873380523,14.328357087701676,0.2611724247794946,14.328357087701676,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,13.2,36.5,35.3,low,0.2611784999280774,0.33423286327524326,0.448804208775972,0.19667693065789485,0.6561573080128956,0.33566179590822215,-0.046056279494690974,0.33566179590822215,13.917981536280001,0.2620294662878632,13.917981536280001,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,13.600000000000001,36.5,35.3,low,0.25732688763390993,0.329955980230477,0.448804208775972,0.19667693065789485,0.6561573080128956,0.331166529814766,-0.04611183341571276,0.331166529814766,13.547691631158713,0.26266197693579674,13.547691631158713,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,14.0,36.5,35.3,low,0.25379663518653645,0.3260256589984337,0.448804208775972,0.19667693065789485,0.6561573080128956,0.32703915718308935,-0.04615116803840762,0.32703915718308935,13.212102614400967,0.263110283394477,13.212102614400967,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,14.4,36.5,35.3,low,0.2505504269549065,0.3224025741729549,0.448804208775972,0.19667693065789485,0.6561573080128956,0.3232375982565706,-0.046177199566861955,0.3232375982565706,12.906728384242149,0.2634071813822136,12.906728384242149,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,14.8,36.5,35.3,low,0.24755638315155476,0.31905302082795717,0.448804208775972,0.19667693065789485,0.6561573080128956,0.3197258277103234,-0.04619229755309266,0.3197258277103234,12.627805061810903,0.2635794554991659,12.627805061810903,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,15.200000000000001,36.5,35.3,low,0.2447871205172187,0.31594795893241057,0.448804208775972,0.19667693065789485,0.6561573080128956,0.3164728393479746,-0.04619839697689801,0.3164728393479746,12.372153945920774,0.2636490683581582,12.372153945920774,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,15.600000000000001,36.5,35.3,low,0.24221899891446574,0.3130622442475576,0.448804208775972,0.19667693065789485,0.6561573080128956,0.3134518138594049,-0.04619708516042487,0.3134518138594049,12.137074085978744,0.2636340957918681,12.137074085978744,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,16.0,36.5,35.3,low,0.2398315126858562,0.31037400494398537,0.448804208775972,0.19667693065789485,0.6561573080128956,0.31063944505393404,-0.04618966966039642,0.31063944505393404,11.920257350936481,0.26354946613470875,11.920257350936481,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,16.4,36.5,35.3,low,0.23760679563848092,0.3078641329807277,0.448804208775972,0.19667693065789485,0.6561573080128956,0.308015390750717,-0.04617723166435955,0.308015390750717,11.719720745801826,0.26340754756788054,11.719720745801826,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,16.8,36.5,35.3,low,0.23552921588396059,0.30551586653275087,0.448804208775972,0.19667693065789485,0.6561573080128956,0.30556182245338753,-0.04616066825578183,0.30556182245338753,11.533752068433436,0.26321861704078364,11.533752068433436,4.980468750000001
