scenario,ensemble,M2,s0_root,theta_deg,GA,GB,GB_hard,GB_soft2p,GB_3p,GB_em,T_A,T_B,transition_scheme,G2460,G2536,Gamma2460_keV,Gamma2536_keV,chi_effective,fperp_s_used_GeV
legacy_chi_condensate,central,4.5,2.55,35.3,-0.3398444213165865,-0.3179930205053402,-0.4092482583414416,0.12093509671915124,-0.0013996411073214407,-0.028280217775728415,-0.04435316263841104,-0.08520605418723447,rohrwild_nonlocal_exact_post_borel,-0.4559077473795291,-0.09360511561575441,43.69066896250559,2.7189381705487485,3.15,-0.034836479999999996
legacy_chi_condensate,theta_fixed,5.060884366290175,2.5085254311191902,35.3,-0.294964643655562,-0.3430889922172142,-0.3880402729430251,0.06760128051848556,-0.0011644941293450504,-0.0214855056633296,-0.04937047484738553,-0.10366541399540345,rohrwild_nonlocal_exact_post_borel,-0.4504553915511183,-0.042475143437133295,42.8471085146097,0.5600131204144023,3.4361910086904293,-0.03426016293165777
legacy_chi_condensate,theta_fixed,5.471388339821202,2.565128527323523,35.3,-0.299955621262619,-0.3687842742688047,-0.35480606761770705,0.012207501079432756,-0.0013596743065033027,-0.024826033424027255,-0.04639347998217233,-0.14122869398766474,rohrwild_nonlocal_exact_post_borel,-0.47431035158449864,-0.03170025322930459,47.02919129896088,0.3117320456425105,2.8840016336795387,-0.04074379313033552
legacy_chi_condensate,theta_fixed,4.768697137526511,2.5044921494679597,35.3,-0.2762291349772173,-0.2656030120333187,-0.4070165626146547,0.16975813131222056,-0.0014208631264643417,-0.026923717604420278,-0.03941053089061757,-0.07177993470014239,rohrwild_nonlocal_exact_post_borel,-0.37638971388235,-0.07196025496755631,29.530931346940065,1.6053926287286577,3.1725196389059125,-0.03488900805023427
legacy_chi_condensate,theta_fixed,4.557414558531545,2.5143078521329323,35.3,-0.3433567155836226,-0.3477183320822456,-0.3993523601376402,0.07517553117586526,-0.0011478426060198036,-0.02239366051445087,-0.04777972504644617,-0.08997965863695463,rohrwild_nonlocal_exact_post_borel,-0.48219729755557184,-0.07929463306261553,49.04653847856614,1.951738034677032,3.18160305975444,-0.02819976612554318
legacy_chi_condensate,theta_fixed,3.464455591036613,2.5784196957863803,35.3,-0.3284326257396437,-0.32296055206595314,-0.4282859472099075,0.1493064946795139,-0.0018100310296777595,-0.04217106850588182,-0.029665876514605498,-0.06293721625013426,rohrwild_nonlocal_exact_post_borel,-0.45336754353401254,-0.081420994288435,43.174726268208055,2.0571583809089655,3.1134268364509867,-0.03625547134461337
legacy_chi_condensate,theta_fixed,5.926094534359181,2.502438162016536,35.3,-0.16231888396576133,-0.30526601747448223,-0.38278280117334107,0.10506026255306676,-0.001590522833920726,-0.025952956020287236,-0.030388458809439967,-0.09972855648524467,rohrwild_nonlocal_exact_post_borel,-0.34293627651602876,0.04392575287850031,24.72084001320026,0.599148529119594,3.333941829022748,-0.047302393860944536
legacy_chi_condensate,theta_fixed,5.137852478663097,2.5696739107761997,35.3,-0.3440391541171014,-0.3451329603911072,-0.4406396715784146,0.12261989446440867,-0.0013530707902570474,-0.025760112486844147,-0.056816380406858664,-0.10136183637335427,rohrwild_nonlocal_exact_post_borel,-0.48048163084384854,-0.08134557354629637,48.23950448591444,2.052886257029155,2.934606635966756,-0.03243826890899892
legacy_chi_condensate,theta_fixed,5.432293387012696,2.5951941260901927,35.3,-0.27628842556573807,-0.2992819383265848,-0.41921136185220337,0.15159103959584505,-0.0016160951989064062,-0.030045520871319994,-0.04499720382665972,-0.09750560800110247,rohrwild_nonlocal_exact_post_borel,-0.40391061314245436,-0.052547019905972214,34.17685320581463,0.8563503408070946,2.98706297450984,-0.043284185339830965
legacy_chi_condensate,theta_fixed,5.674237419105097,2.5889962941562428,35.3,-0.3658077433216063,-0.430939252408462,-0.5088377551880446,0.10324126019871302,-0.0013427066479309278,-0.02400005077119948,-0.06657343104479052,-0.11453722772978257,rohrwild_nonlocal_exact_post_borel,-0.5630905164685026,-0.049527917416800016,66.45207907634706,0.7615400732947386,2.7043943451033576,-0.026753350099577782
legacy_chi_condensate,theta_fixed,5.859668920908125,2.577761419065692,35.3,-0.38235949674112063,-0.3245561472554744,-0.38070687045430845,0.0720294938782813,-0.0008526852651941464,-0.01502608541425306,-0.07369813980891082,-0.12101608655487417,rohrwild_nonlocal_exact_post_borel,-0.48583182231408106,-0.12451071398244956,49.411767453901774,4.809931482583581,3.272306566518589,-0.02837321692936269
legacy_chi_condensate,theta_fixed,3.8613401455107392,2.543697679622713,35.3,-0.32592917173195796,-0.389773404960169,-0.4422044419241395,0.08397712903650563,-0.0013750968245345135,-0.030170995248000623,-0.04063854108761416,-0.08520925551121392,rohrwild_nonlocal_exact_post_borel,-0.5064493842958435,-0.04076951491598965,53.79400944468198,0.5154977356179914,3.286649752343626,-0.030104058007397527
legacy_chi_condensate,theta_fixed,5.3667291690578045,2.5977083383017887,35.3,-0.30934002714307796,-0.34774888694203765,-0.42546032974642617,0.10627270814680204,-0.0014399652142652933,-0.027121300128148267,-0.049266042037394604,-0.11179579210243296,rohrwild_nonlocal_exact_post_borel,-0.4625654317535608,-0.05151467857754896,45.074877258228774,0.8233028889898585,3.343611481742373,-0.04281751442284022
legacy_chi_condensate,theta_fixed,4.74502456195458,2.5908979973130264,35.3,-0.4493370975682036,-0.3924609507936107,-0.42488706163695206,0.05541161078728277,-0.0010889240881401438,-0.02189657585580118,-0.05897671785186607,-0.11096444240423887,rohrwild_nonlocal_exact_post_borel,-0.5799550023294073,-0.13993434325403992,70.32453556192525,6.075137558911989,3.297326399539104,-0.02949831807978215
legacy_chi_condensate,theta_fixed,3.3135479122292697,2.507236759776899,35.3,-0.1984694967061146,-0.2865582287070871,-0.4326751094246578,0.19868021340536215,-0.002191119496943101,-0.05037221319084836,-0.016849587579402872,-0.04970911781555182,rohrwild_nonlocal_exact_post_borel,-0.3485580540738268,0.003611440542071853,25.519375302230312,0.0040476492603292264,3.4358565457509074,-0.04343546997181585
legacy_chi_condensate,theta_fixed,3.244922499326953,2.55953860583626,35.3,-0.25474784301288345,-0.4013901446520884,-0.4398690256982705,0.09179113985023528,-0.002150686362181923,-0.05116157244187117,-0.024028389650024625,-0.06970394025468392,rohrwild_nonlocal_exact_post_borel,-0.47479756871852935,0.024037064764953653,47.44551392390633,0.17926234276430209,2.9581623229085015,-0.03731365781099026
legacy_chi_condensate,theta_fixed,5.967872172197526,2.5216052505501123,35.3,-0.27247693504724646,-0.3308330812876274,-0.4120833612992046,0.1088410957989903,-0.0015660381305550827,-0.02602477765685807,-0.04373543974995922,-0.10580896547758512,rohrwild_nonlocal_exact_post_borel,-0.42745818806657854,-0.031204250701544617,38.12850960441833,0.302080299508609,3.0968720783672654,-0.04219033630894857
legacy_chi_condensate,theta_fixed,4.701169838962456,2.515874488637885,35.3,-0.2527956052983108,-0.29079369460257487,-0.38525934384255583,0.12621761149220456,-0.001557616545936906,-0.030194345706286704,-0.030248945062676388,-0.08485767846501377,rohrwild_nonlocal_exact_post_borel,-0.3834075330557237,-0.03827864254227231,30.577435700278308,0.45437994508918983,3.619436030115799,-0.047195310593003116
legacy_chi_condensate,theta_fixed,3.277744462294934,2.536289047722454,35.3,-0.30482690837890597,-0.366099817966785,-0.44629034028817793,0.12751191172379067,-0.001932922880128192,-0.04538846652226949,-0.03051945222999836,-0.062657310996982,rohrwild_nonlocal_exact_post_borel,-0.47493437628820034,-0.03722712729842603,47.10016630194043,0.4298042633031101,2.7209992497556548,-0.030199428115116132
legacy_chi_condensate,theta_fixed,5.8966643114105635,2.576770211177865,35.3,-0.21540298027936403,-0.24949677877366447,-0.45214607729575285,0.23752628241071438,-0.0018837003445739667,-0.03299328354405201,-0.030074321959642415,-0.07921933449458324,rohrwild_nonlocal_exact_post_borel,-0.32809595423046173,-0.031624853347797716,22.593454225394783,0.310521875336618,3.595515626218085,-0.05791307051206996
legacy_chi_condensate,theta_fixed,3.6094373752151094,2.501846427932442,35.3,-0.372294054597691,-0.33744947417371296,-0.4119201198168082,0.11456000399109488,-0.0017232073139432592,-0.03836615103405634,-0.03514885308537503,-0.06982861009681518,rohrwild_nonlocal_exact_post_borel,-0.4905381585878761,-0.10884542102504638,50.675994843449544,3.67544175596598,2.989303346826978,-0.033995709046466274
legacy_chi_condensate,theta_fixed,3.118746398190627,2.585800894690855,35.3,-0.37618275718554106,-0.42093797943528904,-0.4737031628987367,0.10840241003244344,-0.0021719528829918892,-0.053465273686003956,-0.02524034642075611,-0.06818922010048743,rohrwild_nonlocal_exact_post_borel,-0.5609233825108026,-0.06377466806984866,66.37293831630042,1.2626033660902518,3.3437432048246922,-0.039861656801812806
legacy_chi_condensate,theta_fixed,3.906726834899269,2.550343200110001,35.3,-0.30459713102720487,-0.2978038165327377,-0.4250240834156636,0.16501229332344697,-0.001650414011726979,-0.03614161242879415,-0.033982166170676925,-0.06817743324079771,rohrwild_nonlocal_exact_post_borel,-0.4190626636711146,-0.07650496250792474,36.824149919036,1.8166279614668173,3.4884356622032424,-0.040571400515755446
legacy_chi_condensate,theta_fixed,5.106039983358629,2.5793866596228274,35.3,-0.4399361156385608,-0.34187066092331353,-0.427130951525975,0.10770097608213376,-0.0011130479018827998,-0.021327637577589403,-0.06321103206675067,-0.10296133394920065,rohrwild_nonlocal_exact_post_borel,-0.5332339359884706,-0.16149583323891692,59.9265929193878,8.0949374771654,2.8404903647668234,-0.026644197771541357
legacy_chi_condensate,theta_fixed,5.193624325058997,2.54451483066446,35.3,-0.4427234492764686,-0.35471142489832796,-0.39826271747215286,0.06817952290870288,-0.0012645831187782378,-0.0233636472160997,-0.050238445470838416,-0.10789918667675594,rohrwild_nonlocal_exact_post_borel,-0.5453244481481927,-0.1563505476310372,62.58586310137092,7.580130820857065,3.3197188061400986,-0.03644799564176097
legacy_chi_condensate,theta_fixed,3.4362668077999703,2.5669909801754685,35.3,-0.40853638249334356,-0.39603352168301703,-0.4684074769511029,0.1204820156026961,-0.0019623607906327596,-0.04614569954397748,-0.040325675326758015,-0.073185252367984,rohrwild_nonlocal_exact_post_borel,-0.5592937074391711,-0.10457090865220234,65.62053005681605,3.393618377563657,2.4349156000661227,-0.028452986884477623
legacy_chi_condensate,theta_fixed,5.382864767497805,2.5913298600568617,35.3,-0.4020126966494522,-0.40060937465236,-0.37598277086356996,-0.006691967213925538,-0.000915517946009702,-0.017019118628854774,-0.07198096995354779,-0.14050768327117152,rohrwild_nonlocal_exact_post_borel,-0.5592584714501564,-0.09660249188273609,65.65479003110163,2.895142003483896,2.5266021734992914,-0.02278091392022071
legacy_chi_condensate,theta_fixed,5.868469502965659,2.535121270610071,35.3,-0.3250962695668113,-0.2712626987178221,-0.35353658710552877,0.10377504131700417,-0.001198530445152427,-0.020302622484144973,-0.055884724533567846,-0.10112169382980477,rohrwild_nonlocal_exact_post_borel,-0.40924704323802114,-0.10857206732336835,35.20841080056994,3.6561513320036942,2.6873277070590653,-0.03285661087269085
legacy_chi_condensate,theta_fixed,4.419428609389957,2.5672131079667935,35.3,-0.3322744130335861,-0.30362766875977454,-0.4028408952962228,0.12682800131005104,-0.001277092472692835,-0.026337682300909875,-0.04485263387103611,-0.08263800022132202,rohrwild_nonlocal_exact_post_borel,-0.43980925682227123,-0.09572807533190564,40.816814369233484,2.842412603405037,3.4683472381730933,-0.035852814680062406
legacy_chi_condensate,theta_fixed,3.031067763661338,2.5317966825885647,35.3,-0.2505306004144385,-0.33034660284182427,-0.43990403349841356,0.16548908272115534,-0.0022060473954873387,-0.05372560466907866,-0.019881015323633792,-0.05392977061646573,rohrwild_nonlocal_exact_post_borel,-0.41437929792535494,-0.013574137322237528,36.15901776556431,0.05716131933446422,3.2528001515698954,-0.03963006087377975
