M2_GeV2,theta_deg,theta_matrix_median_deg,theta_matrix_min_deg,theta_matrix_max_deg,Pi12_normalized_at_s0mix45,s01_GeV2,s02_GeV2,sqrt_s01_minus_m1_GeV,sqrt_s02_minus_m2_GeV,m_eff1_GeV,m_eff2_GeV,Pi1_GeV4,Pi2_GeV4,f1_GeV,f2_GeV,pole_fraction1,pole_fraction2,d5_fraction1,d5_fraction2
6.5,38.5,39.60554908295438,39.38566863875349,39.875154925541736,0.11595314734738749,45.425,43.85,0.9898071189018456,0.7932332524573216,5.750264435625443,5.8285928686287045,0.060656085579485396,0.0015025816970358284,0.5448753213283782,0.09074387046649118,0.8567128728266467,0.6334507165351831,0.004305215201012429,0.041663580664291044
6.55,38.5,39.59404595838299,39.37141808889258,39.86637284536588,0.11463644245130697,45.275,43.75,0.9786700023110066,0.7856782776614759,5.74973182151431,5.828503320176401,0.06286125177897942,0.0015564831835410589,0.5440263694743831,0.09053292990000493,0.8511150968381584,0.6250964490848292,0.00414205809037328,0.040873974250268515
6.6,38.5,39.58268450495524,39.357330638824116,39.857705815385984,0.11333745477627956,45.175,43.65,0.9712350055625931,0.7781146636635716,5.750208928537673,5.8282688635732915,0.06517197655107998,0.001611184095833254,0.5434444088399101,0.09031800178616325,0.846255842686044,0.6167545494703814,0.003982430055671955,0.04011757748053883
6.6499999999999995,38.5,39.57146236799132,39.34340405897443,39.849151582496106,0.11205591752684894,45.05,43.575,0.961929677819934,0.7724362658257551,5.7500148356225225,5.828899365971404,0.06748784418217939,0.0016686921314544186,0.5426984299641648,0.09015411094240149,0.8409040610504839,0.6091616901528383,0.0038324353839776664,0.0393447381312153
6.699999999999999,38.5,39.56037725459791,39.3296361615954,39.840707968203205,0.11079156627587594,44.925,43.475,0.9526114313750877,0.7648574616439037,5.749711203743391,5.8283966207930265,0.06984102925690419,0.0017250082353510647,0.5419313621602049,0.08993197647090817,0.8354725043974415,0.6008599269144845,0.0036894715298082087,0.03865018486671088
6.749999999999999,38.5,39.54942693005632,39.31602479819288,39.832372864088015,0.10954413907429479,44.825,43.4,0.9451474965081985,0.7591676368002407,5.74990062323978,5.828785065744076,0.07227300776034237,0.0017842927666651054,0.5413019304727695,0.08976259205783431,0.8304122123380463,0.5933217836232517,0.0035510563765474372,0.03793636432450776
6.799999999999999,38.5,39.53860921456091,39.302567857265174,39.82414422766324,0.10831337655304914,44.725,43.325,0.9376752313490826,0.7534728935056085,5.750002359283743,5.829061752462783,0.07474533096130581,0.0018444835842827633,0.540658226535017,0.08959080631495701,0.8252942517526539,0.5858166890342404,0.003418962980679708,0.03725011150230604
6.849999999999999,38.5,39.527921980266406,39.28926326231143,39.81602007858826,0.10709902201684723,44.625,43.225,0.9301946079436938,0.7458722294305957,5.750017326473414,5.828187044972216,0.07725718001756418,0.001903057866884213,0.5399998603245106,0.0893579266648509,0.8201203601391296,0.5776000043924387,0.0032928468876681394,0.036638240227740794
6.899999999999999,38.5,39.51736314861156,39.27610897007979,39.8079984952054,0.10590082152967001,44.525,43.15,0.9227055981812953,0.7401659599659967,5.749946454217998,5.828240447691931,0.07980769303172044,0.001964863453972973,0.5393264627679933,0.08918033095263651,0.8148922870385142,0.5701652105477337,0.003172385084793395,0.03600346273770062
6.949999999999998,38.5,39.50693068789188,39.263102969023805,39.800077611365936,0.10471852399266278,44.425,43.075,0.9152081737932232,0.7344547292441614,5.749790684619746,5.828190812312485,0.0823959659416682,0.0020274956294547126,0.5386376849820418,0.08900019373650156,0.8096117917289385,0.5627703415959588,0.0030572745025814934,0.03539277884272306
