ensemble,M2,s0_root,theta_deg,GA,GB,GB_hard,GB_soft2p,GB_3p,GB_em,G2460,G2536,Gamma2460_keV,Gamma2536_keV,fB,hard_qcd_side,f1_tensor_matched,input_mc,input_ms,input_m_ds1,input_m_ds1_2536,input_m_ds,input_f_ds1,input_f_ds,input_fT,input_ss,input_chi,input_f3g,input_ec,input_es,input_omegaA,input_omegaV
theta_fixed,3.7627987782411143,2.5584007388696266,35.3,-0.24975580444262083,-0.21132028051037544,-0.43098458228842457,0.23143941875206897,0.0008686416336109571,-0.012643758607630796,-0.3167897203020055,-0.08172206506655084,21.1074611280705,2.0726717340360867,0.4532931356775065,-0.09038962624479562,0.05989956979289511,1.2764375532160592,0.09983384543217903,2.459566151253961,2.535094168141741,1.9683079321961665,0.2239276277404703,0.24981804811399905,0.2536440735771501,-0.015168728623560451,3.3090033587790844,-0.002052368254464998,0.6666666666666666,-0.3333333333333333,-1.6452438919094605,5.1879108944375165
theta_fixed,3.529701488503602,2.595242469711409,35.3,-0.4096793964137511,-0.2770430267357492,-0.4836254692060593,0.22095351028574164,0.0008396522077866736,-0.015210720023218207,-0.46284159095914634,-0.17426333001307753,45.37396833957402,9.424974528128768,0.42250551562903127,-0.08640770453347478,0.05975478531366383,1.2694948024728383,0.11177866832036366,2.460890082658185,2.5351624954984886,1.9683703432258528,0.19554080360695375,0.2500960169199729,0.23714820264211053,-0.012936995087578663,3.29160016223549,-0.0028264158685367413,0.6666666666666666,-0.3333333333333333,-1.31819459575821,4.7238446646981815
theta_fixed,4.189098937266766,2.5489896937474468,35.3,-0.29062072815116063,-0.29094973394712487,-0.4596617124365627,0.17584663184374338,0.0007370798482177166,-0.007871733202523275,-0.40539241826410444,-0.06905897862693114,34.49842314017281,1.4802670402642806,0.40754528497432857,-0.09794136930359904,0.06033675293473107,1.3035607356016696,0.09074488012548616,2.459280006138266,2.5351805402795136,1.9683732426216303,0.2565380191963162,0.25005472093623105,0.2310605860595455,-0.012530721698799365,2.823825980888107,-0.003926480175941304,0.6666666666666666,-0.3333333333333333,-1.9235956258673532,5.5514196270908185
theta_fixed,5.759760663653376,2.5981990210137624,35.3,-0.4636617471590232,-0.3601897591787996,-0.46897166242001576,0.10801917673055833,0.0003775625868934023,0.0003851639237644025,-0.5618948777585574,-0.1702733823723938,66.39158971926264,8.992394732819788,0.4141048174943476,-0.14150983560291475,0.05987565392522923,1.2749549972695895,0.10171445623272694,2.4596541396276894,2.5350887197746546,1.968436669517168,0.2340539768029211,0.24912012276277837,0.2317746400227278,-0.008173360659115362,2.9535136479213993,-0.0027098144211618533,0.6666666666666666,-0.3333333333333333,-2.49515293344811,0.3928963195478762
theta_fixed,4.7668696126826315,2.521754465406851,35.3,-0.3714516929172938,-0.27907394077844094,-0.40120436113270264,0.12324105934204985,0.000488791119197285,-0.0015994301069855027,-0.44240892632350887,-0.14189068504314298,41.41282089448145,6.244606480980269,0.4549122638876112,-0.11549524683180432,0.05952185526414372,1.2554813023487954,0.07583520038338729,2.4607336272579925,2.5350639728782047,1.9684034306095892,0.22143816877443567,0.2503783178444271,0.24611855484890224,-0.010467507663484615,2.834064011075681,-0.004437731136775892,0.6666666666666666,-0.3333333333333333,-0.6497100081745477,2.09195871422207
theta_fixed,5.8024873098300604,2.5891161545431074,35.3,-0.3857283347592867,-0.2632372093330044,-0.4085457834271924,0.14380715646030529,0.000463562695883883,0.0010378549379988376,-0.43773384082587175,-0.16269376512156417,40.3080270647638,8.221412992568213,0.4697923219082167,-0.14461172266692085,0.05952494509492376,1.2541409486902797,0.09623698255871338,2.459524833353886,2.535191433352687,1.9682327321985302,0.2164830257800791,0.2511107911627814,0.2579348560225735,-0.011676854939312132,3.2083092352233957,-0.004899777371634366,0.6666666666666666,-0.3333333333333333,-3.252925462900046,3.7167605529003525
theta_fixed,5.924590083357282,2.5044205854175874,35.3,-0.3253819493553591,-0.25231726957390804,-0.3804322102748646,0.12658927590007885,0.00047361258949799007,0.0010520522113797773,-0.3939500485974173,-0.11975298201555654,32.49926476647216,4.4488392161354415,0.45706060318683395,-0.1323359347018659,0.05966193311800233,1.2610189023384328,0.0950867869317368,2.4587841712360663,2.5350130461556684,1.9683126868231844,0.23499343541717957,0.2502611904718295,0.2520849497787873,-0.011651582064252486,2.8582078291092166,-0.004427420393002042,0.6666666666666666,-0.3333333333333333,-2.1312604000790154,3.1384903465557907
theta_fixed,3.3961592857701453,2.5434134716917365,35.3,-0.4916935019364917,-0.24808792379481798,-0.36695244044317477,0.129152576393116,0.0005351832097472126,-0.010823242954506443,-0.4866027192077208,-0.2579300514462133,49.30269550267994,20.631044905306254,0.5358777026525644,-0.07938044259998966,0.05997482983352707,1.2784675214239214,0.0886255791901288,2.4578260700630157,2.5349980087286803,1.9683751301544365,0.1789438289230548,0.249488914112183,0.29806613209633886,-0.010020305761373879,3.117160009883195,-0.0031570471456088224,0.6666666666666666,-0.3333333333333333,-2.0325806122219725,-0.6518663113239953
theta_fixed,4.218618861515671,2.5725763428686372,35.3,-0.5445373617877747,-0.3321977175416991,-0.4371839085671319,0.1076123047559991,0.00040350395506603536,-0.003029617685632332,-0.5857841108953569,-0.25245442627381387,72.25641592665166,19.77922966984832,0.4509777664871154,-0.10846140217449456,0.05937853799493271,1.2459964660357412,0.08929799951804651,2.4597673073208712,2.535081296216206,1.9682988588973593,0.19638469148367654,0.2499274746622804,0.2448150741274567,-0.007831355030512873,3.0749976812937945,-0.004175331482250691,0.6666666666666666,-0.3333333333333333,-1.1411662425083189,3.818636983495397
theta_fixed,4.571169610384468,2.5717881791320676,35.3,-0.40631804131690535,-0.2896137482539141,-0.41804302212992994,0.13140845729257122,0.0004900899021834293,-0.003469273318738833,-0.4711586446535776,-0.16425591449166074,46.499955590121004,8.371772813571672,0.4536981972802864,-0.11149969644847602,0.06028906953220348,1.299902213398807,0.06730630241456242,2.4589183052971055,2.5351430049922077,1.968396389594027,0.19589473329894827,0.24970567830723955,0.25226541182539697,-0.009900870685625073,3.080373141688255,-0.006849649008056196,0.6666666666666666,-0.3333333333333333,-1.9878129480314761,4.412025461302274
