sector,transition,Godfrey2005,GoityRoberts2001,GreenRepkoRadford2017,RadfordRepkoSaelim2009,Chen2020,KornerPirjolSchilcher1993,LiNiZhong2021,GodfreyMoatsSwanson2016,LuPanWang2016,BondarMilstein2025,This_work
Ds,Ds1(2536)->Ds gamma,15,25.2-31.1,61.2,54.5,18.18-18.85,1.6+-2.3,,,,12,"0.504 [0.127,1.104] preferred; 0.045 [0.0046,0.169] legacy"
Ds,Ds1(2536)->Ds* gamma,5.6,14.6-22.8,9.21,8.9,2.96-3.02,10.4+-1,,,,29,"23.0 [16.5,35.1] preferred; 22.3 [10.6,41.8] theta-scan; 9.74 [5.78,16.5] legacy"
Ds,Ds1(2460)->Ds gamma,6.2,10.3-17.2,13.2,12.8,3.53-3.61,,,,297,"16.1 [12.4,20.5] preferred; 37.7 [27.2,49.2] legacy",
Ds,Ds1(2460)->Ds* gamma,5.5,14.0-25.1,17.4,15.5,4.74-4.79,,,,104,not computed,"92.3 [59.7,138.7] preferred; 93.1 [57.1,145.1] theta-scan; 24.2 [8.63,53.7] legacy"
Bs,Bs1(5748)->Bs gamma,,,,,,,37,70.6,97.7,47,"18.4 [12.5,28.1] preferred; 9.50 [5.97,17.0] legacy"
Bs,Bs1(5748)->Bs* gamma,,,,,,,56,36.9,39.5,20,"10.2 [6.63,16.24] preferred; 11.5 [6.62,17.79] theta-scan; 1.89 [0.471,5.11] legacy"
Bs,Bs1(5829)->Bs gamma,,,,,,,27,47.8,56.6,28,"0.342 [0.160,1.026] preferred; 1.33 [0.612,3.60] legacy"
Bs,Bs1(5829)->Bs* gamma,,,,,,,53,57.3,98.8,41,"7.46 [3.30,24.0] preferred; 2.55 [0.805,9.75] theta-scan; 4.33 [2.05,12.05] legacy"
