window,sector,state,M2_range_GeV2,s0_range_GeV2,sqrt_s0_range_GeV,n_grid,min_spectral_pole_axial,min_spectral_pole_tensor,min_twist2_retention,max_GB_3p_frac,max_GA_3p_frac,max_GB_hard_frac,max_GB_soft2p_frac,g_quoted_min,g_quoted_max,g_quoted_span,Gamma_quoted_keV_min,Gamma_quoted_keV_max,Gamma_quoted_keV_span
Bslow_M2_8_12,Bs,B_{s1}(5750),8.00-12.00,36.60-40.32,6.05-6.35,77,0.45642204111884405,0.7053539701802406,0.7969240028901394,0.0008467534111332621,0.00102483420803041,0.30911057700758393,0.7362413746068905,0.3515402179981384,0.49004228793231264,0.3291467419015484,15.26590177527579,29.664671674982056,0.6409341699431897
Bslow_M2_9_13,Bs,B_{s1}(5750),9.00-13.00,36.60-40.32,6.05-6.35,77,0.40488008715552826,0.6620656183009271,0.7704297402991342,0.0007740016084439026,0.0009508060015038475,0.3149150197291197,0.724092217145842,0.338184175891848,0.44713673599933207,0.27747270818271885,14.127944926321826,24.69750788448491,0.5444656632682535
Bslow_M2_10_14,Bs,B_{s1}(5750),10.00-14.00,36.60-40.32,6.05-6.35,77,0.3602348652775329,0.6183813787924839,0.7449857146176844,0.0007171790265946941,0.0008909578702509552,0.31982613212559674,0.7144303907031287,0.3275146897032195,0.4179827349352459,0.2427051851343405,13.250552763672484,21.581872121883706,0.4783657402884938
Bslow_M2_8_14,Bs,B_{s1}(5750),8.00-14.00,36.60-40.32,6.05-6.35,77,0.3602348652775329,0.6183813787924839,0.7449857146176844,0.0008467534111332621,0.00102483420803041,0.31982613212559674,0.7362413746068905,0.3275146897032195,0.49004228793231264,0.3975933241965384,13.250552763672484,29.664671674982056,0.7649555199121862
Bs5830_M2_8_12,Bs,B_{s1}(5830),8.00-12.00,37.82-40.96,6.15-6.40,77,0.4754782558451875,0.7360057047789467,0.8165552353105197,0.0008274849382468971,0.0009858360011719572,0.31010829724079986,0.7332089174629085,-0.046134233898757065,-0.03737086498046251,0.20988823523147362,0.29631598618015687,0.4515807373241994,0.41520372068627776
Bs5830_M2_9_13,Bs,B_{s1}(5830),9.00-13.00,37.82-40.96,6.15-6.40,77,0.4232751208541927,0.6925901710992917,0.790993997574879,0.0007538120894017715,0.000910804150874264,0.31594515886192814,0.7207043950448278,-0.046293895026723694,-0.03995364831945287,0.1470244011895533,0.33868944868232814,0.4547118027069445,0.2924682909724613
Bs5830_M2_10_14,Bs,B_{s1}(5830),10.00-14.00,37.82-40.96,6.15-6.40,77,0.3778189164525459,0.6483556857831774,0.7662676382533052,0.0006963045501745806,0.0008501927168969894,0.3208809468944814,0.7107586892981743,-0.04632948190247984,-0.04111736403842959,0.11920653759364269,0.35870655421703956,0.4554111602362802,0.2375690991668884
Bs5830_M2_8_14,Bs,B_{s1}(5830),8.00-14.00,37.82-40.96,6.15-6.40,77,0.3778189164525459,0.6483556857831774,0.7662676382533052,0.0008274849382468971,0.0009858360011719572,0.3208809468944814,0.7332089174629085,-0.04632948190247984,-0.03737086498046251,0.21406403331986765,0.29631598618015687,0.4554111602362802,0.423279044303633
