M2_GeV2,s0_GeV2,theta_deg,Pi_AA_GeV4,Pi_AB_GeV4,Pi_BB_GeV4,Pi12_rotated_GeV4,lambda1_GeV4,lambda2_GeV4,f1_GeV,f2_GeV,m_eff1_GeV,m_eff2_GeV,pole_fraction_trace,d5_fraction_frobenius
3.0,7.8,32.33075407158531,0.045309770571911226,0.051360200611803825,0.093949936667273,2.0134853451665386e-17,0.1264571062923268,0.012802600946857446,0.39625628604091023,0.13026817855414008,2.44869246007793,2.381359085758043,0.4180833386018751,0.014443488210924286
3.0,7.8999999999999995,32.22446676982267,0.04626640019659506,0.0524988526413681,0.09646265808708174,1.2792927107275196e-17,0.12955426711351295,0.013174791170163838,0.40107944549310887,0.13214815569716992,2.4577306368868705,2.3941950289404317,0.42742930318884487,0.014097557329669802
3.0,7.999999999999999,32.11910622597618,0.047209249093407145,0.05362224762344753,0.09896505233141394,9.985347619953458e-18,0.13262714762535252,0.013547153799468543,0.4058081451056075,0.13400261298945507,2.466722163436365,2.4068175630364417,0.43671032433017604,0.013770299487577017
3.0,8.099999999999998,32.014708765541975,0.04813820203368637,0.054730188805089314,0.10145604305773456,3.485411193050125e-18,0.1356747999776489,0.01391944511377206,0.41044421595742014,0.13583140650850942,2.475663383716027,2.419233132253602,0.445923192093504,0.013460365322987455
3.0,8.2,31.911306019448237,0.04905316545172296,0.055822506906697586,0.10393460399648988,1.6206178376112043e-17,0.1386963392700008,0.01429143017821204,0.41498943862703314,0.13763442798639172,2.4845510450845323,2.4314477912909,0.4550648897934077,0.013166528660478363
3.0,8.299999999999997,31.80892543770878,0.04995406620579317,0.05689905866775792,0.10639975790446232,2.04911382424596e-17,0.14169094125429177,0.01466288285596373,0.4194455464780782,0.1394116023281192,2.493382253803032,2.4434672364780594,0.4641325878342834,0.012887673000134327
3.0,8.399999999999999,31.707590738427637,0.050840850392009015,0.057959725447408794,0.10885057549376187,6.760004835133325e-18,0.14465784009154675,0.015033585794224131,0.4238142285863094,0.14116288529012233,2.5021544361674892,2.4552968339348222,0.4731236376298616,0.012622779728323192
3.0,8.499999999999996,31.607322301488075,0.0517134822093488,0.05900441187879242,0.11128617434081672,5.81307513069266e-18,0.147596326163472,0.015403330386693507,0.42809713235443564,0.1428882613075985,2.510865304429482,2.4669416454195616,0.482035565606721,0.012370917801047833
3.0,8.599999999999998,31.508137514750803,0.05257194287423944,0.06003304457604361,0.11370571777937637,-6.24434292931348e-18,0.15050574393881203,0.015771916714803783,0.4322958658546359,0.14458774146043316,2.5195128268365257,2.478406451910808,0.4908660672982178,0.012131234691081016
3.0,8.699999999999996,31.410051079341738,0.05341622958305705,0.061045570892701115,0.11610841378120765,-1.6218540957921217e-17,0.15338548989447526,0.016139153469789454,0.43641199993290675,0.14626136156812047,2.5280952012383224,2.48969577506245,0.49961300153434846,0.011902948423111012
3.0,8.799999999999997,31.313075279586833,0.05424635452092903,0.06204195773027888,0.11849351382786691,1.521249144843711e-17,0.15623501049124225,0.016504857857553696,0.440447070104623,0.14790918040483514,2.5366108317773115,2.5008138969140012,0.5082743847323016,0.011685340548399077
3.0,8.899999999999995,31.217220222301364,0.05506234391524214,0.06302219039569293,0.12086031177666115,1.4403492846943624e-18,0.1590538002037481,0.016868855488155192,0.44440257826666296,0.14953127802650837,2.54505830826998,2.511764877798559,0.5168483852917889,0.01147774993306679
3.0,8.999999999999996,31.122494049437144,0.055864237132275764,0.06398627150621158,0.12320814272363795,1.0390828046839618e-17,0.16184139960430866,0.017230980251605042,0.44827999424800136,0.15112775420233485,2.553436387899535,2.5225525726981566,0.5253333180985438,0.011279567252957551
3.0,9.099999999999994,31.028903127502996,0.05665208581541286,0.06493421994057952,0.12553638186621072,9.07033206062302e-19,0.16459739350007438,0.017591074181549204,0.452080757217766,0.15269872694373113,2.5617439789839884,2.5331806464399254,0.533727639138844,0.011090230103741822
3.0,9.199999999999996,30.9364522166789,0.05742595306340479,0.06586606983494502,0.12784444336779446,2.829733828357591e-17,0.16732140912289636,0.017948987308302897,0.45580627696724335,0.1542443311243064,2.5699801264919246,2.5436525872729034,0.5420299402273495,0.010909218648118618
3.0,9.299999999999994,30.845144622132704,0.05818591264720529,0.06678186962223373,0.13013177922663255,1.0859424517408916e-17,0.17001311437124772,0.018304577502590114,0.4594579350802228,0.1557647171848551,2.578143999139996,2.5539717195733633,0.5502389438501294,0.010736051733050245
3.0,9.399999999999995,30.754982329696745,0.0589320482639119,0.06768168111359345,0.13239787815077864,1.1302980666373887e-17,0.1726722161034437,0.018657710311246817,0.4630370860041878,0.1572600499178468,2.586234877870277,2.564141215426086,0.558353498124234,0.010570283419323402
3.0,9.499999999999993,30.6659661277681,0.05966445282640038,0.06856557862055483,0.13464226444103658,3.315250513228522e-17,0.17529845848138298,0.019008258786053975,0.4665450580333309,0.15873050732630342,2.5942521455213656,2.5741641051019375,0.566372571874856,0.01041149987364379
3.0,9.599999999999994,30.578095717045397,0.06038322778726659,0.06943364811656436,0.13686449688348204,3.3467458301058032e-18,0.17789162136397818,0.01935610330677044,0.46998315421299447,0.1601762795522921,2.6021952775924566,2.5840432869755,0.5742952498307234,0.010259316580191347
3.0,9.699999999999992,30.49136980950061,0.06108848249573256,0.07028598643654865,0.13906416765303423,2.0668752888509816e-17,0.18045151874939958,0.019701131399367213,0.4733526531739612,0.16159756787066962,2.610063833929875,2.5937815364099177,0.5821207279380605,0.010113375834283402
3.0,9.799999999999994,30.405786217802394,0.06178033358620225,0.0711227005132082,0.14124090122941502,-6.382719737599794e-18,0.1829779972652516,0.020043237550365675,0.4766548099040317,0.16299458374393994,2.617857451263541,2.6033815138922782,0.5898483087931798,0.009973344485673863
3.0,9.899999999999991,30.321341936256058,0.062458904397209504,0.07194390664873399,0.14339435332665537,-8.125286548608468e-18,0.1854709347057306,0.020382323018134318,0.47989085646338564,0.16436754793448352,2.625575836493497,2.6128457728495587,0.5974773971934402,0.009838911903197814
3.0,9.999999999999993,30.23803321418239,0.06312432441951481,0.0727497298206921,0.14552420983725406,-2.884908122738321e-18,0.18793023861486283,0.020718295641906047,0.48306200264954835,0.16571668967058392,2.6332187606164186,2.6221767664584257,0.6050074958061994,0.009709788136052543
3.0,10.09999999999999,30.155855622554906,0.06377672877216836,0.07354030302082357,0.14763018579189127,6.97313646246248e-18,0.1903558449148319,0.021051069649227743,0.48616943661701534,0.16704224586298214,2.64078605326617,2.631376854177299,0.6124382009550077,0.0095857022500945
3.0,10.199999999999992,30.074804114603886,0.06441625770537925,0.07431576662554294,0.14971202433556485,-1.2888180779298487e-18,0.19274771657845127,0.021380565462492833,0.489214325456082,0.16834446036891199,2.6482775977550217,2.6404483076719694,0.6197691985222524,0.009466400820187985
3.0,10.29999999999999,29.99487308101889,0.06504305612907715,0.07507626779695545,0.1517694957208741,3.1935173749566306e-17,0.19510584234481174,0.021706709505139532,0.4921978157348887,0.1696235833007321,2.655693326605014,2.6493933163596988,0.6270002599672099,0.009351646561941077
3.0,10.399999999999991,29.916056400301354,0.06565727316608619,0.07582195991321845,0.15380239631909343,2.888135497016551e-17,0.19743023547711558,0.02202943400806403,0.495121034008226,0.17087987037653976,2.6630332174884486,2.658213992465237,0.6341312384583201,0.009241217088156029
3.0,10.49999999999999,29.83834748475973,0.06625906172886821,0.07655300202713296,0.15581054764958563,2.5241443588154477e-17,0.1997209325617321,0.022348676816721768,0.4979850872962847,0.17211358231022378,2.6702972895391377,2.6669123757320206,0.6411620651183614,0.009134903777048732
3.0,10.59999999999999,29.761739322576386,0.06684857811883346,0.0772695583518517,0.15779379542804803,7.05375448700444e-18,0.20197799234750344,0.02266438119937805,0.5007910635361796,0.17332498423871143,2.67748560002027,2.675490437774285,0.64809274538115,0.00903251074079582
3.0,10.699999999999989,29.686224516335308,0.06742598164723991,0.07797179777264493,0.15975200863396188,8.01721257883547e-18,0.20420149462431705,0.022976495656884713,0.5035400320087522,0.17451434518415457,2.6845982412685467,2.6839500862008787,0.6549233554581281,0.008933853884279877
3.0,10.79999999999999,29.611795318348094,0.06799143427675332,0.07865989338367735,0.16168507859760345,-3.3656570305691196e-18,0.20639153913999567,0.023284973734361104,0.5062330437429253,0.1756819375491018,2.6916353379308338,2.6922931682070943,0.6616540389133059,0.0088387600450466
3.0,10.899999999999988,29.538443663084465,0.06854510028276017,0.0793340220487935,0.16359291810686769,3.363560094174307e-17,0.20854824455454016,0.023589773835087716,0.5088711318996194,0.17682803664270694,2.698597044443011,2.700521474244073,0.6682850033447877,0.008747066206491178
3.0,10.99999999999999,29.466161196979307,0.06908714593356631,0.07999436398533473,0.16547546053410944,5.31193851915783e-18,0.21067174743077666,0.023890859036899085,0.5114553121370353,0.17795292023619583,2.7054835427284165,2.708636741095989,0.6748165171710973,0.008658618777169374
3.1,7.8,32.3260270897546,0.04828612486270318,0.054797688291152676,0.10020386939141879,2.7145730337890067e-18,0.13488038028979507,0.013609613964326904,0.39614547359346974,0.1297496330285031,2.4491307519955545,2.3872271707670256,0.3991196906382695,0.013725704752549151
3.1,7.8999999999999995,32.21780440084665,0.04932700681640734,0.05603662385018449,0.10293789388995626,1.6853696091501792e-17,0.13825036255031115,0.014014538156052468,0.4010637835614132,0.13166569321983618,2.4583354684746466,2.400138306559627,0.4082662749051966,0.013390498617379632
3.1,7.999999999999999,32.110501810336885,0.05035399801183889,0.05726027364574853,0.10566361085894711,3.2653007444443422e-18,0.1415975397295491,0.014420069141236903,0.4058898217019748,0.13355707719553905,2.467493882591817,2.412839073912439,0.4173590728034577,0.013073350152444199
3.1,8.099999999999998,32.00415503355775,0.051366941710581586,0.05846838881376095,0.10837982560256122,8.239731191215245e-18,0.14492082574999438,0.014825941563148433,0.410625302732551,0.1354236069563231,2.476602440998109,2.4253358554686737,0.4263948098129099,0.012772955130318193
3.1,8.2,31.89879519875092,0.05236570436478514,0.05966074973100854,0.11108539426030524,7.978626904516922e-18,0.14821919979003476,0.015231898835055631,0.41527189457421065,0.13726514026427192,2.4856579824816385,2.437634645119492,0.43537039077789647,0.012488128250667339
3.1,8.299999999999997,31.79444934780932,0.05335017436409006,0.06083716455346148,0.1137792228902998,2.3794336853044567e-17,0.1514917040620785,0.015637693192311355,0.4198312214776048,0.13908156822007248,2.494657694726724,2.4497410792470204,0.44428289464983534,0.012217790118369234
3.1,8.399999999999999,31.691140874155792,0.054320260833319096,0.06199746780637866,0.11646026652037134,-8.139980938421967e-18,0.1547374416374492,0.01604308571624123,0.4243048668044324,0.14087281299531057,2.5035990765094605,2.4616604650212,0.4531295692748279,0.011960955877683902
3.1,8.499999999999996,31.58888990680945,0.05527589247949293,0.06314151902540223,0.11912752817154615,-3.995480918624793e-18,0.15795557431875246,0.016447846332286613,0.4286943755091719,0.14263882570895267,2.5124799045259385,2.4733978063319277,0.46190782623391285,0.01171672526349969
3.1,8.599999999999998,31.48771364823165,0.05621701648672734,0.06426920144773739,0.12178005785818297,1.4683881721160595e-17,0.16114532056020328,0.016851753784707022,0.43300125635933245,0.14437958443800453,2.5212982042401264,2.484957827359089,0.47061523574273084,0.011484273869130377
3.1,8.699999999999996,31.387626672340314,0.05714359745754472,0.06538042075243891,0.12441695156864797,3.223303867106413e-17,0.1643059534362142,0.017254595589978487,0.4372269839270377,0.14609509235300494,2.530052224188247,2.496344994062043,0.47924952161650547,0.011262845461785709
3.1,8.799999999999997,31.28864118808697,0.058055616399146824,0.06647510384875216,0.12703735023015736,2.0902594871571447e-17,0.16743679865839653,0.017656167970907678,0.44137300038018756,0.14778537596982322,2.5387404132909595,2.507563533881377,0.4878085563056035,0.011051745202988456
3.1,8.899999999999995,31.190767273174238,0.05895306975320195,0.06755319771140712,0.12964043866110672,-1.6050909666223638e-17,0.17053723264096937,0.018056275773339292,0.44544071709754424,0.14945048350983337,2.547361400774093,2.5186174536285586,0.4962903560062107,0.010850333652907506
3.1,8.999999999999996,31.09401308180279,0.05983596846770033,0.06861466826172682,0.13222544451396426,5.5682860120950055e-18,0.17360668061446144,0.018454732367203158,0.4494315161288096,0.15109048336111736,2.555913978346751,2.5295105559239155,0.5046930758500751,0.010658021455641466
3.1,9.099999999999994,30.998385029769324,0.06070433710947195,0.06965949929337362,0.13479163721156404,-1.63610412689189e-17,0.1766446147874824,0.018851359533553592,0.4533467515179609,0.15270546263400353,2.564397084380134,2.5402464541071024,0.5130150051767834,0.010474264617583794
3.1,9.199999999999996,30.903887959758457,0.06155821301595144,0.07068769144153628,0.13733832687938055,7.645446840822942e-18,0.17965055255622028,0.0192459873391117,0.457187750505682,0.1542955258046299,2.572809789802364,2.5508285860912387,0.5212545628913965,0.010298560303661964
3.1,9.299999999999994,30.81052528926746,0.06239764548482692,0.07169926119435024,0.1398648632762021,-4.700846012531608e-19,0.18262405476128282,0.01963845399974623,0.460955814624736,0.1558607934408155,2.5811512855438394,2.561260226773893,0.5294102929099956,0.010130443086890657
3.1,9.399999999999995,30.718299143266574,0.06322269500021445,0.07269423994532956,0.1423706347253774,1.5584994120633427e-17,0.18556472399138524,0.020028605734206627,0.46465222070031004,0.15740140100486036,2.5894208713031994,2.571544499719064,0.5374808596951223,0.00996948159567093
3.1,9.499999999999993,30.62721047340945,0.06403343249404549,0.073672673085587,0.14485506704865306,2.966652790906803e-17,0.18847220293335015,0.020416296609348416,0.46827822176588274,0.15891749772837138,2.5976179454845587,2.5816843875582345,0.5454650438828136,0.009815275510875607
3.1,9.599999999999994,30.53725916536327,0.06482993864136377,0.07463461913462796,0.1473176225044431,3.522672487555124e-18,0.19134617276782664,0.02080138837798021,0.4718350479038553,0.1604092455544843,2.6057419962011497,2.591682741836812,0.5533617380025408,0.009667452871222943
3.1,9.699999999999992,30.44844413562419,0.06561230318828443,0.07558014890849943,0.1497577987322035,1.60019601295101e-17,0.19418635161008316,0.021183750310404748,0.47532390701904825,0.1618768181432899,2.613792593183184,2.6015422918196784,0.5611699422910804,0.009525667650942746
3.1,9.799999999999994,30.360763419002645,0.06638062431137229,0.07650934472409801,0.15217512770444921,5.245342428434652e-18,0.19699249299520102,0.021563259020620444,0.47874598555220776,0.16332039993647088,2.621769380501126,2.6112656528088936,0.5688887606010309,0.009389597578436376
3.1,9.899999999999991,30.274214247816158,0.06713500800725865,0.07742229963844154,0.15456917468779416,3.4513440963387545e-17,0.19976438440694844,0.021939798288104405,0.48210244913979694,0.16474018527754647,2.6296720700288048,2.6208553335529166,0.5765173964044605,0.009258942168654308
3.1,9.999999999999993,30.188793123692335,0.06787556751131847,0.07831911672173868,0.15693953721428608,1.5307022535925273e-17,0.2025018458496048,0.022313258875999737,0.48539444322563396,0.16613637758427058,2.6375004355334988,2.6303137433348494,0.5840551488919121,0.009133420945365905
3.1,10.09999999999999,30.10449588277738,0.06860242274428768,0.0791999083630974,0.15928584406416327,1.1026166857915372e-17,0.20520472846196408,0.02268353834648688,0.48862309362927386,0.16750918857005234,2.6452543073513795,2.6396431983234905,0.5915014091667828,0.009012771832467037
3.1,10.199999999999992,30.021317755045,0.06931569978571961,0.08006479560774075,0.16160775426107196,-1.0479033491476234e-17,0.20787291317274492,0.023050540874046666,0.4917895070754897,0.16885883751144554,2.6529335675706793,2.6488459274625074,0.5988556565349259,0.008896749696031653
3.1,10.29999999999999,29.93925341832088,0.07001553037322052,0.08091390752461948,0.16390495608065495,2.1854776729504423e-17,0.21050630939660964,0.02341417705726583,0.4948947716887064,0.17018555055895845,2.6605381456717767,2.6579240780032616,0.6061174548891145,0.008785125021028644
3.1,10.399999999999991,29.858297047562342,0.07070205142642795,0.08174738060333085,0.16617716607333513,8.580273604289735e-18,0.21310485376998303,0.02377436372978004,0.4979399574558097,0.1714895600886156,2.668068014580379,2.6668797205581787,0.6132864491878511,0.008677682708543733
