sector,scenario,em_over_local_min,em_over_local_max,delta_gA_min_GeV_inv,delta_gA_max_GeV_inv,delta_GammaA_min_keV,delta_GammaA_max_keV
Ds,reference_window,0.6407495581732008,1.9897727693897946,-0.0545782172015542,0.011553014831964303,-1.6696250327620028,8.983584544757246
Ds,selected_window,1.1654309648605565,2.181788879002955,-0.06516640194533685,-0.0063675858752847425,1.274583440827307,14.771369595339998
Bs,legacy_chi_selected_window,0.9407973518081685,1.5665310106600574,-0.0004338320267571194,0.006111121306547007,-0.06360812777370128,1.179366168821815
Bs,lattice_fperp_selected_window,0.9407973518081685,1.5665310106600574,-0.0004338320267570639,0.006111121306547007,-0.10460666297541366,1.9015890034408045
