accepted,M2_GeV2,s0_mix_GeV2,mc_GeV,ms_GeV,ss_GeV3,m0_sq_GeV2,theta_deg,theta_matrix_deg,Pi12_normalized,s01_GeV2,s02_GeV2,m_eff1_GeV,m_eff2_GeV,f1_GeV,f2_GeV,pole_fraction1,pole_fraction2,d5_fraction1,d5_fraction2
1,2.5485395586669553,10.557454331187273,1.2280710359608604,0.10047688488225626,-0.011729491379570897,0.6511508142880466,26.624760599314452,29.375859840372573,0.12180313037856833,8.1,9.6,2.4601139313260454,2.534151249603293,0.4241625881353302,0.1719757134164908,0.5617646034343908,0.6293513544105984,0.012036853977679854,0.05953467766938015
1,2.4773283149285086,9.518646687059642,1.3046158347807602,0.09837023282245799,-0.009330676660980088,0.6479748633449243,25.972652450489438,31.82231727176867,0.2710914552839849,7.975,9.475,2.4594070760423055,2.5345583358074353,0.3861552023206295,0.15470856758096757,0.5481052897240352,0.6345354376212081,0.010616545918050248,0.056886512051390156
1,2.575925163957397,9.405322972848317,1.265203662702831,0.10401180371461383,-0.008843699137336286,0.5815497603743847,25.83359373181456,31.395491922436328,0.2524439064758428,8.25,9.5,2.460524256139409,2.5353997526042886,0.41527000640531614,0.16419968654968944,0.5588054726607711,0.6191502899871015,0.0077494052974250854,0.0408337917956646
1,2.3229470577306497,9.461791850555558,1.290786235066563,0.08989571646724685,-0.009678548845924433,0.5748122429474861,26.76533846184357,31.518446427313066,0.2257947424144923,8.1,9.625,2.4599128627953375,2.5348042271219895,0.4035555330154547,0.15673064938415762,0.6077027468133012,0.6799031857416783,0.010399942034560478,0.061004144441568174
1,2.45023076040867,10.946774964183424,1.227901644331116,0.09619356168973688,-0.010423710281746563,0.7752690594699398,26.340127987031394,29.36329853737393,0.1338463268921575,8.3,9.975,2.4599866394886036,2.5353904029559544,0.437975850721951,0.17762421723659638,0.6059276411859207,0.6868065152621261,0.012903882330663493,0.06475763766735773
1,2.171654039111435,9.299961769019344,1.2536665257290187,0.09377375450835848,-0.012893380657437828,0.9628424131951272,26.255806963048403,30.421781843097754,0.18032710647603048,7.525,10.875,2.4602413583507703,2.5353879925006018,0.3849557178777536,0.17918960722692978,0.5987349420953831,0.8137952567250161,0.03096307662114619,0.1291066813162357
1,2.3069303428200296,10.940510636229144,1.2768607390796975,0.09977591035021073,-0.011507872456355643,0.6458603179824436,26.829969647477117,30.174546847851776,0.15062400432347756,7.75,9.725,2.459289161053885,2.5353554289417026,0.3844986046244309,0.16097348070322914,0.5779380166742297,0.6948245931490609,0.015759352478704837,0.07963540918179987
1,2.6464471111005055,10.375105496414717,1.2432346988009768,0.09716889868156631,-0.010043602756853988,0.4397151306713081,25.769079055737006,29.928440938136355,0.18865801941608995,8.25,9.325,2.458982610025483,2.5354423200090364,0.4287572638581845,0.16562403170754336,0.5482151765059876,0.5900009975153929,0.006197154255757407,0.03328804830890471
1,2.5238147803732147,10.448726784503151,1.2634565468205554,0.10415639956093459,-0.0103553736561078,0.32770577259391215,27.3506361498606,30.380252464409605,0.13935887517789497,8.1,9.125,2.4595373908652567,2.5361670469847737,0.408020244949411,0.15492769872730106,0.5601063514307294,0.5819931418071765,0.005555106092135939,0.03213978666914496
0,2.0187684285448237,9.877209601636437,1.285499796195398,0.0852250386444033,-0.011380038752550567,1.205232825762159,26.508100325834125,30.909034326080192,0.19043579151275628,7.5,12.0,2.4602349731910924,2.520761754729464,0.3766357992490027,0.1789894199429038,0.6352741393236747,0.8925788178885321,0.03863689240695698,0.16925905787663892
