ensemble,observable,mean_keV,sigma_keV,median_keV,p16_keV,p84_keV
theta_fixed,Gamma2460_keV,38.99005993499451,12.75605173127268,37.93305120929205,27.283809098550755,50.798524983875794
theta_fixed,Gamma2536_keV,7.391210947728281,5.668514394033649,6.075058066732037,2.672123499606223,11.265428827618079
theta_scan_25_45,Gamma2460_keV,38.474234965478466,12.777038630634966,36.90452907957716,26.10408686260907,49.5176007127056
theta_scan_25_45,Gamma2536_keV,7.787782256168072,6.762629469675756,5.975823520512236,1.915695769429532,13.606759750231985
