sector,state,scan,M2_GeV2,s0_GeV2,theta_deg,width_keV
Ds,Ds1_2536,M2,3.6,7.5,26.6,1.784031755747036
Ds,Ds1_2460,M2,3.6,7.5,27.200000000000003,28.70250969845324
Ds,Ds1_2536,M2,3.6,7.5,27.200000000000003,2.260383866975167
Ds,Ds1_2460,M2,3.65,7.5,26.0,28.907249077844586
Ds,Ds1_2536,M2,3.65,7.5,26.0,1.2560155002526772
Ds,Ds1_2460,M2,3.65,7.5,26.6,28.86184801169388
Ds,Ds1_2536,M2,3.65,7.5,26.6,1.6610931988956583
Ds,Ds1_2460,M2,3.65,7.5,27.200000000000003,28.8101578966152
Ds,Ds1_2536,M2,3.65,7.5,27.200000000000003,2.122283092304178
Ds,Ds1_2460,M2,3.7,7.5,26.0,29.009839169152432
Ds,Ds1_2536,M2,3.7,7.5,26.0,1.1566934875313934
Ds,Ds1_2460,M2,3.7,7.5,26.6,28.96603013744026
Ds,Ds1_2536,M2,3.7,7.5,26.6,1.5470206051137918
Ds,Ds1_2460,M2,3.7,7.5,27.200000000000003,28.915906457128255
Ds,Ds1_2536,M2,3.7,7.5,27.200000000000003,1.9936096050113543
Ds,Ds1_2460,M2,3.75,7.5,26.0,29.11071664210951
Ds,Ds1_2536,M2,3.75,7.5,26.0,1.0649826731138294
Ds,Ds1_2460,M2,3.75,7.5,26.6,29.068445566796637
Ds,Ds1_2536,M2,3.75,7.5,26.6,1.4410948082447976
Ds,Ds1_2460,M2,3.75,7.5,27.200000000000003,29.01983482239285
Ds,Ds1_2536,M2,3.75,7.5,27.200000000000003,1.8736149353692264
Ds,Ds1_2460,M2,3.8,7.5,26.0,29.2099504132611
Ds,Ds1_2536,M2,3.8,7.5,26.0,0.980258822400161
Ds,Ds1_2460,M2,3.8,7.5,26.6,29.169165846097673
Ds,Ds1_2536,M2,3.8,7.5,26.6,1.3426640395006524
Ds,Ds1_2460,M2,3.8,7.5,27.200000000000003,29.122017137895032
Ds,Ds1_2536,M2,3.8,7.5,27.200000000000003,1.761620007911996
Ds,Ds1_2460,M2,3.85,7.5,26.0,29.30760492099863
Ds,Ds1_2536,M2,3.85,7.5,26.0,0.9019560117307549
Ds,Ds1_2460,M2,3.85,7.5,26.6,29.26825787398209
Ds,Ds1_2536,M2,3.85,7.5,26.6,1.2511366930958212
Ds,Ds1_2460,M2,3.85,7.5,27.200000000000003,29.222522734249377
Ds,Ds1_2536,M2,3.85,7.5,27.200000000000003,1.6570077422619978
Ds,Ds1_2460,M2,3.9,7.5,26.0,29.40374052794694
Ds,Ds1_2536,M2,3.9,7.5,26.0,0.829560420218137
Ds,Ds1_2460,M2,3.9,7.5,26.6,29.365784317136363
Ds,Ds1_2536,M2,3.9,7.5,26.6,1.1659749669083623
Ds,Ds1_2460,M2,3.9,7.5,27.200000000000003,29.321416556068787
Ds,Ds1_2536,M2,3.9,7.5,27.200000000000003,1.559216544728123
Ds,Ds1_2460,M2,3.95,7.5,26.0,29.498413879265936
Ds,Ds1_2536,M2,3.95,7.5,26.0,0.7626048648296129
Ds,Ds1_2460,M2,3.95,7.5,26.6,29.46180398072958
Ds,Ds1_2536,M2,3.95,7.5,26.6,1.0866892607005436
Ds,Ds1_2460,M2,3.95,7.5,27.200000000000003,29.41875954432787
Ds,Ds1_2536,M2,3.95,7.5,27.200000000000003,1.4677345715198886
Ds,Ds1_2460,M2,4.0,7.5,26.0,29.591678222365022
Ds,Ds1_2536,M2,4.0,7.5,26.0,0.7006639800578398
Ds,Ds1_2460,M2,4.0,7.5,26.6,29.556372139163106
Ds,Ds1_2536,M2,4.0,7.5,26.6,1.0128332317127964
Ds,Ds1_2460,M2,4.0,7.5,27.200000000000003,29.5146089779665
Ds,Ds1_2536,M2,4.0,7.5,27.200000000000003,1.3820946619012993
Ds,Ds1_2460,M2,4.05,7.5,26.0,29.68358369277355
Ds,Ds1_2536,M2,4.05,7.5,26.0,0.6433499578625889
Ds,Ds1_2460,M2,4.05,7.5,26.6,29.649540831990745
Ds,Ds1_2536,M2,4.05,7.5,26.6,0.9439994219694391
Ds,Ds1_2460,M2,4.05,7.5,27.200000000000003,29.609018779698
Ds,Ds1_2536,M2,4.05,7.5,27.200000000000003,1.3018698543065
Ds,Ds1_2460,M2,4.1,7.5,26.0,29.774177570268012
Ds,Ds1_2536,M2,4.1,7.5,26.0,0.5903087756512201
Ds,Ds1_2460,M2,4.1,7.5,26.6,29.741359129209087
Ds,Ds1_2536,M2,4.1,7.5,26.6,0.8798153838744565
Ds,Ds1_2460,M2,4.1,7.5,27.200000000000003,29.70203979031871
Ds,Ds1_2536,M2,4.1,7.5,27.200000000000003,1.2266694108310114
Ds,Ds1_2460,M2,4.15,7.5,26.0,29.863504508809054
Ds,Ds1_2536,M2,4.15,7.5,26.0,0.5412168502708831
Ds,Ds1_2460,M2,4.15,7.5,26.6,29.83187336955935
Ds,Ds1_2536,M2,4.15,7.5,26.6,0.8199402410174689
Ds,Ds1_2460,M2,4.15,7.5,27.200000000000003,29.793720015246322
Ds,Ds1_2536,M2,4.15,7.5,27.200000000000003,1.1561352859867953
Ds,Ds1_2460,M2,4.2,7.5,26.0,29.951606743370775
Ds,Ds1_2536,M2,4.2,7.5,26.0,0.4957780646269576
Ds,Ds1_2460,M2,4.2,7.5,26.6,29.921127375002275
Ds,Ds1_2536,M2,4.2,7.5,26.6,0.7640616298708497
Ds,Ds1_2460,M2,4.2,7.5,27.200000000000003,29.884104846524764
Ds,Ds1_2536,M2,4.2,7.5,27.200000000000003,1.0899389844867327
Ds,Ds1_2460,M2,4.25,7.5,26.0,30.038524276344805
Ds,Ds1_2536,M2,4.25,7.5,26.0,0.45372112087722855
Ds,Ds1_2460,M2,4.25,7.5,26.6,30.00916264411798
Ds,Ds1_2536,M2,4.25,7.5,26.6,0.7118929754986615
Ds,Ds1_2460,M2,4.25,7.5,27.200000000000003,29.97323726311718
Ds,Ds1_2536,M2,4.25,7.5,27.200000000000003,1.0277787603660846
Ds,Ds1_2460,M2,4.3,7.5,26.0,30.124295045854442
Ds,Ds1_2536,M2,4.3,7.5,26.0,0.41479718039208674
Ds,Ds1_2460,M2,4.3,7.5,26.6,30.09601852682907
