piece,raw_current_G,G2460_piece,G2536_piece
A Stage 1,-0.31979025578626535,-0.1847932375096448,-0.26099284868852063
A 3p,0.0013881516305436097,0.0008021540035100197,0.0011329227264177068
A EM 3p,-0.04073506738367963,-0.023539069267435122,-0.03324541972626923
B hard,-0.4092482602123443,-0.334002888834201,0.23648722742938788
B 2p DA,0.14607561521335025,0.11921780056970047,-0.0844109079875456
B 3p DA,0.0005356342692017745,0.00043715126163068407,-0.00030952034633933235
B EM 3p,-0.003281351482270001,-0.0026780342909458,0.0018961539723118365
