M2_GeV2,theta_deg,theta_matrix_median_deg,theta_matrix_s0mix_min_deg,theta_matrix_s0mix_max_deg,Pi12_normalized_at_s0mix10,s01_fitted_GeV2,s02_fitted_GeV2,m_eff1_GeV,m_eff2_GeV,Pi1_GeV4,Pi2_GeV4,f1_GeV,f2_GeV,pole_fraction1,pole_fraction2,d5_fraction1,d5_fraction2
2.0,26.6,30.741268828795906,30.271258113461162,31.32525210128811,0.1841184084161815,7.775,10.5,2.458782806425782,2.502485055440647,0.04582959405373722,0.007557575849706732,0.394914641923185,0.17099110385240662,0.6720391961937219,0.8312666109949065,0.023756641325795948,0.12499738578655492
2.05,26.6,30.72517956177395,30.23572914674934,31.329239661644994,0.1841998071460517,7.825,10.5,2.4596698965084864,2.51448668617591,0.04980052543770305,0.008160369899091857,0.3967603280421159,0.17085125750230276,0.6620141469372565,0.8185875770258214,0.02244687686367567,0.11661020255352543
2.0999999999999996,26.6,30.70623859301673,30.197821838339664,31.32975579294378,0.1840495716718606,7.85,10.5,2.4594064205827677,2.525729636888848,0.0536768252064521,0.008785063273081132,0.3976935462172065,0.17077611555661484,0.6497425037487002,0.8057638279893062,0.021337159967477353,0.10907144441712535
2.1499999999999995,26.6,30.685030145521093,30.15812793907619,31.327395602309352,0.18370727098943293,7.875,10.475,2.459566519904272,2.5347012929371138,0.05766874978134406,0.009412280848109376,0.3986381363092639,0.17058759125306125,0.6377287629063798,0.7913302916474156,0.020308942597410177,0.10247755008700002
2.1999999999999993,26.6,30.662034767818522,30.117131736132283,31.32265226687457,0.18320610907838958,7.9,10.325,2.460093554418154,2.534684789523125,0.06177319798208768,0.009948839621917158,0.39959796529296027,0.16952510147958522,0.6259752553458626,0.7688437711431616,0.019354691738268905,0.09756347431244275
2.249999999999999,26.6,30.63764895474925,30.075230240714255,31.315936297797585,0.18257399798595153,7.9,10.2,2.4590923318548628,2.5351169739728565,0.06566564569086705,0.010496744685620759,0.3995987414215817,0.16856933291776113,0.6119715673254644,0.7472335073614079,0.018558089598812548,0.09302911289693074
2.299999999999999,26.6,30.61220064841545,30.032749199377452,31.307590719875677,0.18183443826291343,7.925,10.075,2.4601823595914025,2.5344810998224525,0.06996226825082527,0.011033774689578883,0.40058584465010283,0.16754429849455,0.6007462874073226,0.7250814910320491,0.01772894791948136,0.08901217680186228
2.3499999999999988,26.6,30.58596158596751,29.989955895726872,31.297903136435874,0.18100724350506212,7.925,9.975,2.4595997243540517,2.5347345409023414,0.07399015867500293,0.011587809636075919,0.40058930523172204,0.1666703674111434,0.5872752163239442,0.7043013747900458,0.017040973904789692,0.08522481295759098
2.3999999999999986,26.6,30.559157208522578,29.947069459127746,31.28711539353632,0.18010913835151418,7.925,9.875,2.4591669634843276,2.5341835456688133,0.07806592782552155,0.01213143090000352,0.40058819857721156,0.1657455060317746,0.5740751527724347,0.6832822448363474,0.01639924988412559,0.08183707176323356
2.4499999999999984,26.6,30.531974665765134,29.9042692185561,31.275431375899174,0.17915425345161498,7.925,9.8,2.458862954731857,2.534885855851304,0.08218487700263555,0.012700298854059867,0.40058406080621844,0.16501587509641216,0.5611499248306306,0.6640164126181125,0.015799750565201057,0.07856878772711963
2.4999999999999982,26.6,30.504569320859265,29.861701510449556,31.263023336143075,0.17815453629036998,7.925,9.725,2.458669684300031,2.5349951400543156,0.0863425280366967,0.013261118399768238,0.400578097338741,0.1642542144589396,0.5485019598910453,0.6447340990364862,0.015238863443305717,0.07561339041233926
2.549999999999998,26.6,30.47707006516995,29.819485254533763,31.25003706335802,0.17712009309534235,7.925,9.65,2.4585717405240293,2.5345501862944118,0.09053461990480544,0.013811942300856226,0.400571249708903,0.1634587859518354,0.5361324565874575,0.6254843284879352,0.014713342135209218,0.07293857725426067
2.599999999999998,26.6,30.449583681777792,29.7777165410519,31.236596126490586,0.17605947412920384,7.925,9.6,2.4585558992489394,2.5357371853425663,0.09475710432175798,0.014400463688860912,0.4005642485780459,0.1629088051365392,0.524041539990236,0.6083251216589934,0.014220265105449393,0.07027355644038648
2.6499999999999977,26.6,30.42219844391651,29.73647241980491,31.22280537530263,0.17497991234265853,7.925,9.525,2.4586107825633308,2.534334659150942,0.099006140518278,0.014929884327572028,0.4005576559383013,0.1620530182010819,0.5122284012894774,0.5892972348426003,0.013756999242647372,0.0680763100806145
2.6999999999999975,26.6,30.394987094454198,29.69581404110756,31.20875384189281,0.1738875234978172,7.925,9.475,2.458726576557418,2.5347120349913888,0.10327808938884087,0.01550178663565471,0.4005518988121773,0.16146093092488753,0.5006914231824614,0.5724725805133933,0.013321167756671413,0.0658395031872113
2.7499999999999973,26.6,30.368009321957523,29.655789267864854,31.194517155483506,0.17278747437539804,7.925,9.425,2.458894796822585,2.5347418417060235,0.10756950716444477,0.016065366847358712,0.4005472962344773,0.1608511611165569,0.48942829215262434,0.555861888121702,0.012910621900275782,0.0637865517372756
2.799999999999997,26.6,30.341313825302553,29.616434854050443,31.180159559913765,0.17168412447358813,7.925,9.375,2.459108092788096,2.534445444807195,0.1118771387420842,0.01661944188876067,0.4005440809073372,0.16022306250589183,0.47843609878000326,0.5394857205474498,0.012523416060959509,0.06190047151793095
2.849999999999997,26.6,30.314940040482714,29.57777826620848,31.165735605262064,0.1705811456337381,7.925,9.35,2.459360083839676,2.5361855517778564,0.11619791078210541,0.017233075412816285,0.40054241661621115,0.15990207762448463,0.46771142716351377,0.5254241047137787,0.012157785814042721,0.05992121872916661
2.899999999999997,26.6,30.288919588927953,29.539839209933767,31.151291570974983,0.16948162323976126,7.925,9.3,2.459645221490429,2.5353290108853628,0.12052892466673053,0.01776926532934905,0.4005424122613425,0.1592446572962387,0.4572504344690174,0.5095688719537955,0.011812128572758268,0.05832468867158445
2.9499999999999966,26.6,30.263277495350877,29.502630911676818,31.13686666684266,0.16838814199837665,7.925,9.25,2.4599586730900818,2.534199433065565,0.1248674493975399,0.01829288039974783,0.4005441331787399,0.15856772415636214,0.4470489215472262,0.49399273357642065,0.011484986513521337,0.05685472138371643
2.9999999999999964,26.6,30.238033214182302,29.466161196979268,31.12249404943709,0.16730285878631246,7.925,9.225,2.460296223359825,2.53525092689202,0.12921091449631678,0.018886449342481196,0.40054761028434244,0.15822109848824503,0.437102395494472,0.4807568807558818,0.011175031493484552,0.05525555068527646
3.0499999999999963,26.6,30.213201496507462,29.430433398840943,31.10820168469814,0.16622756462493854,7.9,9.2,2.458353365638771,2.5361168211531364,0.13274814370335508,0.019474729500988906,0.3993382238417265,0.15786976142785059,0.42508530550652945,0.4678026004948173,0.010947343798318172,0.0537632732392918
3.099999999999996,26.6,30.188793123692335,29.395447123957542,31.094013081802814,0.16516373749458668,7.9,9.15,2.4587083421719655,2.534318261654004,0.1370598262392833,0.019964678294795604,0.39933317906348614,0.15715000281211447,0.41565779413018766,0.4531067779755742,0.01066717278753785,0.05261157537553011
3.149999999999996,26.6,30.164815529267592,29.361198899746206,31.07994791899828,0.1641125874147321,7.9,9.125,2.459078383676086,2.5348197655280775,0.14136932151885165,0.020535980692535753,0.3993301179395181,0.15678165463908836,0.4064711455907356,0.44073534301646033,0.010400894344459469,0.05130649730616378
3.1999999999999957,26.6,30.14127332690053,29.327682721153028,31.06602257848034,0.16307509498082315,7.9,9.1,2.459460989464079,2.5351658519204574,0.14567465669793062,0.021100190240379707,0.39932898641048964,0.1564077591691552,0.397520098310506,0.42865021083154264,0.01014757820554768,0.05008472848947984
3.2499999999999956,26.6,30.1181687592446,29.29489051303518,31.0522506044732,0.16205204435418777,7.9,9.075,2.459853965423202,2.5353648883538504,0.14997398462197337,0.021656799685991802,0.3993297215272179,0.156028105103574,0.38879932145382906,0.4168506592341228,0.009906370716382692,0.04893987388091154
3.2999999999999954,26.6,30.095502079973823,29.262812521288204,31.038643096292255,0.16104405154103574,7.9,9.05,2.4602553852724403,2.5354246385625934,0.1542655775653866,0.022205336035128184,0.39933225398800304,0.15564252607578075,0.38030344331444105,0.4053352740669217,0.009676487466756561,0.04786615020736867
3.349999999999995,26.6,30.073271879272454,29.231437643729443,31.025209046218336,0.1600515886629511,7.9,9.025,2.4606635571429902,2.5353523163014335,0.15854782118381197,0.022745359517782282,0.39933651017728383,0.15525089487281352,0.3720270759943849,0.3941020289618171,0.009457206723974057,0.0468583181116325
3.399999999999995,26.6,30.051475361377364,29.2007537099667,31.01195563041362,0.15907500481079073,7.875,9.0,2.458644989632954,2.5351546332916377,0.16176193283816723,0.023276462516291688,0.39804372568039936,0.1548531183945938,0.36181584535132666,0.38314835854749585,0.009308307597455625,0.04591162280536894
3.449999999999995,26.6,30.030108581384745,29.170747718007604,30.998888459790816,0.1581145439814628,7.875,8.975,2.459046378995012,2.534837842252471,0.1659849083489776,0.023798268466267626,0.3980409901560279,0.1544491332504151,0.35398866056300476,0.37247122548248657,0.009107447403229682,0.04502174205102029
3.4999999999999947,26.6,30.009166647393496,29.141406034138782,30.986011796654722,0.15717036052020547,7.875,8.95,2.459451073276484,2.534407775502821,0.17019416427906633,0.02431043073985551,0.39803996672692055,0.15403890190693115,0.3463650419784929,0.3620671816929229,0.008915372441608196,0.04418474047088938
3.5499999999999945,26.6,29.988643893098097,29.112714561584703,30.97332874202935,0.156242532426176,7.875,8.925,2.4598580431610704,2.5338698798292696,0.17438850232870567,0.024812631519603858,0.39804057124414893,0.15362240931443272,0.33893967705971817,0.3519324241930348,0.008731557674629175,0.043397029330913
3.5999999999999943,26.6,29.968534025159087,29.08465888260285,30.96084139782924,0.15533107282541564,7.875,8.925,2.460266383570389,2.535932672247168,0.17856680988659518,0.025444322810392772,0.3980427208842194,0.15362209281673478,0.3317073217887088,0.3438924964535436,0.0085555170180206,0.042421064775917214
3.649999999999994,26.6,29.948830249012445,29.057224377958573,30.94855100740506,0.15443593986970494,7.875,8.9,2.4606752991246856,2.5352125159809153,0.1827280553466784,0.02593058950384056,0.3980463346279717,0.15319834757513195,0.3246628100372257,0.3342598967482929,0.00838679993713173,0.04172272047421465
3.699999999999994,26.6,29.929525376224493,29.03039632712757,30.936458077463246,0.15355704528137432,7.85,8.875,2.458559977740674,2.5343984116830356,0.18559485807270495,0.026406102134733964,0.39668955806594475,0.15276828917589563,0.3158101337967008,0.32488308995142406,0.008281555603196414,0.04106456709113586
3.749999999999994,26.6,29.910611916038484,29.004159992063563,30.92456248391798,0.15269426173225553,7.85,8.875,2.4589546927739074,2.536246104769433,0.18968250381535143,0.027024898167771358,0.3966869444170142,0.1527685865543115,0.3091527180474175,0.31751452254745105,0.008125557798306886,0.04021323719867829
3.7999999999999936,26.6,29.892082153356956,28.97850068695423,30.91286356386234,0.15184742921716332,7.85,8.85,2.4593485151428847,2.5352736720791955,0.19375038769204742,0.02748310783424438,0.39668574916860333,0.1523309859806908,0.3026680728639702,0.3086103036987533,0.007975737410449444,0.0396282411384208
3.8499999999999934,26.6,29.87392821508571,28.95340383602124,30.90136019552598,0.15101636055965476,7.85,8.825,2.4597409600770463,2.534218773951454,0.19779777345415356,0.02792996601916765,0.39668589592919923,0.1518871480427458,0.29635138313881193,0.29994712287316316,0.00783175740252141,0.03907641100246468
3.8999999999999932,26.6,29.856142126476257,28.928855021124097,30.890050867823803,0.15020084616793863,7.85,8.825,2.46013160334204,2.5358810882009837,0.2018239849127912,0.028534114409567685,0.3966873113024064,0.15188707188092365,0.2901979407829836,0.2932028232905133,0.007693303709474735,0.03832771115897399
3.949999999999993,26.6,29.838715858870025,28.904840020664636,30.87893374087537,0.14940065814210055,7.85,8.8,2.4605200744676856,2.534687686181331,0.20582840248936407,0.02896263295214919,0.3966899249113846,0.15143562997468596,0.2842031468586528,0.28498142619954314,0.007560083383801519,0.03783642065246299
3.999999999999993,26.6,29.821641370049665,28.88134484107951,30.86800669867577,0.14861555381991337,7.825,8.8,2.4583043571061016,2.536243683268883,0.20831388632299286,0.02955787237744788,0.39527633358991626,0.15143606284406413,0.27652924720427974,0.2786190448188216,0.00748521479289933,0.037147115622215045
4.049999999999993,26.6,29.804910638225895,28.858355742011,30.857267394945527,0.14784527883600734,7.825,8.775,2.458676289089235,2.5349229219939606,0.21223642439852314,0.029967513601140798,0.39527330295789037,0.15097700384835197,0.2708640770552314,0.27081875785125525,0.007361062326884638,0.03670944868183878
4.0999999999999925,26.6,29.7885156905502,28.83585925610311,30.846713293037844,0.14708956975924592,7.825,8.775,2.4590455019555253,2.5363818759558527,0.21613564690443807,0.030553344476192432,0.3952714307944581,0.15097762963423592,0.26534418659890585,0.2648178940568565,0.007241391848591487,0.036072891530197874
4.149999999999992,26.6,29.772448626912126,28.813842204219437,30.836341700667493,0.14634815636390072,7.825,8.75,2.45941177572489,2.53494368751036,0.22001113979614353,0.0309436791905022,0.3952706542158212,0.15051099784703867,0.2599654094736794,0.2574183263701493,0.0071259788434448424,0.035682921913223586
4.199999999999992,26.6,29.756701639680678,28.792291706780524,30.826149800123215,0.1456207635830562,7.825,8.75,2.4597749209533504,2.536313840010372,0.22386253037891077,0.03151968542565691,0.39527091326790736,0.1505115662342867,0.2547236917664835,0.25175918177625667,0.007014612920414598,0.03509338671814674
4.249999999999992,26.6,29.74126702995293,28.77119519180771,30.816134674535075,0.14490711318585,7.825,8.725,2.4601347754250997,2.5347671057787595,0.2276894848352618,0.03189038251270897,0.3952721508338795,0.15003745043684602,0.24961509097937284,0.2447403877946677,0.006907096754998742,0.034746013820480114
4.299999999999992,26.6,29.726137220800645,28.750540400181922,30.806293330695414,0.14420692521470724,7.825,8.725,2.4604912011962456,2.5360558054249203,0.23149170588648743,0.032456223118794834,0.39527431253616196,0.15003776460397256,0.24463577471827846,0.23940386633241184,0.006803245123148213,0.03419854607125048
4.349999999999992,26.6,29.71130476793349,28.73031538855593,30.796622718866622,0.14351991921399126,7.8,8.7,2.458166557999881,2.5344084924448675,0.2335181878139127,0.03280703986930965,0.3938038813711455,0.14955628775746307,0.23812443673783135,0.2327464660845171,0.006753137172477679,0.033889361522556415
4.3999999999999915,26.6,29.696762368144224,28.710508530290706,30.787119749950445,0.1428458152771338,7.8,8.7,2.458506402441383,2.5356223121899855,0.23723408771804685,0.03336244122798055,0.3938009372249319,0.1495561944365708,0.233416512021903,0.22771424155787293,0.006655604912601137,0.03337965607080527
4.449999999999991,26.6,29.68250286585074,28.69110851474049,30.777781310350342,0.14218433493605806,7.8,8.675,2.458842754438256,2.5338815887112083,0.24092465201760596,0.033693214410830626,0.39379889519419387,0.14906750545917238,0.22882671562113582,0.2213995069779075,0.00656125863297138,0.03310483472536048
4.499999999999991,26.6,29.668519258005777,28.672104345159603,30.76860427481033,0.14153520191327304,7.8,8.675,2.4591755415084506,2.5350264250727914,0.24458971544960895,0.034237963185086984,0.3937977074841565,0.1490668868780077,0.22435163436373312,0.2166540648663761,0.006469952902473887,0.03262913566204092
