input_set,transition_scheme,M2,s0_root,s0,g1_GeV_inv,width_keV,qcd_side,pert,heavy_local,legacy_heavy_local_diagnostic,twist2,twist4_2p,twist3_2p
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,3.0,2.5,6.25,-0.25924581986396156,14.127270947052265,-0.019495134551361367,-0.048918526285265516,0.0,-0.0041466589598807245,0.024017031452364623,0.005406360281539573,-4.411266838595554e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,3.25,2.5,6.25,-0.2673933777857902,15.029206251155943,-0.02283590316122076,-0.05450850647552535,0.0,-0.004334326395267839,0.026189517571321052,0.005483085742983585,-4.597525957345841e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,3.5,2.5,6.25,-0.2737142895824664,15.748155389623523,-0.026069025150380985,-0.05984672741992181,0.0,-0.00450193358418762,0.028231351436704695,0.005546350832836178,-4.763423703316121e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,3.75,2.5,6.25,-0.2787462566985878,16.332506417789478,-0.02917974567845677,-0.06492748300655102,0.0,-0.0046524297180261485,0.030148629028690352,0.005599108299403945,-4.9120362949784607e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,4.0,2.5,6.25,-0.2828389925181214,16.815636582623757,-0.03216075503392965,-0.0697528649686363,0.0,-0.004788237257495481,0.03194856081122134,0.0056435491234853525,-5.04587080542506e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,4.25,2.5,6.25,-0.28622847932608986,17.221082059168936,-0.03500975397919583,-0.07432985965665337,0.0,-0.0049113575368091855,0.033638780665122256,0.005681325012335331,-5.1669850925499724e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,4.5,2.5,6.25,-0.2890790406440712,17.565801032763616,-0.03772776276676975,-0.07866838817867987,0.0,-0.005023454300872238,0.03522692621500384,0.005713699196906333,-5.277080579778854e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,4.75,2.5,6.25,-0.291508246478086,17.862261362391727,-0.04031795055493305,-0.08277999313184813,0.0,-0.005125919431852715,0.03672039202610826,0.005741650550806872,-5.377574046697624e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,5.0,2.5,6.25,-0.29360222472192254,18.119801417996765,-0.04278482741823877,-0.08667696662595582,0.0,-0.005219924659722206,0.03812619247889306,0.00576594672882405,-5.469653377592446e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,5.25,2.5,6.25,-0.29542539002523716,18.345535145293532,-0.04513368870408563,-0.0903717788238598,0.0,-0.005306462362190647,0.03945089375176301,0.005787196368011218,-5.554321086150873e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,5.5,2.5,6.25,-0.29702680740886134,18.54496611585747,-0.04737023507056902,-0.0938767108014362,0.0,-0.005386377900398216,0.040700588833510146,0.0058058868973570885,-5.632428511345681e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,5.75,2.5,6.25,-0.298444463002091,18.722412150366335,-0.04950031494001754,-0.09720362603205857,0.0,-0.005460395383643557,0.04188089879350214,0.005822412298538945,-5.704702865020581e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,6.0,2.5,6.25,-0.2997081966342864,18.881304260073907,-0.051529752313521214,-0.1003638355952279,0.0,-0.0055291383173971306,0.042996989535171594,0.005837093746535142,-5.771768772243913e-17
