sector,state,photon_input,theta_treatment,window_id,transition_scheme,decay_constant_provenance,f1_median_GeV,f1_p16_GeV,f1_p84_GeV,f2_median_GeV,f2_p16_GeV,f2_p84_GeV,G_median_GeV_inv,G_p16_GeV_inv,G_p84_GeV_inv,Gamma_median_keV,Gamma_p16_keV,Gamma_p84_keV,status
Bs,B_{s1}(5750),lattice_fperp_s,theta_hqet_35p3,central_10_14,rohrwild_nonlocal,basis_inputs_plus_diagonal_closure,0.43841967699066153,0.37612605703162916,0.48422320483025966,0.21651381597558939,0.13499452861250627,0.2929294782999401,0.37967469826563643,0.33673856147677306,0.44647575174010473,17.990904132862692,12.685946347942503,25.744486332412016,unobserved_lower_state_diagnostic
Bs,B_{s1}(5750),lattice_fperp_s,theta_prior_gaussian,central_10_14,rohrwild_nonlocal,basis_inputs_plus_diagonal_closure,0.4331571709773474,0.3711727167790259,0.4886922157280371,0.19448672344624235,0.10311751316742296,0.2933720560228998,0.385010776680956,0.3334731640541847,0.4573494275526301,18.155092829586003,13.030163829287709,27.94398033166189,unobserved_lower_state_diagnostic
Bs,B_{s1}(5750),lattice_fperp_s,theta_sensitivity_25_45,central_10_14,rohrwild_nonlocal,basis_inputs_plus_diagonal_closure,0.4194453853471421,0.36720046473389034,0.4697072477801802,0.2560467038456335,0.18200075987882228,0.3171682237903313,0.3991985443225379,0.34704253133902013,0.471921857267628,19.711508774047623,13.83112752872681,30.237099143638535,unobserved_lower_state_diagnostic
Bs,B_{s1}(5750),legacy_chi_condensate,theta_hqet_35p3,central_10_14,rohrwild_nonlocal,basis_inputs_plus_diagonal_closure,0.43162873005681845,0.37492908873097514,0.49081679162687547,0.21472821958719823,0.13371620560444875,0.3021254594718606,0.27595726777882706,0.22399113503784251,0.34444820841890567,9.299001824031242,6.022153492339553,15.077875756565545,unobserved_lower_state_diagnostic
Bs,B_{s1}(5750),legacy_chi_condensate,theta_prior_gaussian,central_10_14,rohrwild_nonlocal,basis_inputs_plus_diagonal_closure,0.4270832765040049,0.3675061513157561,0.48488679312627336,0.21922213587757194,0.12839033586029666,0.3073657738796435,0.27801627158309117,0.21631183109223637,0.35817519250638935,9.177586542714769,5.48782991599267,16.19829462902256,unobserved_lower_state_diagnostic
Bs,B_{s1}(5750),legacy_chi_condensate,theta_sensitivity_25_45,central_10_14,rohrwild_nonlocal,basis_inputs_plus_diagonal_closure,0.42077963803442187,0.3746440088482119,0.47289537335038095,0.25002576026688345,0.16204061237083622,0.295392004598975,0.2808269477779886,0.2364682362123644,0.3495521661574111,10.009622880486752,6.649678794279648,15.790695169475232,unobserved_lower_state_diagnostic
Bs,B_{s1}(5830),lattice_fperp_s,theta_hqet_35p3,central_10_14,rohrwild_nonlocal,basis_inputs_plus_diagonal_closure,0.44545499589659343,0.37523132255913555,0.49427539542831356,0.21985520297400332,0.1241261837044093,0.28782835615692687,-0.03877737862874077,-0.06714355011924068,-0.02875196393659466,0.3195588062060063,0.17521683031309462,0.9558744261676242,comparison_scenario
Bs,B_{s1}(5830),lattice_fperp_s,theta_prior_gaussian,central_10_14,rohrwild_nonlocal,basis_inputs_plus_diagonal_closure,0.43046319365590924,0.36923136455878747,0.47908647513300867,0.2145258419571259,0.11688724878819055,0.29207439265462465,-0.08417910355491226,-0.15865070491369412,-0.062051521532586175,1.503801487320899,0.8180104198082949,5.341759988054683,preferred_photon_and_mixing_scenario
Bs,B_{s1}(5830),lattice_fperp_s,theta_sensitivity_25_45,central_10_14,rohrwild_nonlocal,basis_inputs_plus_diagonal_closure,0.41812717034730895,0.3645276422794803,0.4710602824132148,0.25182344437439497,0.17887076977644148,0.3105317179064477,0.0171691249205801,-0.054852592637636144,0.061647090854023846,0.41155047243775666,0.03945059814514983,1.2715486848203357,comparison_scenario
Bs,B_{s1}(5830),legacy_chi_condensate,theta_hqet_35p3,central_10_14,rohrwild_nonlocal,basis_inputs_plus_diagonal_closure,0.43458084485737214,0.3741931876763052,0.48573815651098157,0.2190568146172278,0.13819722308847307,0.2968022919611244,-0.08343489332227888,-0.12983775080304844,-0.05672205870036225,1.4747022604322635,0.6815907367224293,3.574791226753324,comparison_scenario
Bs,B_{s1}(5830),legacy_chi_condensate,theta_prior_gaussian,central_10_14,rohrwild_nonlocal,basis_inputs_plus_diagonal_closure,0.43404916590089804,0.36918409795721435,0.4874776631966454,0.20648777057474982,0.1302902383938776,0.3059492459827273,-0.11555113179910086,-0.19751947923367338,-0.07906449303653323,2.829600407495176,1.327056542732628,8.27323886543284,comparison_scenario
