sector,M2,s0,g_2460,g_2536,Gamma_2460_keV,Gamma_2536_keV,GA_basis,GB_basis,GB_hard_frac,GB_soft2p_frac,GB_3p_frac,GA_3p_frac,spectral_pole_axial,spectral_pole_tensor,twist2_retention,rho_AB,window,window_state,s0_sqrt,state,g_low,g_high,g_quoted,Gamma_low_keV,Gamma_high_keV,Gamma_quoted_keV
Ds,3.0,6.25,-0.26706270849693736,0.04324306476195594,14.992057806256195,0.5802739786448403,-0.176903281707657,-0.18337921851317254,2.314224948824011,1.4276494167249771,0.004237579060190015,0.011384149612632817,0.552458617735967,0.628164948651099,0.7868373948377245,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5,,,,,,,
Ds,3.0,6.335,-0.2753964006769733,0.04254425158857061,15.942310722433007,0.5616709211135704,-0.18525253465207095,-0.18812594924952833,2.289416223308209,1.4008468107587735,0.004130657889277746,0.010871070831543865,0.5621183295083338,0.6375165605384496,0.7927922432682211,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5169425897306437,,,,,,,
Ds,3.0,6.42,-0.28359271351067544,0.041834088742760206,16.90537799825009,0.5430762248086592,-0.1934957389861346,-0.1927835376875784,2.2661862670022876,1.3757481014505317,0.004030862519520509,0.010407947154174842,0.5716162109464415,0.6466712591247121,0.7985807387879752,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5337718918639855,,,,,,,
Ds,3.0,6.505000000000001,-0.2916509819927775,0.04111373747169691,17.87975797385346,0.5245345269619058,-0.20163070157188256,-0.19735213162269588,2.244397103563137,1.3522044859692626,0.003937550256265197,0.009988029651366026,0.5809524043797413,0.6556310780354154,0.8042075285834326,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.55049014897137,,,,,,,
Ds,3.0,6.590000000000001,-0.29957077967929596,0.040384304182155654,18.86399397928135,0.5060872224714653,-0.2096555163935759,-0.20183199813739477,2.223926355883651,1.3300839778626024,0.0038501523228068046,0.009605725909663713,0.590127239971618,0.6643981767645398,0.8096771300185923,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5670995305986875,,,,,,,
Ds,3.0,6.675000000000001,-0.30735190059753165,0.039646842457234266,19.856676285567048,0.48777256976219946,-0.21756854574360068,-0.20622351353563997,2.204665099720712,1.3092690937219458,0.003768163596490814,0.009256362950088488,0.5991412213059364,0.672974827191691,0.8149939342616892,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.583602136552763,,,,,,,
Ds,3.0,6.760000000000001,-0.31499434230595447,0.03890235502288544,20.856443651648487,0.46962580171937945,-0.2253684024965387,-0.21052715395413463,2.1865160622704765,1.2896549115822638,0.003691134002669909,0.008936006128705766,0.6079950118540112,0.681363401061761,0.8201622098105616,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.6,,,,,,,
Ds,3.3,6.25,-0.2625580012700794,0.043195393004666224,14.490563185556416,0.578995279618231,-0.17297773735821276,-0.1806107794161995,2.288761601637662,1.3675624064744436,0.003887332174308617,0.010518980751265684,0.5091273345247403,0.5895240662536934,0.7546775516837481,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5,,,,,,,
Ds,3.3,6.335,-0.2711294566878692,0.04250459646186169,15.452123026525067,0.5606243519335687,-0.18152658748256323,-0.18550625132871565,2.26382020788582,1.3412069448936126,0.0037847462757869188,0.010023597726935236,0.5186055473720597,0.5989048019920699,0.7609157775501079,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5169425897306437,,,,,,,
Ds,3.3,6.42,-0.27958256159957695,0.04179914139697038,16.430656221683865,0.5421692541623092,-0.18999081964252607,-0.19032260340467183,2.24045214647971,1.3165126500303908,0.003688968526553449,0.009577039001632147,0.5279490055113321,0.608111694913361,0.7669953735714339,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5337718918639855,,,,,,,
Ds,3.3,6.505000000000001,-0.2879158701601838,0.041080200905446784,17.424726017650514,0.5236791480325705,-0.19836753247354344,-0.19505951314172265,2.218520028751627,1.2933345459763799,0.0035993840164126444,0.009172617448932613,0.5371570912294904,0.6171458364449652,0.7729203734951849,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.55049014897137,,,,,,,
Ds,3.3,6.590000000000001,-0.29612818045682954,0.04034889909245308,18.432923722722915,0.5052002338529544,-0.20665410841199228,-0.19971678338490637,2.1979019997666955,1.2715440432203164,0.0035154486365746745,0.008804806754874763,0.5462293706175698,0.6260084573262742,0.778694708495949,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5670995305986875,,,,,,,
Ds,3.3,6.675000000000001,-0.3042185179806257,0.03960631266373532,19.45387147364282,0.48677580858243524,-0.21484819685309742,-0.20429433301007754,2.1784896011964183,1.251026684598355,0.003436679243652419,0.008469000514408083,0.5551655811929157,0.6347009153252277,0.7843222097837365,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.583602136552763,,,,,,,
Ds,3.3,6.760000000000001,-0.3121861200833963,0.038853472486916826,20.48622461841285,0.4684463318800803,-0.22294769822239902,-0.20879218819358702,2.160185977614718,1.2316802534210622,0.0033626454127708275,0.0081613288864434,0.5639656202245439,0.6432246837654167,0.7898066111459467,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.6,,,,,,,
Ds,3.6,6.25,-0.25996479751745727,0.04293843400221182,14.205739150022078,0.5721271616665602,-0.17103494444300946,-0.1789077604724556,2.26264508899639,1.3171898863932945,0.003606109946949586,0.009775789579828963,0.47073162992282824,0.5549636975949654,0.7242011086338995,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5,,,,,,,
