M2,s0_root,GA,GB,GB_em,G2460,G2536,Gamma2460_keV,Gamma2536_keV,plot_M2
3.5,2.5,-0.343773125665435,-0.25756018972565303,-0.011735733355088039,-0.40885647426720384,-0.13173305094428145,35.13795708683418,5.385049058228656,3.5
3.5,2.5033333333333334,-0.34577630522912683,-0.2586786244485549,-0.011755933795805447,-0.41092682347050347,-0.13272162505388665,35.49471812494988,5.466175167173908,3.5
3.5,2.506666666666667,-0.3477780739655478,-0.2597951090151539,-0.011776064932958819,-0.41299476582064265,-0.13371017464701127,35.85286326306196,5.54790576652674,3.5
3.5,2.51,-0.34977839484331175,-0.26090962713545224,-0.011796126841413252,-0.415060266623873,-0.13469867891424864,36.212380170066815,5.63023907154778,3.5
3.5,2.513333333333333,-0.3517772310705169,-0.26202216267998435,-0.01181611959699274,-0.4171232914558505,-0.1356871171488792,36.57325644904696,5.71317325508236,3.5
3.5,2.5166666666666666,-0.3537745460948407,-0.2631326996794925,-0.011836043276473677,-0.4191838061614251,-0.13667546874713601,36.93547963875954,5.79670644790519,3.5
3.5,2.52,-0.35577030360362527,-0.26424122232459835,-0.011855897957578371,-0.4212417768544229,-0.13766371320846366,37.29903721512297,5.880836739068001,3.5
3.5,2.5233333333333334,-0.3577644675239511,-0.26534771496546805,-0.01187568371896855,-0.4232971699174145,-0.1386518301357723,37.663916592700765,5.9655621762502875,3.5
3.5,2.526666666666667,-0.35975700202269584,-0.2664521621114734,-0.011895400640238887,-0.42534995200147296,-0.1396397992356817,38.030105126182654,6.050880766112579,3.5
3.5,2.5300000000000002,-0.36174787150658283,-0.2675545484308451,-0.011915048801910492,-0.42740009002591894,-0.14062760031876037,38.397590111862584,6.136790474652667,3.5
3.5,2.533333333333333,-0.363737040622214,-0.26865485875032236,-0.011934628285424442,-0.4294475511780531,-0.14161521329975568,38.76635878911326,6.223289227564278,3.5
3.5,2.5366666666666666,-0.36572447425609583,-0.2697530780547979,-0.0119541391731353,-0.43149230291288215,-0.14260261819781986,39.13639834185827,6.310374910598613,3.5
3.5,2.54,-0.3677101375346469,-0.2708491914869548,-0.011973581548304621,-0.4335343129528262,-0.14358979513672618,39.50769590003936,6.398045369928138,3.5
3.5,2.5433333333333334,-0.3696939958241979,-0.2719431843469008,-0.011992955495094482,-0.43557354928742087,-0.14457672434507995,39.88023854108109,6.4862984125129595,3.5
3.5,2.546666666666667,-0.3716760147309785,-0.2730350420917971,-0.012012261098561003,-0.43760998017300634,-0.1455633861565227,40.25401329135122,6.575131806469596,3.5
3.5,2.55,-0.37365616010109126,-0.27412475033548,-0.01203149844464788,-0.43964357413240357,-0.14654976100992917,40.62900712761683,6.664543281442007,3.5
3.5,2.5533333333333332,-0.3756343980204755,-0.2752122948480802,-0.012050667620179914,-0.44167429995458274,-0.1475358294495982,41.00520697849676,6.754530528974895,3.5
3.5,2.5566666666666666,-0.37761069481485743,-0.27629766155563523,-0.012069768712856532,-0.4437021266943182,-0.1485215721254355,41.38259972590915,6.845091202889083,3.5
3.5,2.56,-0.37958501704969105,-0.27738083653969775,-0.012088801811245347,-0.4457270236718346,-0.1495069697931323,41.76117220651495,6.936222919659166,3.5
3.5,2.5633333333333335,-0.381557331530086,-0.27846180603693815,-0.012107767004775675,-0.4477489604724407,-0.15049200331433563,42.140911213156286,7.027923258793073,3.5
3.5,2.566666666666667,-0.3835276053007238,-0.2795405564387436,-0.012126664383732107,-0.44976790694615415,-0.15147665365681204,42.52180349629038,7.120189763213544,3.5
3.5,2.5700000000000003,-0.38549580564576436,-0.2806170742908108,-0.012145494039248028,-0.4517838332073145,-0.15246090189460645,42.90383576541818,7.213019939641677,3.5
3.5,2.5733333333333333,-0.3874619000887395,-0.2816913462927352,-0.012164256063299198,-0.45379670963418683,-0.1534447292081924,43.28699469050807,7.306411258982081,3.5
3.5,2.5766666666666667,-0.389425856392438,-0.28276335929759533,-0.012182950548697297,-0.4558065068685562,-0.15442811688461894,43.67126690341444,7.400361156710063,3.5
3.5,2.58,-0.39138764255877595,-0.28383310031153086,-0.012201577589083499,-0.457813195815308,-0.15541104631764818,44.056638999290136,7.49486703326025,3.5
3.5,2.5833333333333335,-0.39334722682865875,-0.2849005564933189,-0.01222013727892202,-0.4598167476420024,-0.1563934990078878,44.4430975379941,7.5899262544169055,3.5
3.5,2.586666666666667,-0.3953045776818319,-0.2859657151539435,-0.012238629713493723,-0.46181713377843725,-0.15737545656291785,44.83062904549296,7.685536151705896,3.5
3.5,2.59,-0.39725966383672134,-0.287028563756161,-0.012257054988889666,-0.4638143259162006,-0.15835690069741168,45.21922001525671,7.7816940227881535,3.5
3.5,2.5933333333333333,-0.3992124542502628,-0.2880890899140625,-0.012275413202004728,-0.4658082960082153,-0.1593378132332495,45.60885690964867,7.87839713185446,3.5
3.5,2.5966666666666667,-0.40116291811771926,-0.28914728139263,-0.012293704450531148,-0.4677990162682709,-0.16031817609962598,45.999526161308914,7.975642710021599,3.5
3.5,2.6,-0.4031110248724905,-0.29020312610728904,-0.012311928832952176,-0.4697864591705492,-0.1612979713331531,46.39121417453176,8.073427955729931,3.5
4.5,2.5,-0.3272289617258234,-0.24802538905897326,-0.003184929394582813,-0.39151459375764985,-0.12374049411893359,32.22038012871238,4.751424748871461,4.5
4.5,2.5033333333333334,-0.32935102776155734,-0.24922439418028614,-0.0031914663601192764,-0.3937193989460461,-0.12477953772830291,32.58429857008401,4.831554785236233,4.5
4.5,2.506666666666667,-0.3314739920570134,-0.25042260359814505,-0.003197987805204477,-0.39592407379717204,-0.12581977424450475,32.95023896091258,4.912448007085982,4.5
4.5,2.51,-0.3335978166372732,-0.2516199981847251,-0.003204493723039907,-0.3981285807559947,-0.12686118372794022,33.31819465305097,4.994105154923701,4.5
4.5,2.513333333333333,-0.335722463658414,-0.2528165589206949,-0.0032109841070818673,-0.4003328824317236,-0.12790374628322698,33.68815888680424,5.076526923803319,4.5
4.5,2.5166666666666666,-0.33784789540811466,-0.25401226689531153,-0.003217458951040646,-0.40253694159823816,-0.12894744205963912,34.06012479179222,5.159713963364202,4.5
4.5,2.52,-0.3399740743062597,-0.255207103306511,-0.003223918248879701,-0.40474072119451093,-0.1299922512515479,34.43408538781963,5.2436668778703375,4.5
4.5,2.5233333333333334,-0.3421009629055314,-0.25640104946099446,-0.003230361994814842,-0.40694418432502005,-0.13103815409885478,34.810033585752116,5.328386226253534,4.5
4.5,2.526666666666667,-0.3442285238919929,-0.2575940867743101,-0.0032367901833133977,-0.40914729426015284,-0.1320851308874206,35.18796218839862,5.4138725221608786,4.5
4.5,2.5300000000000002,-0.34635672008566437,-0.25878619677092946,-0.0032432028090933914,-0.41135001443660124,-0.1331331619494911,35.567863891399845,5.500126234006455,4.5
4.5,2.533333333333333,-0.34848551444108644,-0.25997736108432,-0.003249599867122709,-0.4135523084577465,-0.13418222766411525,35.9497312841224,5.587147785026997,4.5
4.5,2.5366666666666666,-0.35061487004787995,-0.2611675614570128,-0.003255981352618263,-0.41575414009403794,-0.13523230845756276,36.33355685055922,5.674937553341937,4.5
4.5,2.54,-0.3527447501312924,-0.26235677974066557,-0.0032623472610451526,-0.41795547328336,-0.13628338480373373,36.719332970235065,5.763495872017293,4.5
4.5,2.5433333333333334,-0.3548751180527383,-0.2635449978961212,-0.0032686975881158283,-0.4201562721313926,-0.13733543722456573,37.107051919117986,5.852823029133719,4.5
4.5,2.546666666666667,-0.3570059373103301,-0.26473219799346265,-0.003275032329789242,-0.4223565009119624,-0.1383884462904355,37.49670587053597,5.9429192678585325,4.5
4.5,2.55,-0.35913717153940083,-0.2659183622120616,-0.0032813514822700035,-0.42455612406738474,-0.1394423926205573,37.88828689609883,6.033784786521774,4.5
