window,sector,state,M2_range_GeV2,s0_range_GeV2,sqrt_s0_range_GeV,n_grid,min_spectral_pole_axial,min_spectral_pole_tensor,min_twist2_retention,max_GB_3p_frac,max_GA_3p_frac,max_GB_hard_frac,max_GB_soft2p_frac,g_2460_min,g_2460_max,g_2460_span,Gamma_2460_keV_min,Gamma_2460_keV_max,Gamma_2460_keV_span,g_2536_min,g_2536_max,g_2536_span,Gamma_2536_keV_min,Gamma_2536_keV_max,Gamma_2536_keV_span,g_quoted_min,g_quoted_max,g_quoted_span,Gamma_quoted_keV_min,Gamma_quoted_keV_max,Gamma_quoted_keV_span
Ds_old_near_threshold,Ds,"Ds1(2460), Ds1(2536)",3.00-6.00,6.25-6.76,2.50-2.60,77,0.2796127030211333,0.3784039675629968,0.5383046403067544,0.004237579060190015,0.011384149612632817,2.314224948824011,1.4276494167249771,-0.3176320056490044,-0.2574413295532881,0.20933217525915424,13.93128859549443,21.20719664750175,0.4141275869857001,0.03566111735263133,0.04324306476195594,0.19218112921603703,0.39462996307197873,0.5802739786448403,0.38084575849788843,,,,,,
Ds_above_pole_broad,Ds,"Ds1(2460), Ds1(2536)",2.00-7.00,8.12-9.61,2.85-3.10,77,0.3638917517978647,0.4895345358727546,0.6054237430579104,0.004821141141466473,0.009649262749030788,2.056190335058949,1.3960058039489516,-0.6380217206514837,-0.41892424845788817,0.4145859459177775,36.88975306228885,85.56687623820777,0.7950100121810476,-0.004690135116078114,0.02666163979181417,2.8538577917711034,0.00011245217205244719,0.22058393354306982,1.9979618665400785,,,,,,
Ds_preferred_candidate,Ds,"Ds1(2460), Ds1(2536)",3.00-4.50,7.50-8.50,2.74-2.92,77,0.49446843727492445,0.5916412615568751,0.7297058434835304,0.0031797098312212825,0.006983577386431999,2.0645594110569117,1.157819013497649,-0.47703385091664036,-0.3757424858628577,0.23755669730778078,29.676683036907857,47.833608655710925,0.4685036069998981,0.018620999259065612,0.032254918176604426,0.5359674912900863,0.10759847827558426,0.32284350430582026,1.0001116746995242,,,,,,
Ds_above_pole_upper_candidate,Ds,"Ds1(2460), Ds1(2536)",3.50-5.50,8.12-9.00,2.85-3.00,77,0.4585780634354035,0.5700397892218695,0.6938143422573737,0.002434710423750221,0.0050131342747423285,1.9488501564605318,0.9960122435467016,-0.5442734644414041,-0.42644984339036895,0.24275428456376175,38.227039752370985,62.26859578168799,0.4784597042757958,0.009159606210028325,0.025592007407539738,0.9457057953248135,0.026034771443762504,0.20323985164552225,1.5457888693835256,,,,,,
Bs_low_old_diagnostic,Bs,B_{s1}(5750),8.00-14.00,36.60-40.32,6.05-6.35,77,0.3602348652775329,0.6183813787924839,0.7449857146176844,0.0008339984473037114,0.001013029940458321,0.3185859040544228,0.7251510949818429,,,,,,,,,,,,,0.3280721598286731,0.4970077067704979,0.4095010768791301,13.29569928169078,30.51396715925739,0.7860488004753663
Bs_low_candidate,Bs,B_{s1}(5750),10.00-14.00,36.50-40.50,6.04-6.36,77,0.3588502817429822,0.6156974518879857,0.7431117942261043,0.0007122526292662449,0.0008900522736451012,0.31889755523325664,0.7083400547817674,,,,,,,,,,,,,0.32703915718308935,0.42216675710041535,0.25394246922970515,13.212102614400967,22.016105270813494,0.49982688220184096
Bs5830_old_diagnostic,Bs,B_{s1}(5830),8.00-14.00,37.82-40.96,6.15-6.40,77,0.3778189164525459,0.6483556857831774,0.7662676382533052,0.0008120570069534159,0.0009681794159862348,0.31928755451073676,0.7195387027199647,,,,,,,,,,,,,-0.04868119793401392,-0.03831559867120645,0.23829841252305295,0.31148706271236126,0.5028185547552871,0.46992551184390496
Bs5830_candidate,Bs,B_{s1}(5830),10.00-14.00,38.00-41.00,6.16-6.40,77,0.380535686946418,0.6524175042104369,0.76921232404682,0.0006863281811899446,0.0008403420436236367,0.31934726964244786,0.7023083296247595,,,,,,,,,,,,,-0.04851409213540325,-0.04289042578858949,0.12305007399065579,0.39030983734676367,0.49937247342823193,0.24517209066788037
