M2,s0_root,s0,g1_GeV_inv,g1_stage2_GeV_inv,F1_integral,F1_delta_g1,em_delta_g1,width_keV,width_stage2_keV,pert,heavy_local,legacy_heavy_local_diagnostic,twist2,twist4_2p,twist3_2p,F1_delta_qcd,em_delta_qcd,em_qcd_unmasked,em_Sgamma_direct_kernel,em_T4gamma_direct_kernel,em_T4gamma_P_kernel,em_kernel_total
3.0,2.5,6.25,-0.25924581986396156,-0.36249415592331596,0.07032985001580344,0.0020138934259256976,-0.10526222948528008,14.127270947052265,27.620832762320397,-0.048918526285265516,0.0,-0.0041466589598807245,0.024017031452364623,0.005406360281539573,-4.411266838595554e-17,0.00015144361182419734,-0.007915658304803706,-0.007915658304803706,0.0,0.0,2.3359351611197,2.3359351611197
3.25,2.5,6.25,-0.2673933777857902,-0.35166508502193866,0.07032985001580344,0.001848180033960194,-0.08611988727010865,15.029206251155943,25.995205376143993,-0.05450850647552535,0.0,-0.004334326395267839,0.026189517571321052,0.005483085742983585,-4.597525957345841e-17,0.00015783809094115694,-0.007354802210288545,-0.007354802210288545,0.0,0.0,2.156247841033569,2.156247841033569
3.5,2.5,6.25,-0.2737142895824664,-0.34377312566543566,0.07032985001580344,0.0017170364821661754,-0.07177587256513544,15.748155389623523,24.84154456879176,-0.05984672741992181,0.0,-0.00450193358418762,0.028231351436704695,0.005546350832836178,-4.763423703316121e-17,0.00016353354187679592,-0.006836058979402722,-0.006836058979402722,0.0,0.0,2.0022301381025995,2.0022301381025995
3.75,2.5,6.25,-0.2787462566985878,-0.33788483869049063,0.07032985001580344,0.0016109302554083475,-0.06074951224731117,16.332506417789478,23.997840330386456,-0.06492748300655102,0.0,-0.0046524297180261485,0.030148629028690352,0.005599108299403945,-4.9120362949784607e-17,0.00016863557457338628,-0.00635938698679506,-0.00635938698679506,0.0,0.0,1.86874812889576,1.86874812889576
4.0,2.5,6.25,-0.2828389925181214,-0.33340553947621676,0.07032985001580344,0.0015234801559998363,-0.052090027114095196,16.815636582623757,23.365784784987987,-0.0697528649686363,0.0,-0.004788237257495481,0.03194856081122134,0.0056435491234853525,-5.04587080542506e-17,0.00017323025959026667,-0.0059229973449287975,-0.0059229973449287975,0.0,0.0,1.7519513708397747,1.7519513708397747
4.25,2.5,6.25,-0.28622847932608986,-0.32994262528154317,0.07032985001580344,0.0014502691956141726,-0.04516441515106749,17.221082059168936,22.882928362678683,-0.07432985965665337,0.0,-0.0049113575368091855,0.033638780665122256,0.005681325012335331,-5.1669850925499724e-17,0.00017738824543805758,-0.005524240867910767,-0.005524240867910767,0.0,0.0,1.6488954078491997,1.6488954078491997
4.5,2.5,6.25,-0.2890790406440712,-0.32722896172582394,0.07032985001580344,0.0013881516305436097,-0.03953807271229636,17.565801032763616,22.50806799213767,-0.07866838817867987,0.0,-0.005023454300872238,0.03522692621500384,0.005713699196906333,-5.277080579778854e-17,0.0001811679438425175,-0.005160121689283748,-0.005160121689283748,0.0,0.0,1.5572901074131331,1.5572901074131331
4.75,2.5,6.25,-0.291508246478086,-0.32507801848846085,0.07032985001580344,0.001334831435470538,-0.034904603445845395,17.862261362391727,22.213140182672106,-0.08277999313184813,0.0,-0.005125919431852715,0.03672039202610826,0.005741650550806872,-5.377574046697624e-17,0.00018461799439528783,-0.00482758924617569,-0.00482758924617569,0.0,0.0,1.475327470180863,1.475327470180863
5.0,2.5,6.25,-0.29360222472192254,-0.3233565938798207,0.07032985001580344,0.001288596632960929,-0.031042965790859068,18.119801417996765,21.978507262623346,-0.08667696662595582,0.0,-0.005219924659722206,0.03812619247889306,0.00576594672882405,-5.469653377592446e-17,0.00018777917846220026,-0.00452369846710165,-0.00452369846710165,0.0,0.0,1.4015610966718197,1.4015610966718197
5.25,2.5,6.25,-0.29542539002523716,-0.32196768511853235,0.07032985001580344,0.0012481466054736715,-0.02779044169876889,18.345535145293532,21.790104844774987,-0.0903717788238598,0.0,-0.005306462362190647,0.03945089375176301,0.005787196368011218,-5.554321086150873e-17,0.00019068591343383688,-0.004245691761544688,-0.004245691761544688,0.0,0.0,1.3348200920683997,1.3348200920683997
