sector,state,scenario,M2,s0,theta_deg,GA_basis,GB_basis,f1_GeV,f2_GeV,rho_AB,f1_target_clipped,g_2460,g_2536,Gamma_2460_keV,Gamma_2536_keV,chi_effective,g1_abs,g2_abs,scan,fixed_s0,fixed_M2,quoted_combo,g_low,g_high,g_quoted,Gamma_low_keV,Gamma_high_keV,Gamma_quoted_keV,g_quoted_abs
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.0,7.5,35.3,-0.288375615316926,-0.24438831770600966,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3757424858628577,0.032254918176604426,29.676683036907857,0.32284350430582026,4.980468750000001,0.3757424858628577,0.032254918176604426,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.05,7.5,35.3,-0.2883676616220721,-0.2443525007546129,0.345,0.3807805629715229,-0.4081864418895571,0,-0.37570034813217246,0.03223364505507622,29.670027212745175,0.32241779407639815,4.980468750000001,0.37570034813217246,0.03223364505507622,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.1,7.5,35.3,-0.28843030875982445,-0.2443513302573643,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3757226784589992,0.032202612995552334,29.673554284772095,0.3217972950914661,4.980468750000001,0.3757226784589992,0.032202612995552334,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.15,7.5,35.3,-0.288555756038945,-0.24438116061719595,0.345,0.3807805629715229,-0.4081864418895571,0,-0.37580255318786915,0.03216302819646095,29.68617220312213,0.32100664794354783,4.980468750000001,0.37580255318786915,0.03216302819646095,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.2,7.5,35.3,-0.28873706551035616,-0.2444387363849208,0.345,0.3807805629715229,-0.4081864418895571,0,-0.375933800147729,0.03211595430551185,29.706911286372517,0.3200676832680607,4.980468750000001,0.375933800147729,0.03211595430551185,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.25,7.5,35.3,-0.2889680566217545,-0.24452114579292664,0.345,0.3807805629715229,-0.4081864418895571,0,-0.37611090817335163,0.03206233064807409,29.734908618612025,0.3189997485563665,4.980468750000001,0.37611090817335163,0.03206233064807409,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.3,7.5,35.3,-0.2892432151822851,-0.24462578048128172,0.345,0.3807805629715229,-0.4081864418895571,0,-0.37632894878667206,0.03200298789561501,29.769394706989274,0.31781999623761087,4.980468750000001,0.37632894878667206,0.03200298789561501,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.35,7.5,35.3,-0.2895576144912323,-0.24475030050107832,0.345,0.3807805629715229,-0.4081864418895571,0,-0.37658350822919073,0.031938661567562664,29.809682033054084,0.31654363748705205,4.980468750000001,0.37658350822919073,0.031938661567562664,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.4,7.5,35.3,-0.28990684683644924,-0.24489260382819394,0.345,0.3807805629715229,-0.4081864418895571,0,-0.37687062833127805,0.03187000369431611,29.855155196814206,0.31518416578991476,4.980468750000001,0.37687062833127805,0.03187000369431611,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.45,7.5,35.3,-0.2902869638576152,-0.24505079974289282,0.345,0.3807805629715229,-0.4081864418895571,0,-0.37718675494684745,0.031797592915275195,29.905262405257805,0.3137535538690899,4.980468750000001,0.37718675494684745,0.031797592915275195,M2,7.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.5,7.5,35.3,-0.29069442450819627,-0.2452231855317669,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3775286928823103,0.03172194324146767,29.959508099818407,0.3122624271871862,4.980468750000001,0.3775286928823103,0.03172194324146767,M2,7.5,,,,,,,,,
