scenario,ensemble,theta_deg,GA_basis,GB_basis,G2460_basis,G2536_basis,Gamma2460_basis_keV,Gamma2536_basis_keV,fA_GeV,fB_eff_GeV,f1_GeV,f2_GeV,rho_AB,f1_target_GeV,f1_target_clipped,G2460_phys,G2536_phys,Gamma2460_phys_keV,Gamma2536_phys_keV
legacy_chi_condensate,theta_fixed,35.3,-0.24975580444262083,-0.21132028051037544,-0.3167897203020055,-0.08172206506655084,21.1074611280705,2.0726717340360867,0.2239276277404703,0.4532931356775065,0.3130335135962127,0.3970242671215838,-0.580902884605486,0.3130335135962127,0,-0.35298399312335443,0.024453644278882466,26.206188508488573,0.18558336305828613
legacy_chi_condensate,theta_fixed,35.3,-0.4096793964137511,-0.2770430267357492,-0.46284159095914634,-0.17426333001307753,45.37396833957402,9.424974528128768,0.19554080360695375,0.42250551562903127,0.3424602892106891,0.31538558452462284,-0.18467979027561346,0.3424602892106891,0,-0.41412779557088525,0.007164286375525126,36.3254304563377,0.01592993642283595
legacy_chi_condensate,theta_fixed,35.3,-0.29062072815116063,-0.29094973394712487,-0.40539241826410444,-0.06905897862693114,34.49842314017281,1.4802670402642806,0.2565380191963162,0.40754528497432857,0.30651244421805374,0.3714229881650443,-0.3920039853562318,0.30651244421805374,0,-0.4562816392342534,0.020656297725704476,43.70327536654413,0.1324355979064593
legacy_chi_condensate,theta_fixed,35.3,-0.4636617471590232,-0.3601897591787996,-0.5618948777585574,-0.1702733823723938,66.39158971926264,8.992394732819788,0.2340539768029211,0.4141048174943476,0.343401619658025,0.3291494972585168,-0.15958477024223622,0.343401619658025,0,-0.5371036647605344,-0.007223673940602062,60.66233917377067,0.01618445598384622
legacy_chi_condensate,theta_fixed,35.3,-0.3714516929172938,-0.27907394077844094,-0.44240892632350887,-0.14189068504314298,41.41282089448145,6.244606480980269,0.22143816877443567,0.4549122638876112,0.3798555172770122,0.33420026394325386,-0.10446334034660353,0.3798555172770122,0,-0.3978958149088063,0.01864507062539786,33.49853347803893,0.10782646563677938
legacy_chi_condensate,theta_fixed,35.3,-0.3857283347592867,-0.2632372093330044,-0.43773384082587175,-0.16269376512156417,40.3080270647638,8.221412992568213,0.2164830257800791,0.4697923219082167,0.35544422726411684,0.3758046400450994,-0.3785736670642014,0.35544422726411684,0,-0.4197067842307607,0.008811380297956292,37.05640415867325,0.024115292653531545
legacy_chi_condensate,theta_fixed,35.3,-0.3253819493553591,-0.25231726957390804,-0.3939500485974173,-0.11975298201555654,32.49926476647216,4.4488392161354415,0.23499343541717957,0.45706060318683395,0.35781589469629715,0.3689093319196047,-0.2917303028037755,0.35781589469629715,0,-0.38652556793817755,0.011485196915027161,31.28582942703867,0.04092144190585882
legacy_chi_condensate,theta_fixed,35.3,-0.4916935019364917,-0.24808792379481798,-0.4866027192077208,-0.2579300514462133,49.30269550267994,20.631044905306254,0.1789438289230548,0.5358777026525644,0.3539190095931483,0.44037159395042585,-0.848101807850645,0.3539190095931483,0,-0.4502282607838521,0.011387814578890305,42.20725470593207,0.04021592933992328
legacy_chi_condensate,theta_fixed,35.3,-0.5445373617877747,-0.3321977175416991,-0.5857841108953569,-0.25245442627381387,72.25641592665166,19.77922966984832,0.19638469148367654,0.4509777664871154,0.339548649978632,0.35588566592732346,-0.39567145849604,0.339548649978632,0,-0.5420845088583984,-0.0019830477344485596,61.877852675245684,0.001220421165557802
legacy_chi_condensate,theta_fixed,35.3,-0.40631804131690535,-0.2896137482539141,-0.4711586446535776,-0.16425591449166074,46.499955590121004,8.371772813571672,0.19589473329894827,0.4536981972802864,0.3291559296333617,0.3686097865451285,-0.49597282440842183,0.3291559296333617,0,-0.4655335451711663,0.029754940566507803,45.3962701404201,0.2747220860465311
legacy_chi_condensate,theta_fixed,35.3,-0.40289905453842034,-0.27122461735662073,-0.45417489610177797,-0.17209185035653932,43.388577485927,9.196048463707035,0.2005373634506583,0.4583238749262594,0.34966524185711373,0.35778516892706586,-0.3585111975695506,0.34966524185711373,0,-0.42366745567113756,0.01646751081628743,37.75542558444511,0.08420474357974607
legacy_chi_condensate,theta_fixed,35.3,-0.44257685167226146,-0.2963747453331828,-0.49762897853130905,-0.18994119888356464,52.137348183821814,11.193012669855092,0.20991685984622863,0.4747508433816938,0.34988295751020154,0.38345191013117313,-0.4513081793571741,0.34988295751020154,0,-0.4816451718948212,0.014302302612652215,48.84184207911713,0.06346299605596406
legacy_chi_condensate,theta_fixed,35.3,-0.4176072915232846,-0.3032346551602832,-0.4887987580961771,-0.16559855104204377,50.21367597128168,8.50665394783477,0.22186915669666324,0.45228041801612556,0.3614686002291414,0.3508902253732853,-0.23275070942193832,0.3614686002291414,0,-0.45777648114502184,0.010353489347082028,44.04217731590512,0.03325210804864153
