sector,state,state_label,scan,M2,s0,fixed_s0,g_abs
Ds,Ds1_2460,D_{s1}(2460),M2,4.45,9.0,9.0,0.5696221035718338
Ds,Ds1_2460,D_{s1}(2460),M2,4.5,9.0,9.0,0.5713532557589167
Ds,Ds1_2460,D_{s1}(2460),M2,3.0,9.5,9.5,0.5276786167897553
Ds,Ds1_2460,D_{s1}(2460),M2,3.05,9.5,9.5,0.5311903190314887
Ds,Ds1_2460,D_{s1}(2460),M2,3.1,9.5,9.5,0.5346275090217713
Ds,Ds1_2460,D_{s1}(2460),M2,3.15,9.5,9.5,0.5379933025488716
Ds,Ds1_2460,D_{s1}(2460),M2,3.2,9.5,9.5,0.541290580769355
Ds,Ds1_2460,D_{s1}(2460),M2,3.25,9.5,9.5,0.5445220162832808
Ds,Ds1_2460,D_{s1}(2460),M2,3.3,9.5,9.5,0.5476900956462784
Ds,Ds1_2460,D_{s1}(2460),M2,3.35,9.5,9.5,0.5507971388676771
Ds,Ds1_2460,D_{s1}(2460),M2,3.4,9.5,9.5,0.5538453163515449
Ds,Ds1_2460,D_{s1}(2460),M2,3.45,9.5,9.5,0.5568366636618737
Ds,Ds1_2460,D_{s1}(2460),M2,3.5,9.5,9.5,0.5597730944309657
Ds,Ds1_2460,D_{s1}(2460),M2,3.55,9.5,9.5,0.5626564116788398
Ds,Ds1_2460,D_{s1}(2460),M2,3.6,9.5,9.5,0.5654883177690705
Ds,Ds1_2460,D_{s1}(2460),M2,3.65,9.5,9.5,0.5682704231913215
Ds,Ds1_2460,D_{s1}(2460),M2,3.7,9.5,9.5,0.5710042543315854
Ds,Ds1_2460,D_{s1}(2460),M2,3.75,9.5,9.5,0.5736912603667383
Ds,Ds1_2460,D_{s1}(2460),M2,3.8,9.5,9.5,0.5763328193996228
Ds,Ds1_2460,D_{s1}(2460),M2,3.85,9.5,9.5,0.5789302439337513
Ds,Ds1_2460,D_{s1}(2460),M2,3.9,9.5,9.5,0.5814847857723463
Ds,Ds1_2460,D_{s1}(2460),M2,3.95,9.5,9.5,0.5839976404142989
Ds,Ds1_2460,D_{s1}(2460),M2,4.0,9.5,9.5,0.5864699510093926
Ds,Ds1_2460,D_{s1}(2460),M2,4.05,9.5,9.5,0.5889028119264622
