M2,s0,channel,f_Bcstar_standard_GeV,g_pert_GeV_inv,Gamma_pert_keV,A_single,A_open,B_single,B_open,A_total,B_total,Pi_G2_rotated,g_G2_all_positive_GeV_inv,g_pert_plus_G2ap_GeV_inv,Gamma_pert_plus_G2ap_keV,delta_g_over_g
7.0,53.0,Bc1(6743)->Bc* gamma,0.44233260623288956,-0.080558169621449,78.14833539323791,0.00013571055605757302,2.2315522294137734e-05,-9.152678399034442e-05,-1.7327995728413593e-05,0.00015802607835171075,-0.00010885477971875801,2.913938006192813e-05,0.002651350583690997,-0.07790681903775801,73.08891189765795,-0.032912249572575464
7.0,53.0,Bc1(6750)->Bc* gamma,0.44233260623288956,0.17555033177140017,392.77424000090343,0.00013202232081011914,2.1927071296608213e-05,-8.84475751335999e-05,-1.709653783160966e-05,0.00015394939210672736,-0.00010554411296520957,0.00018442672930910235,0.006087860114876579,0.18163819188627675,420.4884082576434,0.03467871608926452
7.0,54.0,Bc1(6743)->Bc* gamma,0.44233260623288956,-0.07998898508455206,77.04792101070919,0.00013661005762943232,2.2466100071503877e-05,-9.205514997806957e-05,-1.7431236958007164e-05,0.0001590761577009362,-0.00010948638693607673,2.939977456174327e-05,0.002626154515470809,-0.07736283056908125,72.0717810672677,-0.032831451889217524
7.0,54.0,Bc1(6750)->Bc* gamma,0.44233260623288956,0.17418748176511453,386.699463015316,0.00013290011093185965,2.2074962962137048e-05,-8.89604281892073e-05,-1.7198223560645115e-05,0.0001549750738939967,-0.00010615865174985242,0.00018559467650988048,0.006041548294753701,0.18022903005986823,413.98935936827803,0.03468417037511633
7.0,55.0,Bc1(6743)->Bc* gamma,0.44233260623288956,-0.07944921371105382,76.01157977381295,0.0001374128851610384,2.2599617692926293e-05,-9.252434686450515e-05,-1.7522619768431863e-05,0.0001600125028539647,-0.00011004696663293701,2.9633871230329815e-05,0.002603276375889429,-0.07684593733516439,71.11191538146248,-0.0327665467572429
7.0,55.0,Bc1(6750)->Bc* gamma,0.44233260623288956,0.17293286043345898,381.1489590096498,0.00013368360614596057,2.2206098361636277e-05,-8.941588388148754e-05,-1.7288227752128068e-05,0.00015588970450759686,-0.00010670411163361561,0.00018663442589466473,0.0060000364199051335,0.1789328968533641,408.0562873784416,0.034695756519992474
8.0,53.0,Bc1(6743)->Bc* gamma,0.44233260623288956,-0.07674562667472505,70.92638501415493,0.00022295331183968446,3.861454352754531e-05,-0.0001567883377095754,-2.9684843991449888e-05,0.0002615678553672298,-0.0001864731817010253,4.3650647615052165e-05,0.0018879112768685484,-0.0748577153978565,67.47978482311485,-0.024599594252714622
8.0,53.0,Bc1(6750)->Bc* gamma,0.44233260623288956,0.16403251079290246,342.92532027170205,0.0002167374595470201,3.794160777313954e-05,-0.0001514264121464473,-2.927475233268312e-05,0.00025467906732015965,-0.00018070116447913042,0.0003092803609930077,0.004892292485713582,0.16892480327861603,363.6859565956614,0.029825139309671938
8.0,54.0,Bc1(6743)->Bc* gamma,0.44233260623288956,-0.07618315690194392,69.89055384735818,0.00022489994357284223,3.8965421632284354e-05,-0.00015797681579085107,-2.9924773101896872e-05,0.00026386536520512657,-0.00018790158889274794,4.4186538831705695e-05,0.0018693985535617585,-0.07431375834838216,66.5026579857805,-0.024538213295202237
8.0,54.0,Bc1(6750)->Bc* gamma,0.44233260623288956,0.16259380458085954,336.9362007752774,0.0002186362024015562,3.828620863388661e-05,-0.0001525793026760361,-2.9511033010838518e-05,0.0002569224110354428,-0.00018209033568687463,0.00031186576976462523,0.004850004222941266,0.1674438088038008,357.3369089040474,0.029828960798622003
8.0,55.0,Bc1(6743)->Bc* gamma,0.44233260623288956,-0.07564128036419025,68.89985289800651,0.00022666647385771372,3.9282001532653786e-05,-0.00015904945619401467,-3.014087489419999e-05,0.0002659484753903675,-0.00018919033108821465,4.467705680203686e-05,0.0018524317312957356,-0.07378884863289452,65.56650275944793,-0.02448969296099733
8.0,55.0,Bc1(6750)->Bc* gamma,0.44233260623288956,0.1612509904302659,331.3938690218079,0.0002203593977094058,3.8597123993978344e-05,-0.00015361991790778157,-2.9723845351796325e-05,0.0002589565217033841,-0.0001833437632595779,0.000314205805116096,0.004811724565703015,0.1660627149959689,351.46651559268287,0.02983996906229161
9.0,53.0,Bc1(6743)->Bc* gamma,0.44233260623288956,-0.07421818097211112,66.33170546555597,0.0003280957220388483,5.901760551840276e-05,-0.00023913029462811829,-4.512083883786812e-05,0.00038711332755725104,-0.00028425113346598643,5.857832360666492e-05,0.0014159261278002735,-0.07280225484431085,63.8249102717252,-0.019077887779711745
9.0,53.0,Bc1(6750)->Bc* gamma,0.44233260623288956,0.15609680783283336,310.54728129616416,0.00031873836337596137,5.799052459889355e-05,-0.00023084356703260295,-4.447875364779847e-05,0.00037672888797485494,-0.00027532232068040144,0.00046299909295296853,0.004118322139601813,0.16021512997243517,327.1498614334616,0.02638312850069421
9.0,54.0,Bc1(6743)->Bc* gamma,0.44233260623288956,-0.07367535104512013,65.36495694602604,0.00033160426912766323,5.9688733277724045e-05,-0.00024135141539425767,-4.55788452113779e-05,0.00039129300240538727,-0.00028693026060563556,5.949460723547506e-05,0.0014023279007444932,-0.07227302314437564,62.900340239082894,-0.019033881492952535
9.0,54.0,Bc1(6750)->Bc* gamma,0.44233260623288956,0.15461734451285067,304.68853185728676,0.0003221589733526243,5.864961726264535e-05,-0.000232996976933192,-4.492973111048373e-05,0.00038080859061526964,-0.00027792670804367573,0.00046775440341056707,0.004079482596618561,0.15869682710946922,320.97867166518637,0.026384378864296842
9.0,55.0,Bc1(6743)->Bc* gamma,0.44233260623288956,-0.07314569625300657,64.42851302361082,0.0003348289202769711,6.030246299948118e-05,-0.00024338106508912396,-4.5996956931703336e-05,0.0003951313832764523,-0.0002893780220208273,6.034524176344515e-05,0.0013897885829068756,-0.07175590767009969,62.00345304642399,-0.019000278267906293
9.0,55.0,Bc1(6750)->Bc* gamma,0.44233260623288956,0.15322226579991416,299.2150598616733,0.00032530306561427127,5.925233946777239e-05,-0.000234964951439079,-4.5341421395940784e-05,0.00038455540508204367,-0.00028030637283501977,0.0004721133225094292,0.00404409436203074,0.1572663601619449,315.2182536313697,0.026393646777888895
