normalization,channel,observable,median,mean,std,q16,q84,min,max
projector_diagnostic,Bc1(6743)->Bc* gamma,g1_GeV_inv,-0.044743558698019534,-0.045001798019937304,0.0016421039641198796,-0.04689001654428812,-0.04335995262433947,-0.04731307204427945,-0.042959610587106005
projector_diagnostic,Bc1(6743)->Bc* gamma,Gamma1_keV,24.10802302898728,24.41597053437686,1.7871545313589068,22.640336798011337,26.476789686769983,22.223948590948666,26.956459287071695
projector_diagnostic,Bc1(6750)->Bc* gamma,g2_GeV_inv,0.0954938825725188,0.09622085903164629,0.005056227491991731,0.09105247825267564,0.10209670993725996,0.0899898313807875,0.10310345348618682
projector_diagnostic,Bc1(6750)->Bc* gamma,Gamma2_keV,116.22265442809784,118.28857915966768,12.468003961088986,105.66501106004806,132.85189168767374,103.21113736656557,135.4834080126936
reference_f_Bcstar_0p384,Bc1(6743)->Bc* gamma,g1_GeV_inv,-0.08775597485282813,-0.08826246213501272,0.00322067440262439,-0.09196584340734118,-0.08504229486533392,-0.09279558625522585,-0.0842571001518534
reference_f_Bcstar_0p384,Bc1(6743)->Bc* gamma,Gamma1_keV,92.73719202688605,93.92178467918173,6.874711076767726,87.0913910554179,101.8492112142556,85.48965568832986,103.69437337372229
reference_f_Bcstar_0p384,Bc1(6750)->Bc* gamma,g2_GeV_inv,0.187293076399929,0.18871890236733493,0.009916827931191011,0.17858210710859607,0.20024326563473022,0.17649792751089732,0.20221780150388508
reference_f_Bcstar_0p384,Bc1(6750)->Bc* gamma,Gamma2_keV,447.0778300076018,455.0248963561912,47.96111552329374,406.46536671283167,511.04611007551387,397.0259632557924,521.1688577791238
standard_vector_invariant,Bc1(6743)->Bc* gamma,g1_GeV_inv,-0.07749811697641021,-0.07794540060248391,0.002844207497165892,-0.08121589102245226,-0.07510164095913545,-0.0819486446428587,-0.07440822821024144
standard_vector_invariant,Bc1(6743)->Bc* gamma,Gamma1_keV,72.32406908696186,73.24791160313059,5.361463594076717,67.92101039403404,79.43036906030996,66.67184577284598,80.86937786121507
standard_vector_invariant,Bc1(6750)->Bc* gamma,g2_GeV_inv,0.16540025642761874,0.16665941659073402,0.008757642910756232,0.15770751848869446,0.17683668889695653,0.15586696011608012,0.17858041987389006
standard_vector_invariant,Bc1(6750)->Bc* gamma,Gamma2_keV,348.66796328429365,354.8657374790031,37.404011883266946,316.99503318014416,398.5556750630212,309.6334120996967,406.4502240380807
