M2,s0,channel,g_pert_GeV_inv,Gamma_pert_keV,A_single,A_open,B_single,B_open,A_total,B_total,Pi_G2_rotated,g_G2_all_positive_GeV_inv,g_pert_plus_G2ap_GeV_inv,Gamma_pert_plus_G2ap_keV,delta_g_over_g
7.0,53.0,Bc1(6743)->Bc gamma,0.03222838188952428,0.23308285431548448,-0.0002934292173334781,-0.0001559880985364519,0.00035042407108533126,0.0003410413761044209,-0.00044941731586992995,0.0006914654471897522,0.00019507977328181588,0.017567183225543893,0.04979556511506818,0.5564352777690432,0.545084245487796
7.0,53.0,Bc1(6750)->Bc gamma,-0.19501869563827748,8.964375136341156,-0.00028368904527925463,-0.00015314492932820632,0.0003395405740184933,0.000332305640337387,-0.00043683397460746095,0.0006718462143558803,-0.0007786640918823501,-0.025438645734069516,-0.220457341372347,11.455568827164509,0.13044208736404103
7.0,54.0,Bc1(6743)->Bc gamma,0.03199756083223806,0.22975611141215205,-0.0002944047122424944,-0.0001566328319771202,0.00035270094898488845,0.0003421921976205799,-0.0004510375442196146,0.0006948931466054684,0.00019646347984774598,0.01736845334172517,0.04936601417396323,0.5468767405569207,0.5428055417344867
7.0,54.0,Bc1(6750)->Bc gamma,-0.19372175494454344,8.84553931326451,-0.00028462583776971156,-0.00015377968618719557,0.0003417623347898159,0.00033343507875272443,-0.00043840552395690716,0.0006751974135425403,-0.0007821060198796293,-0.025197149012428033,-0.21891890395697147,11.29624382448314,0.13006876289986738
7.0,55.0,Bc1(6743)->Bc gamma,0.031770161488397994,0.22650206728766184,-0.0002952570449594672,-0.0001571993301069894,0.0003547461100224923,0.0003432027635262312,-0.0004524563750664566,0.0006979488735487235,0.00019771456264642932,0.017189909311501658,0.048960070799899655,0.5379196383495986,0.5410708824309617
7.0,55.0,Bc1(6750)->Bc gamma,-0.1925173848202031,8.735895588035136,-0.0002854440361061219,-0.0001543374538309653,0.0003437583613979779,0.0003344270244730837,-0.0004397814899370872,0.0006781853858710617,-0.0007851565111489875,-0.024981666547305482,-0.2174990513675086,11.150189844618811,0.12976317214487665
8.0,53.0,Bc1(6743)->Bc gamma,0.03128532380691957,0.21964161791588466,-0.000529781113235947,-0.0002544605962653855,0.0006716202575670512,0.0006154113528456338,-0.0007842417095013324,0.001287031610412685,0.00039894379994411184,0.017194460305019397,0.04847978411193897,0.5274176748722852,0.5496014812292399
8.0,53.0,Bc1(6750)->Bc gamma,-0.1847093556195814,8.041652719249319,-0.0005122276059000369,-0.0002498397842412878,0.0006513192463708792,0.000599945422476869,-0.0007620673901413248,0.0012512646688477482,-0.0014127188887167832,-0.022269053642993836,-0.20697840926257524,10.097587315883967,0.1205626730075228
8.0,54.0,Bc1(6743)->Bc gamma,0.031046790500075763,0.21630509422550717,-0.0005322908998511216,-0.0002559448507281019,0.0006771468683321473,0.0006182107078001885,-0.0007882357505792235,0.0012953575761323359,0.00040226476308998784,0.01695937523891555,0.048006165738991316,0.5171629044152257,0.5462521235125468
8.0,54.0,Bc1(6750)->Bc gamma,-0.18335072068072092,7.923786590877633,-0.0005146426525466342,-0.0002513010097060832,0.0006567116737645466,0.0006026924671726771,-0.0007659436622527173,0.0012594041409372237,-0.0014211218533114645,-0.022023770096098613,-0.20537449077681952,9.94169709454025,0.12011826304435345
8.0,55.0,Bc1(6743)->Bc gamma,0.03080686675835671,0.21297488181609311,-0.0005345229087351211,-0.00025727245553962437,0.00068218093408,0.0006207093141066707,-0.0007917953642747454,0.0013028902481866706,0.00040530625323599036,0.016746609761987767,0.04755347652034447,0.5074553911639005,0.5435999023641397
8.0,55.0,Bc1(6750)->Bc gamma,-0.18206985571664805,7.813464147380216,-0.0005167897871794336,-0.0002526080990933438,0.0006616243863368709,0.0006051447650914993,-0.0007693978862727774,0.0012667691514283703,-0.0014286865463363759,-0.021802658355210388,-0.20387251407185844,9.79681449347543,0.11974886380500824
9.0,53.0,Bc1(6743)->Bc gamma,0.03068498641929218,0.21129304226743034,-0.0008396247727060377,-0.0003691508145150999,0.0011077007129923308,0.0009732553402073377,-0.0012087755872211376,0.0020809560531996688,0.0006856604292651348,0.01660422908025536,0.04728921549954754,0.5018310674858539,0.5411189971984474
9.0,53.0,Bc1(6750)->Bc gamma,-0.17768601875436027,7.44173226064757,-0.0008118032139215302,-0.00036248603692923514,0.0010747353327382136,0.0009491915562914648,-0.0011742892508507653,0.0020239268890296785,-0.0022426046834854055,-0.019984757028646022,-0.1976707757830063,9.209847966097628,0.11247231025122854
9.0,54.0,Bc1(6743)->Bc gamma,0.030444957882402496,0.20800035712953774,-0.0008448096581059078,-0.0003719554739218771,0.001118636526308064,0.0009788176085349656,-0.0012167651320277848,0.0020974541348430294,0.0006921893757989346,0.016345675600374657,0.04679063348277715,0.49130499037872744,0.5368926987355968
9.0,54.0,Bc1(6750)->Bc gamma,-0.1763020459344338,7.326258394134562,-0.0008167986504182263,-0.00036524711029372583,0.0010854042339389323,0.0009546494865585948,-0.0011820457607119523,0.002040053720497527,-0.0022593091867945296,-0.019740986055308756,-0.19604303198974254,9.05879327342223,0.11197252959078177
9.0,55.0,Bc1(6743)->Bc gamma,0.030199267446066845,0.20465678243398552,-0.0008494840087980913,-0.0003744992325819536,0.0011287068122810956,0.000983845218603301,-0.001223983241380045,0.0021125520308843968,0.0006982282395213296,0.016110502665746103,0.04630977011181295,0.48125868013252604,0.5334732935001818
9.0,55.0,Bc1(6750)->Bc gamma,-0.174982139840115,7.216971228986667,-0.0008213012067706331,-0.00036775149477820255,0.0010952304149633644,0.0009595835410241137,-0.0011890527015488356,0.0020548139559874784,-0.002274530978788367,-0.019519687216037633,-0.19450182705615263,8.916920570296076,0.11155245463264536
