M2,s0,channel,g_pert_GeV_inv,Gamma_pert_keV,two_point_max_abs_G2_over_pert,estimated_residue_shift_abs,conservative_abs_delta_g_over_g,conservative_abs_delta_Gamma_over_Gamma,Gamma_shift_envelope_keV
7.0,53.0,Bc1(6743)->Bc gamma,0.03222838188952428,0.23308285431548448,0.08564924829720394,0.04282462414860197,0.1284738724458059,0.2569477448916118,0.05989011378926383
7.0,53.0,Bc1(6750)->Bc gamma,-0.19501869563827748,8.964375136341156,0.08564924829720394,0.04282462414860197,0.1284738724458059,0.2569477448916118,2.303375975645295
7.0,54.0,Bc1(6743)->Bc gamma,0.03199756083223806,0.22975611141215205,0.08295206511228605,0.041476032556143023,0.12442809766842908,0.24885619533685815,0.057176231741419455
7.0,54.0,Bc1(6750)->Bc gamma,-0.19372175494454344,8.84553931326451,0.08295206511228605,0.041476032556143023,0.12442809766842908,0.24885619533685815,2.201267259201611
7.0,55.0,Bc1(6743)->Bc gamma,0.031770161488397994,0.22650206728766184,0.08059628537693424,0.04029814268846712,0.12089442806540135,0.2417888561308027,0.05476567576074586
7.0,55.0,Bc1(6750)->Bc gamma,-0.1925173848202031,8.735895588035136,0.08059628537693424,0.04029814268846712,0.12089442806540135,0.2417888561308027,2.1122422015091415
8.0,53.0,Bc1(6743)->Bc gamma,0.03128532380691957,0.21964161791588466,0.039972994192471877,0.019986497096235938,0.05995949128870781,0.11991898257741562,0.02633919935213035
8.0,53.0,Bc1(6750)->Bc gamma,-0.1847093556195814,8.041652719249319,0.039972994192471877,0.019986497096235938,0.05995949128870781,0.11991898257741562,0.964346812333286
8.0,54.0,Bc1(6743)->Bc gamma,0.031046790500075763,0.21630509422550717,0.03845609625382984,0.01922804812691492,0.05768414438074476,0.11536828876148952,0.02495474857118951
8.0,54.0,Bc1(6750)->Bc gamma,-0.18335072068072092,7.923786590877633,0.03845609625382984,0.01922804812691492,0.05768414438074476,0.11536828876148952,0.9141536995007894
8.0,55.0,Bc1(6743)->Bc gamma,0.03080686675835671,0.21297488181609311,0.03712490234524062,0.01856245117262031,0.05568735351786093,0.11137470703572186,0.023720015068234856
8.0,55.0,Bc1(6750)->Bc gamma,-0.18206985571664805,7.813464147380216,0.03712490234524062,0.01856245117262031,0.05568735351786093,0.11137470703572186,0.8702222803485878
9.0,53.0,Bc1(6743)->Bc gamma,0.03068498641929218,0.21129304226743034,0.021944112683312422,0.010972056341656211,0.03291616902496863,0.06583233804993727,0.013909914986149158
9.0,53.0,Bc1(6750)->Bc gamma,-0.17768601875436027,7.44173226064757,0.021944112683312422,0.010972056341656211,0.03291616902496863,0.06583233804993727,0.4899066338600747
9.0,54.0,Bc1(6743)->Bc gamma,0.030444957882402496,0.20800035712953774,0.020988662871890572,0.010494331435945286,0.031482994307835854,0.06296598861567171,0.013096948119074123
9.0,54.0,Bc1(6750)->Bc gamma,-0.1763020459344338,7.326258394134562,0.020988662871890572,0.010494331435945286,0.031482994307835854,0.06296598861567171,0.4613051026405461
9.0,55.0,Bc1(6743)->Bc gamma,0.030199267446066845,0.20465678243398552,0.020148154601337218,0.010074077300668609,0.030222231902005826,0.06044446380401165,0.012370369478076525
9.0,55.0,Bc1(6750)->Bc gamma,-0.174982139840115,7.216971228986667,0.020148154601337218,0.010074077300668609,0.030222231902005826,0.06044446380401165,0.4362259562250781
