M2,s0,theta_deg,Pi_AA,Pi_AB,Pi_BB,Pi_1,Pi_2,f1_GeV,f2_GeV,int_A,int_B,g1_GeV_inv,g2_GeV_inv,Gamma1_keV,Gamma2_keV
7.0,53.0,42.97371857764589,0.02156765602206461,-0.015660020532678297,0.01934867020348887,0.004758888683693532,0.03615743754185995,0.26324827045981225,0.7303741773794709,-0.004099310304596909,0.004354050918672744,0.03222838188952428,-0.19501869563827748,0.23308285431548448,8.964375136341156
7.0,54.0,43.077142028459534,0.022140306802186118,-0.01608502558941823,0.019977791468199387,0.00493772268993177,0.03718037558045374,0.2681489503310878,0.7406337082651422,-0.004128262341386661,0.004386895922088192,0.03199756083223806,-0.19372175494454344,0.22975611141215205,8.84553931326451
7.0,55.0,43.17484691963958,0.02266368536024706,-0.016473985683712968,0.02056172999935558,0.005105231846350134,0.03812018351325251,0.2726594085355047,0.7499357878930942,-0.00415329747371512,0.004415254954223135,0.031770161488397994,-0.1925173848202031,0.22650206728766184,8.735895588035136
8.0,53.0,43.16969130631117,0.04571010562150135,-0.033231831233688044,0.04145796659565583,0.010284264657139112,0.07688380756001807,0.25786425013881864,0.7089852374439217,-0.008030746441279001,0.008563809080578041,0.03128532380691957,-0.1847093556195814,0.21964161791588466,8.041652719249319
8.0,54.0,43.289447920184244,0.04719859108219753,-0.03433654489121976,0.04309327309663145,0.010748087331241003,0.07954377684758798,0.26361499337345934,0.7211454286740482,-0.008105994818579825,0.008649175405787928,0.031046790500075763,-0.18335072068072092,0.21630509422550717,7.923786590877633
8.0,55.0,43.403825203377075,0.048583510100098926,-0.03536577943572874,0.04463847588957982,0.01119024795994273,0.08203173802973601,0.26898271278863983,0.732336546069448,-0.008172235190772885,0.008724210284952766,0.03080686675835671,-0.18206985571664805,0.21297488181609311,7.813464147380216
9.0,53.0,43.32213038299556,0.08256531585661771,-0.06008485635004126,0.07551907345425861,0.018854136491020745,0.13923025281985557,0.25461219868610374,0.6952361568441848,-0.013643426027218528,0.014595652398062238,0.03068498641929218,-0.17768601875436027,0.21129304226743034,7.44173226064757
9.0,54.0,43.45507375689152,0.0856944009286909,-0.062407182358205276,0.07895686675410983,0.019827593859504132,0.14482367382329658,0.26110241639767595,0.7090638173926644,-0.013801602333424702,0.014775096954593225,0.030444957882402496,-0.1763020459344338,0.20800035712953774,7.326258394134562
9.0,55.0,43.58301768521686,0.08864647886000762,-0.06460109059145598,0.08225066218825504,0.020768376311913875,0.15012876473634879,0.2672250432576832,0.7219340070243987,-0.01394279060795095,0.014935029994394708,0.030199267446066845,-0.174982139840115,0.20465678243398552,7.216971228986667
