source_index,channel,delta_g_over_g_G2ap,g_pert_GeV_inv,Gamma_pert_keV,g_pert_plus_G2ap_GeV_inv,Gamma_pert_plus_G2ap_keV
2,Bc1(6743)->Bc* gamma,-0.0327665467572429,-0.07234742096592907,63.029906063206674,-0.06997684581408302,58.96703317844283
2,Bc1(6750)->Bc* gamma,0.02638312850069421,0.1530561282233664,298.56653904621135,0.1570942277221022,314.52860082997836
5,Bc1(6743)->Bc* gamma,-0.024599594252714622,-0.06892168346123544,57.202143811261735,-0.06722623801287501,54.422460062422
5,Bc1(6750)->Bc* gamma,0.029828960798622003,0.14877304484207132,282.09032479203063,0.1532107901645571,299.1702419062809
8,Bc1(6743)->Bc* gamma,-0.032912249572575464,-0.07563975805153807,68.89707964874772,-0.07315028345693662,64.43659431917943
8,Bc1(6750)->Bc* gamma,0.026384378864296842,0.156058152455593,310.39349421854615,0.16017564987484356,326.9886492296674
11,Bc1(6743)->Bc* gamma,-0.024538213295202237,-0.08050423269585225,78.04372353602871,-0.07852880266279483,74.26060845917175
11,Bc1(6750)->Bc* gamma,0.029825139309671938,0.17134941154929126,374.2009816207322,0.1764599316193792,396.85504077664837
14,Bc1(6743)->Bc* gamma,-0.024599594252714622,-0.08103120933157715,79.0688082013705,-0.07903787446021357,75.22653470332365
14,Bc1(6750)->Bc* gamma,0.03467871608926452,0.17561866772533913,393.08008763084325,0.18170889764336104,420.8158365102765
17,Bc1(6743)->Bc* gamma,-0.0327665467572429,-0.07654833079327207,70.56218193983854,-0.07404010633314542,66.0137827179572
17,Bc1(6750)->Bc* gamma,0.03468417037511633,0.1616827198822171,333.17077622052,0.16729055088532416,356.6830818234213
20,Bc1(6743)->Bc* gamma,-0.024599594252714622,-0.0768029298516178,71.03234087635592,-0.07491360893984829,67.58059186101258
20,Bc1(6750)->Bc* gamma,0.026393646777888895,0.15898781389384173,322.15684495234603,0.16318408209574453,339.38705527795537
23,Bc1(6743)->Bc* gamma,-0.019077887779711745,-0.0846925988584385,86.37567837812045,-0.08307684296164507,83.11138517319782
23,Bc1(6750)->Bc* gamma,0.026393646777888895,0.18161457962925992,420.3790916550016,0.1864080506937094,442.8626125833734
26,Bc1(6743)->Bc* gamma,-0.032831451889217524,-0.07582769279181724,69.23986869549522,-0.07333815954405232,64.76801180728134
26,Bc1(6750)->Bc* gamma,0.03468417037511633,0.16425068320355193,343.8381466221275,0.1699475818840132,368.1032627677396
29,Bc1(6743)->Bc* gamma,-0.032912249572575464,-0.0881187740159645,93.50556188296171,-0.0852185869335217,87.45189184152665
29,Bc1(6750)->Bc* gamma,0.029828960798622003,0.1888190199995235,454.3925123578132,0.1944512951451235,481.90492865259097
32,Bc1(6743)->Bc* gamma,-0.024599594252714622,-0.07564769614379174,68.91154135741624,-0.07378679351250182,65.56285057668723
32,Bc1(6750)->Bc* gamma,0.034695756519992474,0.16225154904095052,335.5192106176993,0.16788098928146697,359.2052928192244
35,Bc1(6743)->Bc* gamma,-0.032912249572575464,-0.07786413031590876,73.00883630341856,-0.07530144662620003,68.2821505727532
35,Bc1(6750)->Bc* gamma,0.029825139309671938,0.16469416124204764,345.6973842058048,0.1696061875445813,366.6258407745833
38,Bc1(6743)->Bc* gamma,-0.019077887779711745,-0.07186742860003949,62.19633071368795,-0.07049634986219148,59.84581881575487
38,Bc1(6750)->Bc* gamma,0.03467871608926452,0.1531030095974696,298.7494700200937,0.1584124253997122,319.82924622621596
41,Bc1(6743)->Bc* gamma,-0.0327665467572429,-0.07233877146460055,63.014835873845456,-0.0699684797270442,58.952934405152945
41,Bc1(6750)->Bc* gamma,0.026393646777888895,0.16133709596978763,331.7478819353942,0.16559537029298457,349.4910584979403
44,Bc1(6743)->Bc* gamma,-0.032831451889217524,-0.07364441145315263,65.31006910559661,-0.07122655850161871,61.092018322109375
44,Bc1(6750)->Bc* gamma,0.034695756519992474,0.1571114929977654,314.59774049842446,0.16256259510530838,336.8068650613405
47,Bc1(6743)->Bc* gamma,-0.0327665467572429,-0.07679314209386627,71.01423732105566,-0.07427689601281201,66.4366988593202
47,Bc1(6750)->Bc* gamma,0.02983996906229161,0.16149854061023927,332.41215216422205,0.16631765206565408,352.5464765135275
50,Bc1(6743)->Bc* gamma,-0.019077887779711745,-0.0764292866237121,70.3428829787805,-0.07497117727042149,67.68449812746724
50,Bc1(6750)->Bc* gamma,0.029825139309671938,0.15951744094705325,324.3067854992204,0.16427507084562148,343.94025912492754
53,Bc1(6743)->Bc* gamma,-0.024599594252714622,-0.08410684600878594,85.18502327988315,-0.08203785172309426,81.04553812987015
53,Bc1(6750)->Bc* gamma,0.03467871608926452,0.17571144730012742,393.49552680235445,0.1818048946946823,421.26058908864366
56,Bc1(6743)->Bc* gamma,-0.019033881492952535,-0.0789999031207354,75.1542714710761,-0.0774962283267806,72.32054401649057
56,Bc1(6750)->Bc* gamma,0.026393646777888895,0.16172636467295637,333.35067338513727,0.16599491321680643,351.17957351438656
59,Bc1(6743)->Bc* gamma,-0.019077887779711745,-0.0842399593468114,85.4548761275322,-0.08263283885582545,82.22538170608787
59,Bc1(6750)->Bc* gamma,0.026384378864296842,0.1840151474466911,431.56561583306257,0.18887027281369403,454.6392253822917
62,Bc1(6743)->Bc* gamma,-0.019033881492952535,-0.07875657917176294,74.69202604597834,-0.07725753577701727,71.87572777440818
62,Bc1(6750)->Bc* gamma,0.029828960798622003,0.1696311555779033,366.7337920247671,0.17469107666786152,388.9386754265487
65,Bc1(6743)->Bc* gamma,-0.0327665467572429,-0.07819253450184951,73.62598747393326,-0.07563043516402733,68.88009704182896
65,Bc1(6750)->Bc* gamma,0.02983996906229161,0.1644245251593542,344.5663643278904,0.16933094790319134,365.43687370629397
68,Bc1(6743)->Bc* gamma,-0.019033881492952535,-0.08041276298722454,77.8664761809961,-0.07888219598600484,74.93048376131256
68,Bc1(6750)->Bc* gamma,0.02638312850069421,0.17152925069133088,374.98687633728497,0.17605472895394803,395.03454714232157
71,Bc1(6743)->Bc* gamma,-0.024538213295202237,-0.08982570044919587,97.16319265497518,-0.08762153825218257,92.45327464499067
71,Bc1(6750)->Bc* gamma,0.029825139309671938,0.18982626549183781,459.2533103645558,0.19548786030476667,487.05642198518166
74,Bc1(6743)->Bc* gamma,-0.02448969296099733,-0.07486353692046058,67.49028074502606,-0.0730301518873042,64.22512520099585
74,Bc1(6750)->Bc* gamma,0.026384378864296842,0.15359509315298364,300.67295867554805,0.1576476042824289,316.74840629224303
77,Bc1(6743)->Bc* gamma,-0.019000278267906293,-0.08043958160563608,77.91842364470438,-0.07891120717137504,74.98560955667763
77,Bc1(6750)->Bc* gamma,0.02983996906229161,0.17072781203804477,371.49094904823903,0.17582232466733277,393.99229026657497
80,Bc1(6743)->Bc* gamma,-0.02448969296099733,-0.07733414468516094,72.01834301620558,-0.07544025522642,68.53412144570095
80,Bc1(6750)->Bc* gamma,0.02983996906229161,0.16591209639810856,350.8292456707499,0.17086290822168806,372.0791000384908
83,Bc1(6743)->Bc* gamma,-0.019033881492952535,-0.07793991676939899,73.15102689809194,-0.07645641763003967,70.39283273035225
83,Bc1(6750)->Bc* gamma,0.029825139309671938,0.16892026647794756,363.6664218855134,0.17395833695787927,385.68272071704575
86,Bc1(6743)->Bc* gamma,-0.024599594252714622,-0.07809284205677788,73.43836660500487,-0.07617178982813982,69.86969905878823
86,Bc1(6750)->Bc* gamma,0.026384378864296842,0.16696396539841635,355.29180403082825,0.1713692059181735,374.2874423798752
89,Bc1(6743)->Bc* gamma,-0.019077887779711745,-0.08743956331978414,92.06965417290517,-0.0857714011432623,88.59017531798342
89,Bc1(6750)->Bc* gamma,0.02983996906229161,0.18212610355587341,422.75045181204007,0.1875607408514164,448.3565996624771
92,Bc1(6743)->Bc* gamma,-0.032831451889217524,-0.08632156233558956,89.73030333413351,-0.08348750011476656,83.93507173410056
92,Bc1(6750)->Bc* gamma,0.02638312850069421,0.17524140747035669,391.39308914081647,0.1798648240422896,412.3178742509061
95,Bc1(6743)->Bc* gamma,-0.02448969296099733,-0.07689253903411132,71.19819036287589,-0.07500946436217443,67.75364748319028
95,Bc1(6750)->Bc* gamma,0.03468417037511633,0.16135430490620006,331.8186571361763,0.1669507451083252,355.2355418936984
98,Bc1(6743)->Bc* gamma,-0.02448969296099733,-0.06838871348774009,56.32087841627783,-0.06671389489242771,53.5960945455408
98,Bc1(6750)->Bc* gamma,0.026393646777888895,0.1549531556061142,306.01346601065484,0.15904293446230122,322.3802651783467
101,Bc1(6743)->Bc* gamma,-0.032831451889217524,-0.08504403597949502,87.09400799367738,-0.08225191680376934,81.46904152700903
101,Bc1(6750)->Bc* gamma,0.02638312850069421,0.17731103967074877,400.6925248025663,0.1819890596149738,422.11447937799926
104,Bc1(6743)->Bc* gamma,-0.019077887779711745,-0.07745093392366069,72.23603000432372,-0.07597333369783121,69.50609970077855
104,Bc1(6750)->Bc* gamma,0.034695756519992474,0.16827234311112527,360.8819593562519,0.17411067935675753,386.35853263091707
107,Bc1(6743)->Bc* gamma,-0.032831451889217524,-0.07551308701590481,68.66651421473863,-0.07303388273253583,64.23168742540369
107,Bc1(6750)->Bc* gamma,0.034695756519992474,0.16668581456770884,354.1090051854501,0.1724691050052867,379.10743967056146
110,Bc1(6743)->Bc* gamma,-0.019033881492952535,-0.0760687644466464,69.6808237707757,-0.0746208805988536,67.05347525801184
110,Bc1(6750)->Bc* gamma,0.026393646777888895,0.15800804215481645,318.1984585960183,0.16217845060751646,335.21695890975553
113,Bc1(6743)->Bc* gamma,-0.024538213295202237,-0.0796619623654371,76.41921157651842,-0.07770720014139963,72.71484358409191
113,Bc1(6750)->Bc* gamma,0.026393646777888895,0.16670711424984447,354.1995094814368,0.17110712293871602,373.14348705390023
116,Bc1(6743)->Bc* gamma,-0.019033881492952535,-0.077570290859045,72.45884241370683,-0.07609382713546009,69.72674739028251
116,Bc1(6750)->Bc* gamma,0.026384378864296842,0.1746340621768012,388.68483851203786,0.17924167343588507,409.4658318824668
119,Bc1(6743)->Bc* gamma,-0.019033881492952535,-0.07366250434203928,65.34216367878263,-0.0722604209639188,62.87840640279268
