variant,observable,median,min,max
baseline,Gamma_low_keV,70.16613471831839,61.00260910670148,83.73243730183286
baseline,Gamma_high_keV,337.8670796776672,300.58085967531326,393.1239281436202
baseline,ratio_high_over_low,4.815244291766007,4.69500161241592,4.927344323085564
radiative_JB_sign_flip,Gamma_low_keV,2401.657740723202,2081.9803066043023,2875.5437216044465
radiative_JB_sign_flip,Gamma_high_keV,4.285994565189019,4.04410795477197,4.54740692189774
radiative_JB_sign_flip,ratio_high_over_low,0.0017845984015600798,0.0014063802697166115,0.002184173840392628
alternate_rotation_c_s,Gamma_low_keV,29.831553390997914,28.88288269092005,30.927498572299598
alternate_rotation_c_s,Gamma_high_keV,343.64772614464624,304.993371662277,400.78156146488345
alternate_rotation_c_s,ratio_high_over_low,11.519605487535447,9.861559639208783,13.87609283165069
alternate_rotation_c_minus_s,Gamma_low_keV,2361.323159395882,2051.9051960699,2820.694166993533
alternate_rotation_c_minus_s,Gamma_high_keV,10.066641032168084,8.959918908861463,11.701741276035177
alternate_rotation_c_minus_s,ratio_high_over_low,0.004263135688189125,0.004125804839500333,0.004379223163658008
swap_eigenstate_assignment,Gamma_low_keV,315.5367383563751,281.1360919682605,366.4343964156824
swap_eigenstate_assignment,Gamma_high_keV,75.3338350722769,65.3950335467187,90.07624197903289
swap_eigenstate_assignment,ratio_high_over_low,0.23874822141056987,0.23260988330911855,0.24581819518070186
swap_assignment_and_JB_flip,Gamma_low_keV,3.986303619496003,3.7521549870374566,4.237445326238194
swap_assignment_and_JB_flip,Gamma_high_keV,2571.6920908987777,2226.030388696438,3085.08760018298
swap_assignment_and_JB_flip,ratio_high_over_low,645.1320161167057,525.3236838037516,822.2175285511954
