channel,mi_GeV,mf_GeV,Egamma_GeV,polsum_avg_numeric_GeV6,polsum_avg_analytic_GeV6,numeric_over_analytic,Gamma_per_gV2_keV,Gamma_per_gE12_keV,Gamma_coeff_ratio_gV_to_gE1,gE1_over_gV,sqrt_2mf2_plus_E2
Bc1(6743)->Bc* gamma,6.743,6.3359,0.39481092911167226,380.0864356624597,380.08643566245956,1.0000000000000002,12042.053484659227,149.69647491582992,80.44313328974602,8.969009604730392,8.969009604730392
Bc1(6750)->Bc* gamma,6.751,6.3359,0.40233833432084204,395.68460763652956,395.68460763652934,1.0000000000000007,12744.995539493048,158.42303011322474,80.44913375526409,8.969344109535774,8.969344109535772
