M2,s0_root,GA,GB,G2460,G2536,Gamma2460_keV,Gamma2536_keV,plot_M2
3.5,2.5,-0.3192657468638789,-0.2458244563705651,-0.3851167254348251,-0.11851324086696721,31.175936638314774,4.358468511481721,3.5
3.5,2.5033333333333334,-0.32114538031291207,-0.2469226906527495,-0.3870991962348006,-0.11941265732697565,31.497732385830158,4.424873806791226,3.5
3.5,2.506666666666667,-0.32302402679602393,-0.24801904408219513,-0.38907956167437197,-0.1203123551520909,31.820836018829514,4.491802166936986,3.5
3.5,2.51,-0.32490164882395295,-0.2491135002940391,-0.39105778673410374,-0.12121231320247841,32.14523652161559,4.559252472943628,3.5
3.5,2.513333333333333,-0.32677820914105693,-0.25020604308299166,-0.39303383665979297,-0.12211251043675825,32.470922811535836,4.627223566200912,3.5
3.5,2.5166666666666666,-0.3286536707254478,-0.2512966564030189,-0.395007676962288,-0.12301292591229901,32.79788374037048,4.695714248728488,3.5
3.5,2.52,-0.3305279967891174,-0.25238532436702,-0.39697927341729744,-0.12391353878550662,33.12610809571938,4.764723283444228,3.5
3.5,2.5233333333333334,-0.33240115077805027,-0.25347203124649964,-0.3989485920651888,-0.12481432831210604,33.4555846023876,4.834249394435879,3.5
3.5,2.526666666666667,-0.33427309637232205,-0.2545567614712346,-0.40091559921077213,-0.12571527384741385,33.78630192376849,4.904291267235812,3.5
3.5,2.5300000000000002,-0.33614379748618817,-0.2556394996289346,-0.40288026142307554,-0.12661635484660688,34.11824866322533,4.9748475490992,3.5
3.5,2.533333333333333,-0.33801321826815606,-0.256720230464898,-0.4048425455351051,-0.12751755086498018,34.45141336547024,5.045916849285029,3.5
3.5,2.5366666666666666,-0.33988132310105085,-0.2577989388816626,-0.40680241864359845,-0.12841884155820193,34.785784517941266,5.1174977393404655,3.5
3.5,2.54,-0.3417480766020623,-0.2588756099386502,-0.40875984810876154,-0.12932020668255775,35.12135055217638,5.189588753387919,3.5
3.5,2.5433333333333334,-0.3436134436227852,-0.2599502288518064,-0.4107148015539976,-0.13022162609519153,35.45809984518502,5.262188388415277,3.5
3.5,2.546666666666667,-0.345477389249245,-0.26102278099323617,-0.4126672468656255,-0.13112307975433682,35.79602072081697,5.335295104568801,3.5
3.5,2.55,-0.34733987880191153,-0.2620932518908322,-0.41461715219258344,-0.13202454771954306,36.135101451127596,5.4089073254489115,3.5
3.5,2.5533333333333332,-0.34920087783570286,-0.2631616272279003,-0.41656448594612594,-0.13292601015189492,36.47533025774048,5.483023438408693,3.5
