sector,scenario,ensemble,window_id,M2,s0,theta_deg,f1_GeV,f2_GeV,rho_AB,f1_target_clipped,GA_basis,GB_basis,chi_effective,fperp_s_used_GeV,state,state_key,g_GeV_inv,Gamma_keV,g_low_GeV_inv,g_high_GeV_inv,quoted_combo
Ds,legacy_chi_condensate,theta_fixed,central,4.329918954643297,8.474097566039246,35.3,0.3388262686501599,0.3786001475030069,-0.380007997880885,0,-0.6461692901311028,-0.43837699940114233,3.0203534644602934,-0.025662195225404673,D_{s1}(2460),Ds1_2460,-0.7363335768655925,114.71746366433612,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.329918954643297,8.474097566039246,35.3,0.3388262686501599,0.3786001475030069,-0.380007997880885,0,-0.6461692901311028,-0.43837699940114233,3.0203534644602934,-0.025662195225404673,D_{s1}(2536),Ds1_2536,-0.03137371238735929,0.3054234643059857,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.03501411452904,7.8743636436602085,35.3,0.3424452689344879,0.3519586395545409,-0.36644473714523806,0,-0.648033319190215,-0.3820259923178338,3.379430087745673,-0.029596284876979524,D_{s1}(2460),Ds1_2460,-0.6245146588792923,82.01811686476285,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.03501411452904,7.8743636436602085,35.3,0.3424452689344879,0.3519586395545409,-0.36644473714523806,0,-0.648033319190215,-0.3820259923178338,3.379430087745673,-0.029596284876979524,D_{s1}(2536),Ds1_2536,-0.01273828111706116,0.05036524885224479,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.0136247812699155,8.243932555133568,35.3,0.3508045844567203,0.40944259068475514,-0.4232481179134936,0,-0.3157761244320618,-0.26312634272173663,3.2955565482442535,-0.054577535574007505,D_{s1}(2460),Ds1_2460,-0.42383212270968695,37.73545201668782,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.0136247812699155,8.243932555133568,35.3,0.3508045844567203,0.40944259068475514,-0.4232481179134936,0,-0.3157761244320618,-0.26312634272173663,3.2955565482442535,-0.054577535574007505,D_{s1}(2536),Ds1_2536,0.014247522355403745,0.06298951728370053,,,
Ds,legacy_chi_condensate,theta_fixed,central,3.019585221246945,8.036882042364283,35.3,0.36710093248627995,0.38655135227642673,-0.3838601461419634,0,-0.4942575828163483,-0.3303154823482665,2.7987017253442734,-0.03151954583256634,D_{s1}(2460),Ds1_2460,-0.5273944535304923,58.32727154806522,,,
Ds,legacy_chi_condensate,theta_fixed,central,3.019585221246945,8.036882042364283,35.3,0.36710093248627995,0.38655135227642673,-0.3838601461419634,0,-0.4942575828163483,-0.3303154823482665,2.7987017253442734,-0.03151954583256634,D_{s1}(2536),Ds1_2536,0.011204379346047948,0.038947567080692906,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.064398796051475,8.312298272791153,35.3,0.3396419750365575,0.4492067175760769,-0.7161952437311707,0,-0.5672447389679397,-0.3360102339786261,3.019953582049318,-0.03350298299683483,D_{s1}(2460),Ds1_2460,-0.6348297994881488,85.0246042020444,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.064398796051475,8.312298272791153,35.3,0.3396419750365575,0.4492067175760769,-0.7161952437311707,0,-0.5672447389679397,-0.3360102339786261,3.019953582049318,-0.03350298299683483,D_{s1}(2536),Ds1_2536,-0.010439742741576455,0.03381796819872201,,,
Ds,legacy_chi_condensate,theta_fixed,central,3.807347756450213,8.503919181290982,35.3,0.3369413812648795,0.3378931601454249,-0.2429979840619911,0,-0.5556859218827593,-0.39450889002432865,3.177618300994098,-0.037046985775425985,D_{s1}(2460),Ds1_2460,-0.6157655283802443,79.44953036290319,,,
Ds,legacy_chi_condensate,theta_fixed,central,3.807347756450213,8.503919181290982,35.3,0.3369413812648795,0.3378931601454249,-0.2429979840619911,0,-0.5556859218827593,-0.39450889002432865,3.177618300994098,-0.037046985775425985,D_{s1}(2536),Ds1_2536,-0.015129878860805267,0.07103698082567443,,,
Ds,legacy_chi_condensate,theta_fixed,central,3.1537784028902784,8.257688053682687,35.3,0.3646712979893878,0.26227793337248445,0.18584089154072828,0,-0.4920799496580771,-0.41718055593431497,3.4214591918124646,-0.033412634598957755,D_{s1}(2460),Ds1_2460,-0.5382696966699183,60.57058298048522,,,
Ds,legacy_chi_condensate,theta_fixed,central,3.1537784028902784,8.257688053682687,35.3,0.3646712979893878,0.26227793337248445,0.18584089154072828,0,-0.4920799496580771,-0.41718055593431497,3.4214591918124646,-0.033412634598957755,D_{s1}(2536),Ds1_2536,0.01419017804453307,0.06245473319334328,,,
Ds,legacy_chi_condensate,theta_fixed,central,3.3641828658077055,7.985702116949806,35.3,0.32056729514937404,0.3754200754595392,-0.4380088373546729,0,-0.3406253075177431,-0.27286114203443723,3.164730893214369,-0.05108291466420446,D_{s1}(2460),Ds1_2460,-0.44508975342430285,41.687447969275716,,,
Ds,legacy_chi_condensate,theta_fixed,central,3.3641828658077055,7.985702116949806,35.3,0.32056729514937404,0.3754200754595392,-0.4380088373546729,0,-0.3406253075177431,-0.27286114203443723,3.164730893214369,-0.05108291466420446,D_{s1}(2536),Ds1_2536,0.011496389819889881,0.04102991945522557,,,
