fB_scheme,M2,s0_root,s0,GA_stage2,GB_hard,GB_soft2p,GB_3p_estimate,GB_stage2_estimate,hard_qcd_side,G2460_stage2_estimate,G2536_stage2_estimate,Gamma2460_keV_stage2_estimate,Gamma2536_keV_stage2_estimate,fB
fB_equal_fT_diagnostic,3.0,2.5,6.25,-0.3123740953170627,-0.7657846555855715,0.3204266853878664,0.0016492515546424136,-0.4437087186430627,-0.06552070799308397,-0.5426351169697696,0.0014602247177915584,61.89428375389725,0.000661667121537216,0.256
fB_converted_fT_M_over_msum_central,3.0,2.5,6.25,-0.3123740953170627,-0.4243807625790339,0.17757331660242398,0.0009139783976326935,-0.24589346757897723,-0.06552070799308397,-0.381190654685225,-0.11284882632892757,30.543530787334838,3.951793630324933,0.4619457079970653
fB_equal_fT_diagnostic,3.25,2.5,6.25,-0.31629730363853326,-0.7488861605240041,0.3037152745390171,0.001513542750092069,-0.443657343234895,-0.07276806009220518,-0.5448602434085648,-0.0017713407383914137,62.40293118617956,0.0009736534016895771,0.256
fB_converted_fT_M_over_msum_central,3.25,2.5,6.25,-0.31629730363853326,-0.415015993817531,0.16831222573558863,0.0008387716073899125,-0.24586499647455248,-0.07276806009220518,-0.3834344741872795,-0.11606715635856144,30.904168578759116,4.180409754125094,0.4619457079970653
fB_equal_fT_diagnostic,3.5,2.5,6.25,-0.3192657468638789,-0.735217565532848,0.29043784189296334,0.0014061444618344895,-0.44337357917805015,-0.07967106853476695,-0.5463439904453756,-0.0043579740623885255,62.74326151761215,0.0058934478631851904,0.256
fB_converted_fT_M_over_msum_central,3.5,2.5,6.25,-0.3192657468638789,-0.40744116357848004,0.16095416893682007,0.000779253873340276,-0.2457077407683197,-0.07967106853476695,-0.3850214694444838,-0.11858068586760923,31.160516235842763,4.363430666828179,0.4619457079970653
fB_equal_fT_diagnostic,3.75,2.5,6.25,-0.32157873533178094,-0.7239550750846059,0.2796575300086069,0.001319250161875617,-0.4429782949141234,-0.08622665179103486,-0.5473579621201061,-0.00647410892217426,62.97637079616297,0.013006491674830535,0.256
fB_converted_fT_M_over_msum_central,3.75,2.5,6.25,-0.32157873533178094,-0.4011997427689846,0.15497996072442818,0.000731098991923751,-0.2454886830526327,-0.08622665179103486,-0.38617926622960286,-0.12059498687287579,31.348203379141253,4.5129307854773355,0.4619457079970653
fB_equal_fT_diagnostic,4.0,2.5,6.25,-0.32342584840426253,-0.7145289579295887,0.27074482576366704,0.001247634052231272,-0.4425364981136904,-0.09244091507821293,-0.5480647635161275,-0.008236902983313421,63.13911813459141,0.021053682302238346,0.256
fB_converted_fT_M_over_msum_central,4.0,2.5,6.25,-0.32342584840426253,-0.3959759990477858,0.15004073897779147,0.0006914109425457301,-0.2452438491274486,-0.09244091507821293,-0.38704681643196515,-0.12224396443483188,31.48920881665249,4.63719133174789,0.4619457079970653
fB_equal_fT_diagnostic,4.25,2.5,6.25,-0.32493188844603843,-0.7065335994328927,0.26326242575461545,0.001187678898359403,-0.4420834947799179,-0.09832557222071124,-0.5485653271877712,-0.00972781030386416,63.25450443146268,0.029365023305649586,0.256
fB_converted_fT_M_over_msum_central,4.25,2.5,6.25,-0.32493188844603843,-0.3915451498381918,0.14589415991199056,0.0006581851345655077,-0.2449928047916357,-0.09832557222071124,-0.38771220643349863,-0.12361816820859883,31.59757097908966,4.742035178012284,0.4619457079970653
fB_equal_fT_diagnostic,4.5,2.5,6.25,-0.32618178387503105,-0.6996729647518177,0.25689783413577205,0.0011368085347918096,-0.44163832208125386,-0.10389555997225614,-0.5489242666176395,-0.011005143385224792,63.33730938719836,0.037583011277769626,0.256
fB_converted_fT_M_over_msum_central,4.5,2.5,6.25,-0.32618178387503105,-0.3877431392383523,0.14236704530476002,0.0006299939145847678,-0.2447461000190075,-0.10389555997225614,-0.3882331229982301,-0.12478081508570407,31.682534801184687,4.831653706164545,0.4619457079970653
fB_equal_fT_diagnostic,4.75,2.5,6.25,-0.32723501575893715,-0.6937262978916644,0.25142224298726884,0.0010931426617689216,-0.44121091224262665,-0.10916746063097973,-0.5491840594563248,-0.01211170755073876,63.39727566736638,0.04552090789401419,0.256
fB_converted_fT_M_over_msum_central,4.75,2.5,6.25,-0.32723501575893715,-0.38444762920363423,0.1393325949142701,0.0006057952624480747,-0.24450923902691604,-0.10916746063097973,-0.3886484299133195,-0.12577726914742987,31.750354947330173,4.909129469741205,0.4619457079970653
fB_equal_fT_diagnostic,5.0,2.5,6.25,-0.3281343053116057,-0.6885258541317832,0.24666454154611356,0.0010552792778698915,-0.44080603330779977,-0.1141584707253449,-0.5493732838627189,-0.01307961393847995,63.44097095803031,0.05308722380359266,0.256
fB_converted_fT_M_over_msum_central,5.0,2.5,6.25,-0.3281343053116057,-0.38156565935418596,0.13669598297513832,0.0005848122202629242,-0.2442848641587847,-0.1141584707253449,-0.38898497047370617,-0.1266408698839988,31.805365634380518,4.976774162457161,0.4619457079970653
fB_equal_fT_diagnostic,5.25,2.5,6.25,-0.3289110256125428,-0.6839420392836797,0.24249437430709408,0.0010221532594520983,-0.4404255117171335,-0.11888573791542052,-0.549511559636649,-0.013933411875462098,63.47291081970233,0.06024418229394026,0.256
fB_converted_fT_M_over_msum_central,5.25,2.5,6.25,-0.3289110256125428,-0.37902541148349467,0.13438496937612082,0.0005664545202818498,-0.244073987587092,-0.11888573791542052,-0.3892616999245905,-0.1273966371533284,31.850635312055136,5.036352185144362,0.4619457079970653
