state,scenario,ensemble,n,f1_phys_GeV_median,f1_phys_GeV_p16,f1_phys_GeV_p84,f1_phys_GeV_mean,f1_phys_GeV_std,f2_phys_GeV_median,f2_phys_GeV_p16,f2_phys_GeV_p84,f2_phys_GeV_mean,f2_phys_GeV_std,rho_AB_diag_median,rho_AB_diag_p16,rho_AB_diag_p84,rho_AB_diag_mean,rho_AB_diag_std,G_quoted_phys_median,G_quoted_phys_p16,G_quoted_phys_p84,G_quoted_phys_mean,G_quoted_phys_std,Gamma_quoted_phys_keV_median,Gamma_quoted_phys_keV_p16,Gamma_quoted_phys_keV_p84,Gamma_quoted_phys_keV_mean,Gamma_quoted_phys_keV_std,G_quoted_basis_median,G_quoted_basis_p16,G_quoted_basis_p84,G_quoted_basis_mean,G_quoted_basis_std,Gamma_quoted_basis_keV_median,Gamma_quoted_basis_keV_p16,Gamma_quoted_basis_keV_p84,Gamma_quoted_basis_keV_mean,Gamma_quoted_basis_keV_std
Bs1_5830_observed_high_combo,legacy_chi_condensate,theta_fixed,391,0.43586547568531714,0.3803965840856135,0.4858047893576471,0.4327290254332811,0.052290534054000214,0.2181573607509671,0.1375563174527134,0.2917979567662597,0.21486552657245894,0.07889091137260816,0.5871025676473132,0.24201886944078443,0.834946919218109,0.546998956154339,0.27794782784402516,-0.07927882417702321,-0.13032161503530684,-0.05369927817419012,-0.11539583502405837,0.1819918679136048,1.3343484982796,0.6123787464073739,3.6019184002025666,9.831215689749238,73.02722527139808,-0.017571012933404656,-0.04103684620891924,0.0038870444227764073,-0.018215485110166917,0.023049104927555106,0.08363633447926057,0.008349877117719718,0.38475492990214677,0.1828241108950682,0.24068286545853712
Bs1_5830_observed_high_combo,legacy_chi_condensate,theta_scan_25_45,334,0.42644074577897095,0.36796682221210947,0.46911420118937186,0.4212354435293738,0.05394608987056052,0.2461950499189915,0.1735180439466864,0.31202427138575917,0.24091449413275415,0.0718226693210778,0.44860413968414925,0.17402644510392057,0.7179765717809297,0.4403231469827251,0.2716756095463623,-0.0379934583275842,-0.10310993135545674,0.010077996476975694,-0.06278940445066952,0.19418675083094752,0.34868638302916805,0.026071568473739447,2.257117964805199,8.81908219069077,121.11407849542732,0.008141969321906459,-0.03701776170613923,0.0476421380849455,0.007596886790255297,0.04458550107404774,0.18490837656126616,0.018759201969603928,0.8024052598057385,0.4327114965805719,0.6463381841144312
Bs1_5830_observed_high_combo,lattice_fperp_s,theta_fixed,408,0.4428331767363599,0.3841541661211909,0.49206914238464805,0.4359987471176818,0.05687126039936707,0.20268020517995708,0.12138956670435284,0.2906324391550531,0.20501070870643215,0.08292634810640721,0.6312634450843996,0.2764356623601178,0.8661700640277288,0.5734613589903027,0.3005220231528949,-0.04012113270714761,-0.06948789402820067,-0.027425440630569408,-0.054060677523197494,0.04781813819896822,0.34185906366925023,0.15961593573030955,1.0263456526286407,1.1038502387789253,3.2602306698691006,0.027035912071576962,-0.0009351081607185019,0.050042988307869254,0.023999480251216333,0.026666469312715907,0.17569402660997985,0.013771847600090079,0.547783108787237,0.2727294191975851,0.2856941693830129
Bs1_5830_observed_high_combo,lattice_fperp_s,theta_scan_25_45,329,0.4212780888549253,0.3711561841333564,0.4857548778203787,0.4253700108796663,0.05399804124009204,0.24891569915168482,0.16987631836905626,0.307334659839199,0.23901214085205744,0.07266016140465288,0.44146942847552895,0.1912365889177163,0.7295229037254267,0.4518388954166273,0.27166616187506276,0.013736342029031186,-0.06121046830617893,0.06568791567526379,-0.007056961203302278,0.10899378609531407,0.49259303061471127,0.05133491081870013,1.732111458943323,2.524115813672954,14.066430465678517,0.06044549589589718,-0.006572654177320614,0.11097949553366113,0.05415649413002715,0.06084112282358579,0.9024867149311664,0.14059855267228247,2.6098500434477163,1.4055389769139508,1.5428327414799583
Bs1_lower_model_5750_low_combo,legacy_chi_condensate,theta_fixed,410,0.4280085084261234,0.36744020276909073,0.47868464859749077,0.42334812454472737,0.057999188067779005,0.22643529731105755,0.12561215971700515,0.30281895682569115,0.21869322483202538,0.08267712669296497,0.5289815734909866,0.2151523639396344,0.8538424352617656,0.5162511240496995,0.31231539988377915,0.28359994519128817,0.2266893353545407,0.36022045036553607,0.2959846248281918,0.07756509840126109,9.497295623675313,5.966689060336084,16.945613356428208,11.526075687880292,6.965663624230506,0.3445097632448989,0.27514690170812234,0.41589889192650253,0.34844206260827143,0.07171194064761252,14.14681574448366,8.91156597828422,22.00971514712888,15.660935114255928,7.289830905431384
Bs1_lower_model_5750_low_combo,legacy_chi_condensate,theta_scan_25_45,323,0.41792332001439747,0.35497794656105053,0.47519672677989855,0.41279089746872266,0.06336790189631851,0.2513334767951947,0.16064296921204796,0.3130281585106914,0.24296692713572862,0.07662976294099058,0.40750375420840157,0.15206536935571338,0.7452753165843029,0.41659309588611254,0.30797496899486193,0.29458344286181065,0.22984829238322804,0.3839963907499369,0.3097702629879411,0.08941000317736722,10.573150647352868,6.224727164781192,18.372506611510545,12.982781397882212,10.067976151507047,0.3404566614098079,0.2817399401913261,0.42284261713406224,0.3505410064854356,0.0734394524198095,14.34768091466706,9.121034109590989,23.524070251456184,15.976305121296987,7.881855289379205
Bs1_lower_model_5750_low_combo,lattice_fperp_s,theta_fixed,407,0.4396743612450428,0.3805436122868126,0.48979452976212473,0.4352866183712078,0.05638861019225007,0.21553571158521637,0.1316283409368199,0.28467377566992397,0.2112221271053187,0.07462874971800078,0.5843376753094152,0.2860430615543215,0.8489822336476018,0.5595565122234749,0.27523777395926124,0.3909427850046765,0.3307396120668177,0.45729191056273166,0.3968302368691589,0.06795658903433756,18.373628155059425,12.45584991130395,28.07749494774024,20.266202590551625,8.659888423889642,0.47638671332295734,0.41925372215838896,0.5445832259121693,0.4811524324876426,0.061780475797167715,27.44469241990397,19.551329030930123,39.93141497984253,29.395236689515613,10.093433364086868
Bs1_lower_model_5750_low_combo,lattice_fperp_s,theta_scan_25_45,314,0.4156628259397629,0.35796933170477746,0.4739746682987634,0.4158992474547962,0.061249666477395825,0.24688547359907537,0.15975888828157842,0.3116616395702922,0.23843033069304462,0.07677168393432092,0.44609075435865914,0.12139327333491706,0.7644747695388734,0.43637690287520475,0.30360335940291916,0.40178855214056247,0.3387917593911255,0.49298568264471615,0.4167902439910563,0.08867146879314922,19.61074561007691,13.21240598118636,32.24427845074035,22.96052062294971,14.49771146945934,0.46829889855185014,0.4179759828661511,0.5490138284747696,0.48126394100395353,0.06648165857905174,27.223185236306975,19.502842840938268,40.28062385040212,29.657900664819064,11.026547348561959
