scenario,ensemble,n,f1_median,f1_p16,f1_p84,f2_median,f2_p16,f2_p84,rho_median,rho_p16,rho_p84,G2460_median,G2460_p16,G2460_p84,G2536_median,G2536_p16,G2536_p84,Gamma2460_median,Gamma2460_p16,Gamma2460_p84,Gamma2536_median,Gamma2536_p16,Gamma2536_p84,f1_target_clipped_fraction
legacy_chi_condensate,theta_fixed,500,0.34446862564460473,0.328675136202348,0.36286901968921287,0.38026161900049577,0.3388830166179213,0.42256756856032585,-0.4123487465949177,-0.6210942214857758,-0.20598225875338497,-0.4235030726156447,-0.48435935745934094,-0.3595635800429341,0.011837457122327682,0.0014280633339823028,0.02332665244335477,37.734900931390754,27.187101704247688,49.21816248159469,0.04464745050810168,0.004602537070853453,0.16880873563459042,0.0
legacy_chi_condensate,theta_scan_25_45,500,0.34630522668568114,0.3302465145027852,0.36135922939768933,0.3741764457374124,0.33188341757317635,0.41712385737289037,-0.39856742874759954,-0.707239111922645,-0.14813993277954618,-0.4245125150353445,-0.47852916614502744,-0.3535632589751618,0.012538066947367841,-0.03679261141611021,0.054732338773938835,37.81037355111095,26.30105182101431,48.13493953395769,0.3497884059488182,0.03826603216323293,1.101699445925375,0.03
lattice_fperp_s,theta_fixed,500,0.3449128712827171,0.32974316956014793,0.36371912552620767,0.37926005760063064,0.3377881736427091,0.423068102224421,-0.39241481825680463,-0.6043593645814543,-0.20502954229764792,-0.27679735000086286,-0.3121083248395458,-0.24289500571269973,0.0402947454171344,0.01944584511745683,0.05964691671934091,16.104921503023085,12.40145803101821,20.476016204128104,0.5038451158468475,0.12664621708073034,1.1040295306108376,0.006
lattice_fperp_s,theta_scan_25_45,500,0.34642526869108803,0.33112424860058703,0.3640782441663939,0.38029811534644103,0.3318026054678008,0.42124060834541444,-0.3704867359883731,-0.7141328047734896,-0.11597428766153632,-0.27453835785733033,-0.31498799069348665,-0.24081850825374485,0.03935680338947176,0.0052383783266078945,0.07146667999656584,15.843126312790375,12.19030304387068,20.855604332707276,0.49790788450293627,0.0407789299362965,1.5849225669665041,0.032
