scenario,ensemble,theta_deg,GA_basis,GB_basis,G2460_basis,G2536_basis,Gamma2460_basis_keV,Gamma2536_basis_keV,fA_GeV,fB_eff_GeV,f1_GeV,f2_GeV,rho_AB,f1_target_GeV,f1_target_clipped,G2460_phys,G2536_phys,Gamma2460_phys_keV,Gamma2536_phys_keV
legacy_chi_condensate,theta_fixed,35.3,-0.22504254578066973,-0.19867652190274418,-0.2921899286812479,-0.06885893801144274,17.95660883191865,1.4715414535308986,0.2239276277404703,0.4532931356775065,0.3130335135962127,0.3970242671215838,-0.580902884605486,0.3130335135962127,0,-0.3278256441876097,0.027487710907011707,22.603707762281193,0.2344925282392708
legacy_chi_condensate,theta_fixed,35.3,-0.3724982581306938,-0.2618323067125303,-0.42894214633589034,-0.15270803595608584,38.97081150025479,7.237556227876022,0.19554080360695375,0.42250551562903127,0.3424602892106891,0.31538558452462284,-0.18467979027561346,0.3424602892106891,0,-0.38654423612864636,0.01420330041748544,31.647573102351522,0.06261043392385851
legacy_chi_condensate,theta_fixed,35.3,-0.2836892638006719,-0.28307800074460066,-0.39496260137537,-0.06795069106438814,32.746127593376215,1.4331363884326904,0.2565380191963162,0.40754528497432857,0.30651244421805374,0.3714229881650443,-0.3920039853562318,0.30651244421805374,0,-0.4443872501658996,0.01957242552271095,41.454452221481546,0.11890197425231969
legacy_chi_condensate,theta_fixed,35.3,-0.4699632631229376,-0.36057492310256384,-0.5658506035600066,-0.17519371651504995,67.3296704114131,9.519604110067293,0.2340539768029211,0.4141048174943476,0.343401619658025,0.3291494972585168,-0.15958477024223622,0.343401619658025,0,-0.5399646057011471,-0.010600710463946623,61.31030939334747,0.03485393219901337
legacy_chi_condensate,theta_fixed,35.3,-0.37314072639667895,-0.2774745106714551,-0.4420795921643935,-0.14419341163856333,41.35118750803582,6.448937075015539,0.22143816877443567,0.4549122638876112,0.3798555172770122,0.33420026394325386,-0.10446334034660353,0.3798555172770122,0,-0.39690150596483736,0.01647362311529422,33.331322497883875,0.08417353305332789
legacy_chi_condensate,theta_fixed,35.3,-0.3955960395712748,-0.26427506427100256,-0.4442830017145955,-0.1701474375575162,41.5231880956806,8.991982875345672,0.2164830257800791,0.4697923219082167,0.35544422726411684,0.3758046400450994,-0.3785736670642014,0.35544422726411684,0,-0.4242991878441142,0.004921923870199333,37.871778170948154,0.007524444257158233
legacy_chi_condensate,theta_fixed,35.3,-0.3365260471571186,-0.2533693217852873,-0.4012483698354731,-0.1282401627475071,33.71458212749613,5.10178506194433,0.23499343541717957,0.45706060318683395,0.35781589469629715,0.3689093319196047,-0.2917303028037755,0.35781589469629715,0,-0.39185157155465145,0.006444855336063899,32.15395539773311,0.012885473547739905
legacy_chi_condensate,theta_fixed,35.3,-0.4578555750383043,-0.23726468084031146,-0.45821595973452844,-0.23656794079603474,43.71817500355319,17.355179665935555,0.1789438289230548,0.5358777026525644,0.3539190095931483,0.44037159395042585,-0.848101807850645,0.3539190095931483,0,-0.42696722285418687,0.014998966394083432,37.95864264799018,0.06976538559886993
legacy_chi_condensate,theta_fixed,35.3,-0.5382790576303614,-0.3291680998560661,-0.5796951172454679,-0.2490974766794041,70.76206946468426,19.256708251549675,0.19638469148367654,0.4509777664871154,0.339548649978632,0.35588566592732346,-0.39567145849604,0.339548649978632,0,-0.5367088782190479,-0.0013830220200101498,60.656702890988825,0.0005936105131937802
legacy_chi_condensate,theta_fixed,35.3,-0.4052072245872015,-0.28614447493517414,-0.4676853463713396,-0.1653540812411637,45.8169036597978,8.484089443734197,0.19589473329894827,0.4536981972802864,0.3291559296333617,0.3686097865451285,-0.49597282440842183,0.3291559296333617,0,-0.46124880785641287,0.027769221298308982,44.564467742649484,0.23927801887699215
legacy_chi_condensate,theta_fixed,35.3,-0.40349381320397687,-0.268661616748037,-0.4524268207912745,-0.17405830470349562,43.055223358333734,9.407411501298041,0.2005373634506583,0.4583238749262594,0.34966524185711373,0.35778516892706586,-0.3585111975695506,0.34966524185711373,0,-0.42112278690082167,0.01429821424751615,37.30324770817137,0.06348107076942051
legacy_chi_condensate,theta_fixed,35.3,-0.444141496373481,-0.29421526620758465,-0.4967706883119659,-0.1924660357167736,51.957654527178775,11.492561799951238,0.20991685984622863,0.4747508433816938,0.34988295751020154,0.38345191013117313,-0.4513081793571741,0.34988295751020154,0,-0.479796206448691,0.012058254346825554,48.467568459726124,0.045110488089761355
legacy_chi_condensate,theta_fixed,35.3,-0.42639324612705426,-0.30444386446968924,-0.49486267012313395,-0.17207034804000224,51.46727995098155,9.184547727982709,0.22186915669666324,0.45228041801612556,0.3614686002291414,0.3508902253732853,-0.23275070942193832,0.3614686002291414,0,-0.46212757438589014,0.006720181855092499,44.88338407126486,0.01400901990622488
legacy_chi_condensate,theta_fixed,35.3,-0.4192824837592053,-0.31127096469928967,-0.4963255150023149,-0.1623218956573683,51.742946961944945,8.173140486480294,0.2090100343314245,0.4129270988502776,0.3376533629860833,0.31651886180813693,-0.1738224076017192,0.3376533629860833,0,-0.46065020460244865,0.00869369557075505,44.57183281450764,0.023444642181824467
legacy_chi_condensate,theta_fixed,35.3,-0.38591732833517156,-0.30217015144171167,-0.4696176897519871,-0.14035031244592938,46.09434181536506,6.1117374987789175,0.21341456700604983,0.4320614002774937,0.3477004604612621,0.3336573404185118,-0.2144918248725628,0.3477004604612621,0,-0.4433249246032311,0.024652274351431233,41.07740692994911,0.18856101611977605
legacy_chi_condensate,theta_fixed,35.3,-0.4797439961477603,-0.26812207902255253,-0.4960482333469426,-0.23660072124272014,51.49436441981052,17.37314370720725,0.19720594389591095,0.5043075069953599,0.31029150353541185,0.44377407399879226,-0.9179285799886735,0.31029150353541185,0,-0.5318386306688809,0.002077945325499907,59.19317657453335,0.0013400299846989259
legacy_chi_condensate,theta_fixed,35.3,-0.3385871838007878,-0.26795468383405724,-0.4143430755928432,-0.12149407117642164,36.05035547052561,4.579761317360415,0.26597052065260307,0.5180621421638878,0.3388262686501599,0.4736300884363901,-0.6739196905201151,0.3388262686501599,0,-0.48795634699886414,0.014188158681711867,49.99784931512157,0.06245752179520594
legacy_chi_condensate,theta_fixed,35.3,-0.28205771927426865,-0.2552803792074035,-0.37133311707993827,-0.08268219379149741,29.19888419582271,2.122813372087464,0.2621286475129387,0.4572037376192741,0.3105141754216427,0.4258258240198846,-0.5817267474805389,0.3105141754216427,0,-0.4443589580572139,0.016681161795888022,41.81256100757343,0.08640530784473618
legacy_chi_condensate,theta_fixed,35.3,-0.36470938662604857,-0.2704627663994205,-0.43148493012173017,-0.14136406820483663,39.17989312391828,6.20474026728921,0.2274370286746792,0.4676874298595497,0.3493680130266384,0.3852286665537972,-0.4077308788351209,0.3493680130266384,0,-0.43268781440069265,0.014010028278219469,39.39864732191703,0.060942962296789714
legacy_chi_condensate,theta_fixed,35.3,-0.23989449144908298,-0.21794026433841326,-0.3164941030500419,-0.06984846871665154,21.016352965553846,1.5143113052185055,0.19712850925352304,0.43294459585609546,0.32948815645596413,0.3431300438562095,-0.36353245298097936,0.32948815645596413,0,-0.3166561142816076,0.04642317585061154,21.03787473586948,0.6689152247231233
legacy_chi_condensate,theta_fixed,35.3,-0.38235607820377415,-0.26699030612064023,-0.4388482000314903,-0.15777278418943153,40.2691606367649,7.728834958525231,0.23143944685102893,0.4829425441522388,0.3482282925663397,0.4068596499620958,-0.49300523869703333,0.3482282925663397,0,-0.4490431145312277,0.0056227043930160885,42.161884815676416,0.009816131272137615
legacy_chi_condensate,theta_fixed,35.3,-0.33330872719465776,-0.3562606956756677,-0.48336273489201564,-0.06615782210097729,49.03256672722146,1.3582815621648388,0.26522951057490546,0.37493623898420025,0.3476436769912608,0.30011289614313,0.03976917537940364,0.3476436769912608,0,-0.46052942490310106,0.016787327647006085,44.50953588545614,0.08745618714556597
legacy_chi_condensate,theta_fixed,35.3,-0.2856216870356312,-0.27938357181962803,-0.3930641045556774,-0.0716626682284211,32.44643856789942,1.592411193326077,0.2248720177544679,0.37585343169897734,0.3640738362314141,0.24348196701317534,0.2705702934837366,0.3640738362314141,0,-0.33733599851332857,0.03392490904344876,23.898224812254792,0.35686721936993765
