group,M2,s0_root,theta_deg,GA,GB,G2460,G2536,Gamma2460_keV,Gamma2536_keV
borel_threshold,5.5310351143566,2.5198031585860816,35.3,-0.34249890373413505,-0.2514108719454443,-0.40310146601526886,-0.1342465406920937,34.155724736916994,5.592504865617428
borel_threshold,4.1140409804054485,2.502246027712819,35.3,-0.3254877859268752,-0.24601269105473156,-0.38886580354809464,-0.12348250798580665,31.78588124621304,4.731632943906732
borel_threshold,3.831260028186092,2.57154129937537,35.3,-0.3637763692522918,-0.26950786312119734,-0.4301664464583739,-0.14115439579378591,38.89625720677996,6.182853816336466
borel_threshold,3.2047158499586232,2.5707444406121085,35.3,-0.3537983340990663,-0.26802691596380906,-0.42319190612464896,-0.13386672283630324,37.64518670723645,5.560904373908468
borel_threshold,4.684405391794791,2.5232392718002337,35.3,-0.34139414822402997,-0.25305691868306024,-0.4038064752382721,-0.13239372753502576,34.27530335710505,5.439199439281719
borel_threshold,3.3293545510734455,2.5030654650730653,35.3,-0.31902198110976515,-0.24693864164800308,-0.38588519202247795,-0.11767045401431739,31.300478455223075,4.296699901507662
borel_threshold,4.512275768417162,2.5337076770775337,35.3,-0.34693878864096117,-0.2568586538351367,-0.4101132269427994,-0.1347220553592469,35.354304846815616,5.632193454407118
borel_threshold,4.869376383727975,2.5260747639231482,35.3,-0.3440426874021264,-0.25401061428315685,-0.4061153006245465,-0.13400419964321345,34.6683724661799,5.572331977672863
borel_threshold,4.969599024662627,2.581977147831747,35.3,-0.38006892751615795,-0.2743857426887068,-0.4435622463467898,-0.1516326451325884,41.356511503059465,7.134862133890634
borel_threshold,3.5670793221445933,2.5724158021584054,35.3,-0.3608215570773798,-0.2693657008883113,-0.4283429617723317,-0.13882501203638634,38.567192027526985,5.980473953533543
borel_threshold,3.987622301394387,2.5892701432634992,35.3,-0.3759476931349594,-0.27563694273831757,-0.4422019110309403,-0.14754613534826488,41.10323271166645,6.755474217551929
borel_threshold,4.711917593811323,2.5655749032893924,35.3,-0.3679852223967167,-0.26827192207205564,-0.43158986638846264,-0.1453035970146133,39.154098378167696,6.551683278421994
borel_threshold,5.963797924359641,2.571826738100755,35.3,-0.37849399768422837,-0.2712467659872418,-0.44009032425508887,-0.1521611673147158,40.71162057721054,7.1846865602367425
borel_threshold,3.2399184483366854,2.5575496760091303,35.3,-0.3474032204103995,-0.26407693253457354,-0.41627271096406065,-0.13092995820291833,36.42425119561553,5.319590749566171
borel_threshold,5.173992591031888,2.592503943003514,35.3,-0.38817662756580945,-0.2784409055380154,-0.45155691347191285,-0.15590633714161403,42.86074753897927,7.542715036344613
