scenario,ensemble,M2,s0_root,theta_deg,GA,GB,GB_hard,GB_soft2p,GB_3p,G2460,G2536,Gamma2460_keV,Gamma2536_keV,chi_effective,fperp_s_used_GeV
legacy_chi_condensate,central,4.5,2.55,35.3,-0.3568929990172252,-0.2626370107297916,-0.4092482602123443,0.14607561521335086,0.0005356342692017745,-0.42058127757406777,-0.1395069930388966,37.182160522420766,6.039376705926203,3.15,-0.034836479999999996
legacy_chi_condensate,theta_fixed,5.060884366290175,2.5085254311191902,35.3,-0.3089081054669999,-0.2539695610154097,-0.3880402746053239,0.13362630713553242,0.0004444064543818284,-0.3857790094588026,-0.105353269557979,31.42643574080378,3.4452800560835795,3.4361910086904293,-0.03426016293165777
legacy_chi_condensate,theta_fixed,5.471388339821202,2.565128527323523,35.3,-0.3224328423716016,-0.2126352671088822,-0.35480606900563527,0.1416519881259211,0.0005188137708319479,-0.3598599107803692,-0.14027665262416433,27.07130804070845,6.104172167124002,2.8840016336795387,-0.04074379313033552
legacy_chi_condensate,theta_fixed,4.768697137526511,2.5044921494679597,35.3,-0.29340904909073995,-0.25827709039432134,-0.4070165642493518,0.14819379364439117,0.0005456802106392862,-0.3803382982075354,-0.09021476834468156,30.153780501261792,2.523196968365297,3.1725196389059125,-0.03488900805023427
legacy_chi_condensate,theta_fixed,4.557414558531545,2.5143078521329323,35.3,-0.356565888658831,-0.2802978952516209,-0.39935236192810225,0.1186127420474252,0.00044172462905616735,-0.43480596609178457,-0.1290345492050108,39.879509388227,5.168279067485632,3.18160305975444,-0.02819976612554318
legacy_chi_condensate,theta_fixed,3.464455591036613,2.5784196957863803,35.3,-0.34673463618274175,-0.25648844954245453,-0.4282859495167099,0.17110241179797078,0.0006950881762845909,-0.4096931182490138,-0.13476936423709265,35.25705873100881,5.63608177220176,3.1134268364509867,-0.03625547134461337
legacy_chi_condensate,theta_fixed,5.926094534359181,2.502438162016536,35.3,-0.18285743222750322,-0.199281515128794,-0.3827828025937351,0.1828857537450127,0.0006155337199284002,-0.2683066968925898,-0.03408048115053024,15.132106638887414,0.36066791120818786,3.333941829022748,-0.047302393860944536
legacy_chi_condensate,theta_fixed,5.137852478663097,2.5696739107761997,35.3,-0.3594372246053251,-0.29937591941949937,-0.44063967343879157,0.14074805165124965,0.0005157023680425367,-0.4520354821284961,-0.12035357268111174,42.69670016471713,4.493813139269917,2.934606635966756,-0.03243826890899892
legacy_chi_condensate,theta_fixed,5.432293387012696,2.5951941260901927,35.3,-0.2974968798791987,-0.243163115752428,-0.4192113635571521,0.17542888373089827,0.0006193640738258553,-0.3703653995550684,-0.10228472619458681,28.735738146098065,3.24471731881506,2.98706297450984,-0.043284185339830965
legacy_chi_condensate,theta_fixed,5.674237419105097,2.5889962941562428,35.3,-0.3792266503104812,-0.3741444270971155,-0.5088377572608109,0.13417492847522633,0.0005184016884690899,-0.524492342324291,-0.09329891465990106,57.654133675923276,2.7023762227809716,2.7043943451033576,-0.026753350099577782
legacy_chi_condensate,theta_fixed,5.859668920908125,2.577761419065692,35.3,-0.3939038447368422,-0.2783428994322758,-0.3807068720604607,0.10203836145593334,0.0003256111722515305,-0.4547864431137427,-0.1606371679368842,43.29856400327894,8.006035667085754,3.272306566518589,-0.02837321692936269
legacy_chi_condensate,theta_fixed,3.8613401455107392,2.543697679622713,35.3,-0.338586352685436,-0.3009537671153282,-0.44220444401495557,0.14072741762742,0.0005232592722074254,-0.4412743876305315,-0.10242462100019273,40.83939142817935,3.253601838883344,3.286649752343626,-0.030104058007397527
legacy_chi_condensate,theta_fixed,5.3667291690578045,2.5977083383017887,35.3,-0.32821779064673423,-0.2521914527241352,-0.42546033156462887,0.17271942874443486,0.0005494500960588396,-0.3954860772486149,-0.12214012291886642,32.949634600330164,4.62822384973822,3.343611481742373,-0.04281751442284022
legacy_chi_condensate,theta_fixed,4.74502456195458,2.5908979973130264,35.3,-0.4634059266152898,-0.30139263617175893,-0.4248870636192276,0.12307807103331968,0.00041635641414902605,-0.5137605076322742,-0.20404096343177144,55.1873715219517,12.91642181070067,3.297326399539104,-0.02949831807978215
legacy_chi_condensate,theta_fixed,3.3135479122292697,2.507236759776899,35.3,-0.21997824329908253,-0.21705305926032012,-0.43267511157185706,0.21478102240259594,0.000841029908940994,-0.3042612657931084,-0.05410674816683961,19.445232024341276,0.9085415664090025,3.4358565457509074,-0.04343546997181585
legacy_chi_condensate,theta_fixed,3.244922499326953,2.55953860583626,35.3,-0.27254371068279903,-0.2506248410840225,-0.43986902807919454,0.18841916243972442,0.0008250245554476637,-0.3620358150123649,-0.07760769194785724,27.585525039620006,1.8686834361710263,2.9581623229085015,-0.03731365781099026
legacy_chi_condensate,theta_fixed,5.967872172197526,2.5216052505501123,35.3,-0.29535669453596336,-0.23913760174526263,-0.4120833629085689,0.1723432051456701,0.0006025560176361715,-0.3658433038362442,-0.10286421444733693,27.928831723503052,3.2826419405146674,3.0968720783672654,-0.04219033630894857
legacy_chi_condensate,theta_fixed,4.701169838962456,2.515874488637885,35.3,-0.2765231850772929,-0.20115772256445555,-0.38525934549560154,0.18350712524518778,0.0005944976859582167,-0.3239634097354931,-0.10944044218277946,21.830903061777224,3.714169989196525,3.619436030115799,-0.047195310593003116
legacy_chi_condensate,theta_fixed,3.277744462294934,2.536289047722454,35.3,-0.3200478491134496,-0.28795629556337315,-0.4462903427045166,0.15759386161689581,0.0007401855242476505,-0.41995404688725024,-0.09480533940526417,36.82635802481858,2.787515333372386,2.7209992497556548,-0.030199428115116132
legacy_chi_condensate,theta_fixed,5.8966643114105635,2.576770211177865,35.3,-0.24536656475250296,-0.20616506013866065,-0.4521460790999065,0.24526088707121188,0.0007201318900339797,-0.31004599555132073,-0.0811188249607464,20.175910207367963,2.043047491104199,3.595515626218085,-0.05791307051206996
legacy_chi_condensate,theta_fixed,3.6094373752151094,2.501846427932442,35.3,-0.391572278937879,-0.25529304344607456,-0.41192012201552847,0.1559739098159649,0.000653168753489025,-0.434627276123787,-0.17205382446717324,39.78236947167373,9.18370403442603,2.989303346826978,-0.033995709046466274
