M2,s0_root,s0,theta_deg,GA,GB,GB_hard,GB_soft2p,GB_3p,G_low_combo,G_high_combo,Gamma_low_combo_keV,Gamma_high_combo_keV,fB_effective,hard_qcd_side,f1_tensor_matched,chi_effective,fperp_s_used_GeV,G_quoted,Gamma_quoted_keV,state,scenario,ensemble,quoted_combo
10.74072502943082,6.070969454201571,36.85667011384852,35.3,0.4985920397561433,0.4412102223799151,0.14471211613109197,0.29606816911366945,0.00042993713515366845,0.6482034592418867,0.15196301480155444,89.10165044116822,4.897098751051758,0.2748649603579296,0.019385491631328047,0.06800603970630338,3.1560939559891508,-0.041446894955680984,0.15196301480155444,4.897098751051758,Bs1_5830_observed_high_combo,legacy_chi_condensate,theta_fixed,high
12.714750515331877,6.090411091741099,37.093107266403,35.3,0.2686169365630919,0.6139484724938581,0.2805085621371921,0.3330130175156786,0.00042689284098739507,0.6562887716060559,-0.13554642654786558,91.3521481050974,3.8967716887126964,0.16827582357614168,0.036005858053308526,0.06801776421710558,3.279335414288977,-0.031860737300201045,-0.13554642654786558,3.8967716887126964,Bs1_5830_observed_high_combo,legacy_chi_condensate,theta_fixed,high
11.407434410890781,6.2014001893981066,38.457364309066875,35.3,0.380298162653308,0.6104371015158472,0.23373432088423032,0.3762307796873793,0.0004720009442376073,0.7179588577549142,-0.042370107337716456,109.32181204550798,0.3807385347370132,0.17869656633094133,0.024101673394739728,0.0680146040787967,3.478213931217157,-0.035286692594502664,-0.042370107337716456,0.3807385347370132,Bs1_5830_observed_high_combo,legacy_chi_condensate,theta_fixed,high
13.453307284012235,6.240757195395151,38.94705037187635,35.3,0.3854830475473379,0.5167214500390254,0.2075106630308739,0.3088431042374215,0.00036768277073000817,0.6444701170733946,0.016015775854488934,88.04807767426314,0.054376377680759126,0.22656595066883883,0.041244334787034466,0.06800755731859508,3.312282818811523,-0.03964788430719758,0.016015775854488934,0.054376377680759126,Bs1_5830_observed_high_combo,legacy_chi_condensate,theta_fixed,high
8.659889054301466,6.090963491584914,37.09983625582028,35.3,0.5078317489656934,0.5491890275439255,0.22554261207419454,0.32304465445953595,0.0006017610101950447,0.7416682574820024,0.09710751297303366,116.72516833545808,2.0010170434805072,0.23285356998889126,0.012608810957010391,0.06807134965120684,2.7240789577695064,-0.03238346332288681,0.09710751297303366,2.0010170434805072,Bs1_5830_observed_high_combo,legacy_chi_condensate,theta_fixed,high
13.387512804585636,6.055795330569146,36.672657085743076,35.3,0.6844869377589752,0.47903792782412064,0.19646264197761332,0.2821952438251946,0.00038004202131271784,0.7864968557463132,0.2818198008619152,131.15369843100214,16.83951456017954,0.2052642215375734,0.03489477858841742,0.06804608870757287,3.070714382288718,-0.03495821453513219,0.2818198008619152,16.83951456017954,Bs1_5830_observed_high_combo,legacy_chi_condensate,theta_fixed,high
12.774293042133003,6.147600713017429,37.7929945266924,35.3,0.4217088133073622,0.4411952863067385,0.19605974706263657,0.24481411066129422,0.0003214285828076897,0.6037637107604874,0.08922435457382244,77.09394973459538,1.6836550375195531,0.23727830657439705,0.036046717346089545,0.06804729838244777,3.1548281150223283,-0.03338258820650239,0.08922435457382244,1.6836550375195531,Bs1_5830_observed_high_combo,legacy_chi_condensate,theta_fixed,high
13.93567611895689,6.206865173479022,38.52517528174677,35.3,0.4102978925047577,0.3862551988407665,0.15905598741389226,0.22691553688274554,0.00028367454412865726,0.5523311525901944,0.1116590215958978,64.70330258410183,2.644326069593078,0.26660682922195045,0.04034129544863794,0.06803052359985749,3.1200609677853763,-0.03567427862098288,0.1116590215958978,2.644326069593078,Bs1_5830_observed_high_combo,legacy_chi_condensate,theta_fixed,high
9.58814121211039,6.224018463976976,38.738405839926315,35.3,1.0343343324538854,0.634482928415616,0.24216504582461337,0.3916778952616599,0.0006399873293427509,1.1155233483142246,0.47751833169994784,263.77142756474564,48.33375292297103,0.20647897808491575,0.017340724098646013,0.06802368193449933,2.8894081938176255,-0.03696737821651326,0.47751833169994784,48.33375292297103,Bs1_5830_observed_high_combo,legacy_chi_condensate,theta_fixed,high
13.605036223147664,6.124271091654876,37.506696404079605,35.3,0.3337731040432819,0.325317564559858,0.1494425994886816,0.1756286161027055,0.0002463489684709313,0.4583772261361889,0.08441754174067156,44.571566709622914,1.5117404653896012,0.30671714392189403,0.04159040318352744,0.06800676095011998,2.840856150808732,-0.03140702117273323,0.08441754174067156,1.5117404653896012,Bs1_5830_observed_high_combo,legacy_chi_condensate,theta_fixed,high
11.340027795389474,6.19406004880121,38.366379888155244,35.3,0.4472909280690163,0.7257889860404351,0.2820487905215581,0.44308409410887406,0.0006561014100029817,0.8508141470760189,-0.054351759178073555,153.56903928250873,0.6267025656607518,0.1591057393287112,0.02540557003148825,0.06804259481738711,2.9273630654715124,-0.03695780720355458,-0.054351759178073555,0.6267025656607518,Bs1_5830_observed_high_combo,legacy_chi_condensate,theta_fixed,high
8.010327222255878,6.090720117479252,37.09687154946648,35.3,0.6042698827205056,0.4705154298717478,0.15117471595552806,0.3188132965635411,0.0005274173526786415,0.7331872879464296,0.22127643730006258,114.24674822112746,10.406012312339884,0.2775404655575976,0.007486894810083449,0.0680449754653698,3.2778698574285197,-0.035245698586951243,0.22127643730006258,10.406012312339884,Bs1_5830_observed_high_combo,legacy_chi_condensate,theta_fixed,high
8.040043727971943,6.146534503733418,37.77988640558541,35.3,0.6307853864212025,0.7897372144385569,0.30086465139244856,0.48805640470455225,0.0008161583415561607,1.0090383718816902,0.05845199450887151,215.4334109878141,0.7229301931867108,0.1821085270056943,0.010090140418411091,0.06799652113037716,3.1949184406576556,-0.03379949922789848,0.05845199450887151,0.7229301931867108,Bs1_5830_observed_high_combo,legacy_chi_condensate,theta_fixed,high
