sector,M2,s0,g_2460,g_2536,Gamma_2460_keV,Gamma_2536_keV,GA_basis,GB_basis,GB_hard_frac,GB_soft2p_frac,GB_3p_frac,GA_3p_frac,spectral_pole_axial,spectral_pole_tensor,twist2_retention,rho_AB,window,window_state,s0_sqrt,state,g_low,g_high,g_quoted,Gamma_low_keV,Gamma_high_keV,Gamma_quoted_keV
Ds,3.0,6.25,-0.2245954763863199,0.05228742201882862,10.60319526480848,0.8483882078718342,-0.12678322110140378,-0.16180244429277468,2.622832828230548,1.6180301570481563,0.004802671182391588,0.015884542200698192,0.552458617735967,0.628164948651099,0.7868373948377245,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5,,,,,,,
Ds,3.0,6.335,-0.2324505002738348,0.05185830949119608,11.357839310970672,0.8345202398334286,-0.1343358410614763,-0.16638588027351198,2.5885525834832066,1.583882211603285,0.004670371879921701,0.01499148261560425,0.5621183295083338,0.6375165605384496,0.7927922432682211,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5169425897306437,,,,,,,
Ds,3.0,6.42,-0.24018151675297045,0.05141031301247901,12.125898141899585,0.8201639192387179,-0.14180466691814125,-0.17088473571065876,2.556597017251658,1.5520496015142968,0.004547415737361025,0.014201883969645696,0.5716162109464415,0.6466712591247121,0.7985807387879752,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5337718918639855,,,,,,,
Ds,3.0,6.505000000000001,-0.24778748726389774,0.05094480430526306,12.90605444793097,0.805378367585238,-0.14918688383801118,-0.17529903096373756,2.5267484375747387,1.5223155326569349,0.004432904917804007,0.013499131921760669,0.5809524043797413,0.6556310780354154,0.8042075285834326,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.55049014897137,,,,,,,
Ds,3.0,6.590000000000001,-0.2552676222435822,0.05046309437195676,13.697023969130408,0.7902198214729376,-0.1564799814774276,-0.17962890923942254,2.4988154858756033,1.494489434240954,0.004326051634649047,0.012869974848611571,0.590127239971618,0.6643981767645398,0.8096771300185923,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5670995305986875,,,,,,,
Ds,3.0,6.675000000000001,-0.26262136274426123,0.04996643567576755,14.497557862737207,0.7747416505491715,-0.1636817346831854,-0.18387462642639818,2.472629268485814,1.4684031066082996,0.0042261618775143095,0.012303715071346808,0.5991412213059364,0.672974827191691,0.8149939342616892,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.583602136552763,,,,,,,
Ds,3.0,6.760000000000001,-0.26984836320995026,0.04945602426690088,15.30644467136343,0.7589943889808193,-0.17079018529498455,-0.18803654160997335,2.448040150725627,1.4439075287905923,0.004132621935034637,0.011791622700375617,0.6079950118540112,0.681363401061761,0.8201622098105616,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.6,,,,,,,
Ds,3.3,6.25,-0.2338269233874925,0.048607526092381816,11.492745257927341,0.7331742432782649,-0.14004539086537032,-0.16567641054215218,2.4950746785069584,1.490836935236483,0.004237743270475543,0.012992569612074678,0.5091273345247403,0.5895240662536934,0.7546775516837481,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5,,,,,,,
Ds,3.3,6.335,-0.2420051500421838,0.04816075141835248,12.310734523600456,0.7197582843235482,-0.14790877901049163,-0.17044843374998647,2.4638114367368047,1.4596923370278487,0.004119099708955844,0.012301835643842783,0.5186055473720597,0.5989048019920699,0.7609157775501079,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5169425897306437,,,,,,,
Ds,3.3,6.42,-0.25007502547890625,0.04769311306839011,13.145448047192472,0.7058485155737884,-0.1557049795840759,-0.17514447625878368,2.434611096107684,1.4306024393184504,0.004008656789233671,0.01168587860535334,0.5279490055113321,0.608111694913361,0.7669953735714339,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5337718918639855,,,,,,,
Ds,3.3,6.505000000000001,-0.25803484958395023,0.0472059419268164,13.995598628268393,0.6915020934367285,-0.16343064798969528,-0.17976413574207703,2.407284606114909,1.4033789655879303,0.003905640526978658,0.01113346555282127,0.5371570912294904,0.6171458364449652,0.7729203734951849,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.55049014897137,,,,,,,
Ds,3.3,6.590000000000001,-0.26588317264148187,0.04670051587529828,14.859919417507705,0.676773772264559,-0.17108273470265764,-0.18430713725060535,2.381665323094892,1.3778559530166359,0.0038093700782563847,0.010635494533278967,0.5462293706175698,0.6260084573262742,0.778694708495949,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5670995305986875,,,,,,,
Ds,3.3,6.675000000000001,-0.2736187786409411,0.04617806148575306,15.737166860498009,0.6617158829436673,-0.17865846814131847,-0.18877332384413012,2.357605783396026,1.3538865391746797,0.0037192442213459507,0.010184512990614424,0.5551655811929157,0.6347009153252277,0.7843222097837365,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.583602136552763,,,,,,,
Ds,3.3,6.760000000000001,-0.2812406695735491,0.045639755681076644,16.62612326906001,0.6463783259186542,-0.18615533845923402,-0.1931626478108122,2.3349750186331506,1.3313402885142138,0.0036347301189368422,0.009774361050983196,0.5639656202245439,0.6432246837654167,0.7898066111459467,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.6,,,,,,,
Ds,3.6,6.25,-0.24069704171574713,0.04575274497406097,12.17800799661038,0.6495827354533239,-0.15007566311775494,-0.16850411187012465,2.402343545944738,1.3985147903881767,0.003828755556561475,0.011141057736727657,0.47073162992282824,0.5549636975949654,0.7242011086338995,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5,,,,,,,
Ds,3.6,6.335,-0.249154743211447,0.045290697581044724,13.048874923815985,0.6365289834140754,-0.15820777412073792,-0.1734392071872618,2.373208066293732,1.3694882553865613,0.0037198109071705896,0.010568391072846975,0.4799567150877772,0.5642896100391218,0.7306367515836951,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5169425897306437,,,,,,,
Ds,3.6,6.42,-0.25751832307204425,0.044806034541028265,13.93962276100572,0.6229786773512495,-0.1662877254679376,-0.17830616058206453,2.345954652759085,1.3423363759002254,0.0036182768588596463,0.010054870995243607,0.48907018464351015,0.5734623631258808,0.736922221702947,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5337718918639855,,,,,,,
