M2,s0_root,s0,g1_GeV_inv,g1_stage2_GeV_inv,F1_integral,F1_delta_g1,width_keV,width_stage2_keV,pert,heavy_local,twist2,twist4_2p,twist3_2p,F1_delta_qcd
3.0,2.5,6.25,-0.3143879887429884,-0.3123740953170627,0.07032985001580344,0.0020138934259256976,20.7762250236028,20.51090260359699,-0.048918526285265516,-0.0041466589598807245,0.024017031452364623,0.005406360281539573,-4.411266838595554e-17,0.00015144361182419734
3.25,2.5,6.25,-0.31814548367249346,-0.31629730363853326,0.07032985001580344,0.001848180033960194,21.275818392474182,21.029344179611993,-0.05450850647552535,-0.004334326395267839,0.026189517571321052,0.005483085742983585,-4.597525957345841e-17,0.00015783809094115694
3.5,2.5,6.25,-0.3209827833460451,-0.3192657468638789,0.07032985001580344,0.0017170364821661754,21.656996529778628,21.425916261752185,-0.05984672741992181,-0.00450193358418762,0.028231351436704695,0.005546350832836178,-4.763423703316121e-17,0.00016353354187679592
3.75,2.5,6.25,-0.3231896655871893,-0.32157873533178094,0.07032985001580344,0.0016109302554083475,21.95582092952107,21.737490015396887,-0.06492748300655102,-0.0046524297180261485,0.030148629028690352,0.005599108299403945,-4.9120362949784607e-17,0.00016863557457338628
4.0,2.5,6.25,-0.3249493285602624,-0.32342584840426253,0.07032985001580344,0.0015234801559998363,22.19555645551445,21.987922713524398,-0.0697528649686363,-0.004788237257495481,0.03194856081122134,0.0056435491234853525,-5.04587080542506e-17,0.00017323025959026667
4.25,2.5,6.25,-0.3263821576416526,-0.32493188844603843,0.07032985001580344,0.0014502691956141726,22.391725831357252,22.193174036976323,-0.07432985965665337,-0.0049113575368091855,0.033638780665122256,0.005681325012335331,-5.1669850925499724e-17,0.00017738824543805758
4.5,2.5,6.25,-0.32756993550557467,-0.32618178387503105,0.07032985001580344,0.0013881516305436097,22.55499940976128,22.364240645107742,-0.07866838817867987,-0.005023454300872238,0.03522692621500384,0.005713699196906333,-5.277080579778854e-17,0.0001811679438425175
4.75,2.5,6.25,-0.3285698471944077,-0.32723501575893715,0.07032985001580344,0.001334831435470538,22.69290845930768,22.508900839259322,-0.08277999313184813,-0.005125919431852715,0.03672039202610826,0.005741650550806872,-5.377574046697624e-17,0.00018461799439528783
5.0,2.5,6.25,-0.32942290194456664,-0.3281343053116057,0.07032985001580344,0.001288596632960929,22.81089508018527,22.632786318511062,-0.08667696662595582,-0.005219924659722206,0.03812619247889306,0.00576594672882405,-5.469653377592446e-17,0.00018777917846220026
5.25,2.5,6.25,-0.3301591722180165,-0.3289110256125428,0.07032985001580344,0.0012481466054736715,22.912975126902094,22.740060383898154,-0.0903717788238598,-0.005306462362190647,0.03945089375176301,0.005787196368011218,-5.554321086150873e-17,0.00019068591343383688
