scenario,ensemble,observable,median,p16,p84,mean,std,value_Gamma2460_keV,value_Gamma2536_keV,min,max
legacy_chi_condensate,central,central,,,,,,37.182160522420766,6.039376705926203,,
legacy_chi_condensate,theta_fixed,Gamma2460_keV,36.652967258756135,26.748203361487914,50.174186364239084,38.18004643332249,12.459789053826018,,,11.529918488649132,84.13759703207073
legacy_chi_condensate,theta_fixed,Gamma2536_keV,5.595130787479862,2.5579186968992955,10.9706358696619,6.864504562346477,5.042563148657878,,,0.2831072631778915,39.59049408390206
legacy_chi_condensate,theta_fixed,G2460,-0.4182200595929477,-0.4892288145873651,-0.3566507277167347,-0.4205007908652595,0.0694783494134296,,,-0.6335962515676934,-0.23395503494140024
legacy_chi_condensate,theta_fixed,G2536,-0.13427721400481663,-0.18806876635033581,-0.09080291781023385,-0.13987573462277275,0.050605555794703716,,,-0.35712381116639585,-0.03020743182144707
legacy_chi_condensate,theta_scan_25_45,Gamma2460_keV,36.326860860438714,24.82184240810623,50.236334674770085,37.44200854935746,12.64609391169169,,,8.769033203046847,84.37159052662054
legacy_chi_condensate,theta_scan_25_45,Gamma2536_keV,5.736748049029198,1.8597142400969677,12.873391429065657,7.423790621282233,6.267992894909292,,,0.0032708171805067455,43.93069608693991
legacy_chi_condensate,theta_scan_25_45,G2460,-0.4160429895250902,-0.4890073262496526,-0.34381150690900875,-0.4159740604056448,0.07151085469962859,,,-0.6324084775627569,-0.20395039365984385
legacy_chi_condensate,theta_scan_25_45,G2536,-0.13596403183085942,-0.20368463381677282,-0.07739018023857804,-0.14105657287597467,0.0635114984408113,,,-0.3763298179002603,0.009619921570008752
lattice_fperp_s,central,central,,,,,,15.023904219438883,0.7757994346903955,,
lattice_fperp_s,theta_fixed,Gamma2460_keV,14.428589525625881,11.442276385663211,18.767184647391158,14.9134563461322,3.691548790901498,,,6.114490090943256,28.439369842124215
lattice_fperp_s,theta_fixed,Gamma2536_keV,0.6805314267851519,0.12380729659600337,1.8788942984036083,0.9716893813841245,0.9659407229176485,,,0.000181352233750046,5.45495944232254
lattice_fperp_s,theta_fixed,G2460,-0.26213013893393167,-0.29840763184300806,-0.23289820302859007,-0.2643345236305562,0.03284210270756023,,,-0.3679743324307556,-0.17064203415325208
lattice_fperp_s,theta_fixed,G2536,-0.046826176315592355,-0.07780046101750117,-0.019970665269722566,-0.04860574878154913,0.027753826062300566,,,-0.13256460600684408,0.019115756817209367
lattice_fperp_s,theta_scan_25_45,Gamma2460_keV,14.614649837349653,11.264670604890968,18.611246266470754,14.94185761325824,3.7669891218410245,,,7.236862927247459,30.754116437691163
lattice_fperp_s,theta_scan_25_45,Gamma2536_keV,0.6449067104479356,0.06016189902031342,2.5022913999634566,1.2110890018548657,1.4461953535048149,,,5.464444641890766e-07,11.150668119135426
lattice_fperp_s,theta_scan_25_45,G2460,-0.2635997974618002,-0.29745038868904716,-0.23160538334577674,-0.2645282421533426,0.03339471772477685,,,-0.38220730433197037,-0.18532864301712965
lattice_fperp_s,theta_scan_25_45,G2536,-0.04548631259635906,-0.08980436491047172,-0.010098077307785627,-0.048978415561482795,0.03882079226729004,,,-0.18960385911636538,0.056658387250219676
