state_key,scenario,ensemble,quantity,kind,spearman_abs,spearman,pearson_logGamma,n
Bs1_5830,legacy_chi_condensate,theta_fixed,fV_Bsstar_GeV,input,0.38329623846865224,-0.38329623846865224,-0.32763200078597915,406
Bs1_5830,legacy_chi_condensate,theta_fixed,fperp_s_used_GeV,photon input,0.20102063550339414,-0.20102063550339414,-0.15719900373814014,406
Bs1_5830,legacy_chi_condensate,theta_fixed,gB_soft,derived amplitude,0.16859788583926513,-0.16859788583926513,-0.126270283665634,406
Bs1_5830,legacy_chi_condensate,theta_fixed,gB_total,derived amplitude,0.1609840023633127,-0.1609840023633127,-0.12159294028789394,406
Bs1_5830,legacy_chi_condensate,theta_fixed,chi_effective,photon input,0.14146443801616215,0.14146443801616215,0.10683070892880724,406
Bs1_5830,legacy_chi_condensate,theta_fixed,gA_star,derived amplitude,0.13878679395920776,-0.13878679395920776,-0.11862271789995128,406
Bs1_5830,legacy_chi_condensate,theta_fixed,gB_hard,derived amplitude,0.12346793726104072,0.12346793726104072,0.0783059981463152,406
Bs1_5830,legacy_chi_condensate,theta_fixed,s0,input,0.11537870158559813,0.11537870158559813,0.084568864143346,406
Bs1_5830,legacy_chi_condensate,theta_fixed,omegaV,photon shape,0.07532915808777878,0.07532915808777878,0.0757362925584887,406
Bs1_5830,legacy_chi_condensate,theta_fixed,omegaA,photon shape,0.030536492605458126,0.030536492605458126,0.049221623087301346,406
Bs1_5830,legacy_chi_condensate,theta_fixed,M2,input,0.023365864745175092,-0.023365864745175092,-0.019234138811230025,406
