sector,state,scenario,M2,s0,theta_deg,GA_basis,GB_basis,f1_GeV,f2_GeV,rho_AB,f1_target_clipped,g_2460,g_2536,Gamma_2460_keV,Gamma_2536_keV,chi_effective,g1_abs,g2_abs,scan,fixed_s0,fixed_M2,quoted_combo,g_low,g_high,g_quoted,Gamma_low_keV,Gamma_high_keV,Gamma_quoted_keV,g_quoted_abs
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.0,7.84,35.3,-0.25251065477718443,-0.23390302540933727,0.345,0.3807805629715229,-0.4081864418895571,0,-0.350768102010486,0.04220023986843288,25.862763907079355,0.552624331692266,4.980468750000001,0.350768102010486,0.04220023986843288,M2,7.84,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.05,7.84,35.3,-0.2564227593207996,-0.23544860207924848,0.345,0.3807805629715229,-0.4081864418895571,0,-0.35393141701467934,0.04139712890107181,26.331341121247714,0.5317905394692309,4.980468750000001,0.35393141701467934,0.04139712890107181,M2,7.84,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.1,7.84,35.3,-0.26017912600011317,-0.23693518149122936,0.345,0.3807805629715229,-0.4081864418895571,0,-0.35697156868371316,0.040627763440391755,26.785638612342026,0.5122075712900122,4.980468750000001,0.35697156868371316,0.040627763440391755,M2,7.84,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.15,7.84,35.3,-0.2637896379324498,-0.23836652498456587,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3598963919452946,0.03989001417939109,27.226369561141777,0.4937743716731463,4.980468750000001,0.3598963919452946,0.03989001417939109,M2,7.84,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.2,7.84,35.3,-0.26726332959808363,-0.23974606198816376,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3627130391995586,0.039181928385888326,27.654199168673465,0.47640002619065497,4.980468750000001,0.3627130391995586,0.039181928385888326,M2,7.84,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.25,7.84,35.3,-0.2706084767917963,-0.24107692636095063,0.345,0.3807805629715229,-0.4081864418895571,0,-0.36542805393083405,0.038501711999229894,28.069748398236104,0.46000255702782405,4.980468750000001,0.36542805393083405,0.038501711999229894,M2,7.84,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.3,7.84,35.3,-0.27383267541649997,-0.24236198808644774,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3680474350374897,0.03784771385102901,28.473597429680826,0.44450788251254747,4.980468750000001,0.3680474350374897,0.03784771385102901,M2,7.84,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.35,7.84,35.3,-0.27694291068664073,-0.24360388099137137,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3705766932026892,0.037218411723499135,28.86628883918818,0.4298489155974232,4.980468750000001,0.3705766932026892,0.037218411723499135,M2,7.84,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.4,7.84,35.3,-0.2799456180648674,-0.24480502705149443,0.345,0.3807805629715229,-0.4081864418895571,0,-0.37302090042031893,0.03661240000197451,29.24833052039627,0.4159647804850272,4.980468750000001,0.37302090042031893,0.03661240000197451,M2,7.84,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.45,7.84,35.3,-0.2828467370527925,-0.245967657759836,0.345,0.3807805629715229,-0.4081864418895571,0,-0.37538473361763547,0.03602837871413796,29.620198364023178,0.40280013002372944,4.980468750000001,0.37538473361763547,0.03602837871413796,M2,7.84,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.5,7.84,35.3,-0.28565175878793714,-0.24709383295912257,0.345,0.3807805629715229,-0.4081864418895571,0,-0.37767251317267925,0.03546514377858557,29.982338713520214,0.3903045493203098,4.980468750000001,0.37767251317267925,0.03546514377858557,M2,7.84,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.55,7.84,35.3,-0.28836576825797927,-0.24818545747958973,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3798882370048522,0.03492157831066652,30.33517061407921,0.3784320333361859,4.980468750000001,0.3798882370048522,0.03492157831066652,M2,7.84,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.6,7.84,35.3,-0.29099348182530094,-0.24924429587238572,0.345,0.3807805629715229,-0.4081864418895571,0,-0.38203561081701704,0.03439664485488396,30.67908787171705,0.3671405281514812,4.980468750000001,0.38203561081701704,0.03439664485488396,M2,7.84,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.65,7.84,35.3,-0.2935392806555459,-0.2502719854862717,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3841180749835442,0.03388937843118207,31.01446093831807,0.35639152717055994,4.980468750000001,0.3841180749835442,0.03388937843118207,M2,7.84,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.7,7.84,35.3,-0.2960072405601733,-0.2512700480995727,0.345,0.3807805629715229,-0.4081864418895571,0,-0.38613882850812264,0.03339888029776559,31.3416386375369,0.3461497148653292,4.980468750000001,0.38613882850812264,0.03339888029776559,M2,7.84,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.75,7.84,35.3,-0.2984011586922436,-0.25223990028921667,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3881008504155743,0.03292431234610414,31.660949745424922,0.3363826517559882,4.980468750000001,0.3881008504155743,0.03292431234610414,M2,7.84,,,,,,,,,
