sector,state,scenario,M2,s0,theta_deg,GA_basis,GB_basis,f1_GeV,f2_GeV,rho_AB,f1_target_clipped,g_2460,g_2536,Gamma_2460_keV,Gamma_2536_keV,chi_effective
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.0,8.1225,35.3,-0.12213877526751232,-0.18458636934885272,0.345,0.3807805629715229,-0.4081864418895571,0,-0.24774311355660755,0.07049943032708429,12.901432437270639,1.542308950758669,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.1666666666666665,8.1225,35.3,-0.16113642374573522,-0.200034903244055,0.345,0.3807805629715229,-0.4081864418895571,0,-0.2793218558596718,0.0625227582672388,16.40002792220502,1.2130436313283275,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.3333333333333335,8.1225,35.3,-0.19196038836377863,-0.21223689534318774,0.345,0.3807805629715229,-0.4081864418895571,0,-0.30427245744083964,0.05621190984912478,19.460770622052085,0.9805208788867654,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.5,8.1225,35.3,-0.21706492092190408,-0.22219807357534083,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3246188822899056,0.05108837127716959,22.150437361860845,0.8099240187790174,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.6666666666666665,8.1225,35.3,-0.23800620132091443,-0.23054416806105066,0.345,0.3807805629715229,-0.4081864418895571,0,-0.341631387345535,0.04684033270925441,24.53297853626508,0.6808322291133909,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.833333333333333,8.1225,35.3,-0.25581538141923577,-0.23768298940364357,0.345,0.3807805629715229,-0.4081864418895571,0,-0.35614422610009305,0.04325641016740833,26.66162190871371,0.5806321949975595,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.0,8.1225,35.3,-0.2712019012442614,-0.24389120593209623,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3687271000707988,0.040188430053006215,28.57885765228013,0.5011898250982686,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.1666666666666665,8.1225,35.3,-0.28466993114428424,-0.24936319098655332,0.345,0.3807805629715229,-0.4081864418895571,0,-0.37978242125827244,0.037529518507146184,30.318273583014463,0.4370651198314131,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.333333333333333,8.1225,35.3,-0.2965879762398902,-0.254239741593321,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3896029269086053,0.03520066742133305,31.906500349922027,0.38450497167799724,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.5,8.1225,35.3,-0.30723206740968245,-0.25862562072202605,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3984071265641164,0.033142203297895606,33.36483229952031,0.34084970122848923,4.980468750000001
