sector,state,scenario,ensemble,window_id,n,g_median_GeV_inv,g_p16_GeV_inv,g_p84_GeV_inv,Gamma_median_keV,Gamma_p16_keV,Gamma_p84_keV,f1_median_GeV,f1_p16_GeV,f1_p84_GeV,f2_median_GeV,f2_p16_GeV,f2_p84_GeV
Bs,B_{s1}(5750),lattice_fperp_s,theta_fixed,central_10_14,397,0.382690809143109,0.338345934459113,0.45169684702920826,18.400200326894748,13.5173500320946,26.53105346990519,0.4347582124218038,0.37531671695372093,0.48477347077162175,0.22022328826114598,0.13633249806339823,0.28626562048366727
Bs,B_{s1}(5750),lattice_fperp_s,theta_fixed,crosscheck_9_13,423,0.4006909548550071,0.3556431614154414,0.47500573148524433,20.055907164088076,14.565677902116377,28.657631645934135,0.4339724568063967,0.37721246801225733,0.48163341310891894,0.221887673659576,0.1386025048847781,0.2901356599678306
Bs,B_{s1}(5750),lattice_fperp_s,theta_scan_25_45,central_10_14,338,0.3945055931132633,0.350523948618944,0.4620207967924939,19.338225019310798,14.14499880340954,27.259504319820127,0.4163271189096083,0.36212267507187285,0.4644753008301339,0.24497882708478405,0.18718162427052315,0.304797117769404
Bs,B_{s1}(5750),lattice_fperp_s,theta_scan_25_45,crosscheck_9_13,336,0.41156590876451693,0.35986969790866014,0.47707860246319206,21.1397856088539,14.757979217574173,31.86329289859089,0.4239405779390931,0.3708125774622998,0.4718197520979859,0.24763370891450012,0.1612942592098726,0.31068192986145626
Bs,B_{s1}(5750),legacy_chi_condensate,theta_fixed,central_10_14,392,0.2696671132861562,0.22288900206042206,0.3407431044093807,9.030837456562605,5.78074694385134,14.53948498427873,0.4314345923744311,0.36836190393538776,0.4814633770658026,0.2208757525817281,0.13714019182876372,0.29573936685855357
Bs,B_{s1}(5750),legacy_chi_condensate,theta_fixed,crosscheck_9_13,391,0.28271177649607815,0.23282681550838016,0.36089551873144093,10.062394342154244,6.387792448739976,16.458614232027887,0.4371425591503395,0.3777503781193153,0.48344148095287354,0.21887859517508162,0.13376667644862406,0.2889205820693386
Bs,B_{s1}(5750),legacy_chi_condensate,theta_scan_25_45,central_10_14,351,0.28196728290326584,0.23083279571060167,0.3485471599813595,10.006296995793193,6.2251660354906475,17.002203690296746,0.41496823547362716,0.35980664892473674,0.47104726344162057,0.2542109032850452,0.18238951565770642,0.3079106586888707
Bs,B_{s1}(5750),legacy_chi_condensate,theta_scan_25_45,crosscheck_9_13,347,0.29423674036647507,0.24141045782319498,0.3759736467548769,10.844654704534474,6.463550771342474,17.582484052053616,0.4149335451155658,0.36215416906897235,0.46544178109524964,0.2555706388600275,0.1712421872238596,0.3080010363561308
Bs,B_{s1}(5830),lattice_fperp_s,theta_fixed,central_10_14,384,-0.03831781885372657,-0.06348152870211203,-0.02729678260145218,0.31147204561619507,0.15830604982349764,0.8545093597459917,0.4434048865519698,0.3871385200978208,0.4965811911003774,0.21466911269312,0.12613467660676655,0.2858682987460527
Bs,B_{s1}(5830),lattice_fperp_s,theta_fixed,crosscheck_9_13,390,-0.03529559929347241,-0.06103382156546413,-0.025329905586884492,0.2642938109237978,0.13589028673429998,0.7903414163414889,0.43604541403587904,0.37278030974827864,0.47963141260346565,0.22573637073120534,0.14146095826026708,0.30292457393025213
Bs,B_{s1}(5830),lattice_fperp_s,theta_scan_25_45,central_10_14,330,0.010541106831749192,-0.0792456358257183,0.0603784474289509,0.5039244759797773,0.05670610807751712,1.6765176371888735,0.4259448156474014,0.36973526072662943,0.47188077570620957,0.24687137178583413,0.17181036161247515,0.3096042999743706
Bs,B_{s1}(5830),lattice_fperp_s,theta_scan_25_45,crosscheck_9_13,335,0.014483540754902116,-0.07253222989438941,0.06640921551952303,0.5236597867321866,0.04482100862446077,1.6768065105765249,0.42377590582695207,0.36929783680826217,0.47884020772271824,0.25038392709497465,0.16343208441430332,0.31413212009156494
Bs,B_{s1}(5830),legacy_chi_condensate,theta_fixed,central_10_14,389,-0.07683034245471848,-0.14102340810788383,-0.0544636612474617,1.250624600386991,0.6284413349279863,4.229434421639344,0.4390838373710301,0.3731903257040291,0.49230288175856163,0.21501452510958582,0.1256706424766343,0.2965361485582689
Bs,B_{s1}(5830),legacy_chi_condensate,theta_fixed,crosscheck_9_13,396,-0.0800413599010712,-0.13716392761631793,-0.05559034337379883,1.3594766985734297,0.6562081490235178,3.988975378404683,0.43863837110086773,0.38092966435398984,0.48819394666068233,0.21538358064304644,0.13875640510820483,0.29314455218193497
Bs,B_{s1}(5830),legacy_chi_condensate,theta_scan_25_45,central_10_14,340,-0.036405723488436625,-0.09977542004964968,0.005393148555955755,0.3749495130585329,0.033834270973958004,2.1134048209329155,0.43202821738034236,0.3733459035990212,0.48212280332559615,0.24635839669591572,0.17086431152865744,0.3056033624353335
Bs,B_{s1}(5830),legacy_chi_condensate,theta_scan_25_45,crosscheck_9_13,330,-0.045025965778469644,-0.11297548476228379,0.006641415180644475,0.5194159348451857,0.03979057595914179,2.7092153381778985,0.43233019443086246,0.3682239051721338,0.4843611711089189,0.24578004495235706,0.1615576254148176,0.31003561227485166
Ds,D_{s1}(2460),lattice_fperp_s,theta_fixed,central,500,-0.39758203712374807,-0.4455036830513601,-0.3600350923191549,33.259897085171175,27.217574934708765,41.579181005915615,0.3429979589381442,0.3274329234174433,0.3621908411677446,0.3820940964649885,0.3358339383391195,0.42465879763860476
Ds,D_{s1}(2460),lattice_fperp_s,theta_scan_25_45,central,500,-0.39432420398859425,-0.4329873158495361,-0.3557057175865423,32.654795873911326,26.48243384414485,39.37220602308342,0.34530912841527384,0.32937456853348035,0.3608620335608761,0.38029592856994215,0.337636225244063,0.4215588017528351
Ds,D_{s1}(2460),legacy_chi_condensate,theta_fixed,central,500,-0.5727272954408876,-0.6420900508746991,-0.4888443887092176,68.96839801633189,50.22474176055947,86.55490730801522,0.3454967267505806,0.32924334532773425,0.3616172655107053,0.38280625196061263,0.3415994694852073,0.42231171943603407
Ds,D_{s1}(2460),legacy_chi_condensate,theta_scan_25_45,central,500,-0.5549135961036797,-0.6295848464119602,-0.4778159176213833,64.83628731456061,48.004164832390735,83.18948210039225,0.34667985468773616,0.3286007134055058,0.36323131098795514,0.3822222503606927,0.3389973280417627,0.4249822019576845
Ds,D_{s1}(2536),lattice_fperp_s,theta_fixed,central,500,0.0321821350648132,0.02076371336041738,0.0442908120575761,0.32141286293746274,0.13387012006925797,0.608480409537362,0.3429979589381442,0.3274329234174433,0.3621908411677446,0.3820940964649885,0.3358339383391195,0.42465879763860476
Ds,D_{s1}(2536),lattice_fperp_s,theta_scan_25_45,central,500,0.03288411310414322,-0.01034759347006356,0.07554233687232086,0.42548694579017066,0.035465664896399476,1.7771102196892965,0.34530912841527384,0.32937456853348035,0.3608620335608761,0.38029592856994215,0.337636225244063,0.4215588017528351
Ds,D_{s1}(2536),legacy_chi_condensate,theta_fixed,central,500,0.0005536980268498585,-0.014131815826087014,0.015109150091117055,0.03177567750619564,0.0020435648708595684,0.12784127560806707,0.3454967267505806,0.32924334532773425,0.3616172655107053,0.38280625196061263,0.3415994694852073,0.42231171943603407
Ds,D_{s1}(2536),legacy_chi_condensate,theta_scan_25_45,central,500,0.003077805327457207,-0.06355444257503896,0.05888815266075247,0.6399045423156576,0.0507160657790069,1.7747408855983093,0.34667985468773616,0.3286007134055058,0.36323131098795514,0.3822222503606927,0.3389973280417627,0.4249822019576845
