input_set,M2,s0_root,s0,g1_GeV_inv,width_keV,qcd_side,pert,heavy_local,twist2,twist4_2p,twist3_2p
project_inputs_chi_positive_stage1,3.0,2.5,6.25,-0.3143879887429884,20.7762250236028,-0.023641793511242088,-0.048918526285265516,-0.0041466589598807245,0.024017031452364623,0.005406360281539573,-4.411266838595554e-17
project_inputs_chi_positive_stage1,3.25,2.5,6.25,-0.31814548367249346,21.275818392474182,-0.027170229556488606,-0.05450850647552535,-0.004334326395267839,0.026189517571321052,0.005483085742983585,-4.597525957345841e-17
project_inputs_chi_positive_stage1,3.5,2.5,6.25,-0.3209827833460451,21.656996529778628,-0.0305709587345686,-0.05984672741992181,-0.00450193358418762,0.028231351436704695,0.005546350832836178,-4.763423703316121e-17
project_inputs_chi_positive_stage1,3.75,2.5,6.25,-0.3231896655871893,21.95582092952107,-0.03383217539648292,-0.06492748300655102,-0.0046524297180261485,0.030148629028690352,0.005599108299403945,-4.9120362949784607e-17
project_inputs_chi_positive_stage1,4.0,2.5,6.25,-0.3249493285602624,22.19555645551445,-0.036948992291425134,-0.0697528649686363,-0.004788237257495481,0.03194856081122134,0.0056435491234853525,-5.04587080542506e-17
project_inputs_chi_positive_stage1,4.25,2.5,6.25,-0.3263821576416526,22.391725831357252,-0.03992111151600502,-0.07432985965665337,-0.0049113575368091855,0.033638780665122256,0.005681325012335331,-5.1669850925499724e-17
project_inputs_chi_positive_stage1,4.5,2.5,6.25,-0.32756993550557467,22.55499940976128,-0.04275121706764199,-0.07866838817867987,-0.005023454300872238,0.03522692621500384,0.005713699196906333,-5.277080579778854e-17
project_inputs_chi_positive_stage1,4.75,2.5,6.25,-0.3285698471944077,22.69290845930768,-0.04544386998678576,-0.08277999313184813,-0.005125919431852715,0.03672039202610826,0.005741650550806872,-5.377574046697624e-17
project_inputs_chi_positive_stage1,5.0,2.5,6.25,-0.32942290194456664,22.81089508018527,-0.048004752077960976,-0.08667696662595582,-0.005219924659722206,0.03812619247889306,0.00576594672882405,-5.469653377592446e-17
project_inputs_chi_positive_stage1,5.25,2.5,6.25,-0.3301591722180165,22.912975126902094,-0.05044015106627628,-0.0903717788238598,-0.005306462362190647,0.03945089375176301,0.005787196368011218,-5.554321086150873e-17
