scenario,ensemble,n,A2460_median,A2460_p16,A2460_p84,B2460_median,B2460_p16,B2460_p84,G2460_median,G2460_p16,G2460_p84,A2536_median,A2536_p16,A2536_p84,B2536_median,B2536_p16,B2536_p84,G2536_median,G2536_p16,G2536_p84,abs_ratio_G2460_over_G2536_median,abs_ratio_G2460_over_G2536_p16,abs_ratio_G2460_over_G2536_p84
legacy_chi_condensate,theta_fixed,500,-0.13526230046099913,-0.15830189364492997,-0.11035963761802182,-0.2866715252161304,-0.3259198668749995,-0.25017777626216103,-0.4235030726156447,-0.48435935745934094,-0.3595635800429341,-0.17415268216845492,-0.2078922210479965,-0.14021455443043473,0.18410549452059807,0.1583834432187065,0.21582983338312595,0.011837457122327678,0.001428063333982294,0.02332665244335477,36.14446594550515,15.849715241580853,118.95513380431993
legacy_chi_condensate,theta_scan_25_45,500,-0.12974667171267407,-0.16252827090623476,-0.10005887919807464,-0.2884712276030545,-0.33159175757726694,-0.24269536907592398,-0.42451251503534454,-0.47852916614502744,-0.3535632589751618,-0.1750429544459572,-0.21335464772407142,-0.13682208792373327,0.18276832198751614,0.14518863320031444,0.22625521907445623,0.012538066947367837,-0.036792611416110226,0.054732338773938814,12.626670340880056,6.864120227181202,39.06175261750653
lattice_fperp_s,theta_fixed,500,-0.07153957607700087,-0.08942422347056447,-0.05509509653926105,-0.20448805338081122,-0.2286284285888371,-0.1808234111248617,-0.27679735000086286,-0.3121083248395458,-0.24289500571269973,-0.09174559397845289,-0.11710773888104903,-0.0725265823010688,0.1318041458299232,0.11718908743805491,0.1480266392507611,0.0402947454171344,0.01944584511745683,0.0596469167193409,6.891514180397916,4.424132205969243,14.835221049291343
lattice_fperp_s,theta_scan_25_45,500,-0.07109266170294698,-0.09195118834216735,-0.05277418783767566,-0.20230221701147816,-0.23471609748361558,-0.1744052878565997,-0.27453835785733033,-0.31498799069348665,-0.24081850825374485,-0.09425629454282611,-0.11689866663176536,-0.07161220849927893,0.13308317338759568,0.10862216979745645,0.15657085725430203,0.03935680338947177,0.005238378326607895,0.07146667999656585,6.82930514161184,3.7107455137692886,27.484244146611633
