normalization,channel,observable,median,mean,std,q16,q84,min,max
projector_diagnostic,Bc1(6743)->Bc* gamma,g1_GeV_inv,-0.045345117187883116,-0.04550868582700837,0.003001747134166555,-0.04865453385868462,-0.04250002804447183,-0.05369261349431892,-0.03715973864811367
projector_diagnostic,Bc1(6743)->Bc* gamma,Gamma1_keV,24.760627808400336,25.047976545576194,3.3106689783209027,21.750987964865796,28.50671625696442,16.62822351024918,34.71599678019546
projector_diagnostic,Bc1(6750)->Bc* gamma,g2_GeV_inv,0.09698693113579321,0.0971301610770396,0.006636019388159422,0.09030592722205281,0.103794256265715,0.07973912654548193,0.11677471304838113
projector_diagnostic,Bc1(6750)->Bc* gamma,Gamma2_keV,119.88535220598695,120.80039298719844,16.544977725005552,103.93748818915452,137.30499864081747,81.03686585063508,173.7950110030314
reference_f_Bcstar_0p384,Bc1(6743)->Bc* gamma,g1_GeV_inv,-0.08771200028712953,-0.08884174407895312,0.009740100950184235,-0.09856709981375741,-0.0794921046323017,-0.13225966594239974,-0.06458564684808554
reference_f_Bcstar_0p384,Bc1(6743)->Bc* gamma,Gamma1_keV,92.64427400133607,96.18746993889383,21.572050379103334,76.09367231383293,116.99424751191205,50.23108728900458,210.64705641699908
reference_f_Bcstar_0p384,Bc1(6750)->Bc* gamma,g2_GeV_inv,0.1873046445037419,0.18959317284096605,0.020862996028582135,0.16912198660828928,0.2103895070871371,0.13754230343077103,0.2822988758237677
reference_f_Bcstar_0p384,Bc1(6750)->Bc* gamma,Gamma2_keV,447.1330967751557,463.6680424363571,104.49681689837496,364.53550477581456,564.1414606554304,241.10836291176543,1015.682536218779
standard_vector_invariant,Bc1(6743)->Bc* gamma,g1_GeV_inv,-0.07854004684457833,-0.07882335603806816,0.005199178547850744,-0.08427212466182198,-0.07361220789612738,-0.09299833456331867,-0.06436255533451371
standard_vector_invariant,Bc1(6743)->Bc* gamma,Gamma1_keV,74.281883425201,75.14392963672859,9.93200693496271,65.25296389459741,85.52014877089324,49.88467053074755,104.14799034058638
standard_vector_invariant,Bc1(6750)->Bc* gamma,g2_GeV_inv,0.16798629239737772,0.16823437393278157,0.011493922740304256,0.15641445417321284,0.17977692538604265,0.1381122185279389,0.2022597360390725
standard_vector_invariant,Bc1(6750)->Bc* gamma,Gamma2_keV,359.65605661796087,362.4011789615953,49.63493317501667,311.8124645674635,411.9149959224523,243.1105975519053,521.3850330090943
