topology,class,current,object,eff,support,sector,borel_activity,delta_external
bbar_photon,single_line_G2,B,b_after_photon,"(1, 0, 4)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,A,"c_spectator,b_before_photon","(2, 0, 1)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,A,"c_spectator,b_before_photon","(2, 0, 1)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,A,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,A,"c_spectator,b_after_photon","(1, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,A,"c_spectator,b_after_photon","(2, -1, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,A,"c_spectator,b_after_photon","(2, 0, 1)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,A,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,A,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,A,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,A,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,A,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,A,"c_spectator,b_after_photon","(2, -1, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,A,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,A,"b_before_photon,b_after_photon","(1, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_before_photon","(2, 0, 1)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_before_photon","(2, 0, 1)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_before_photon","(2, 0, 1)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_before_photon","(2, 0, 1)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(1, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, -1, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, 0, 1)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(1, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, -1, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, 0, 1)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(1, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, -1, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, 0, 1)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(1, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, -1, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, 0, 1)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"c_spectator,b_after_photon","(2, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"b_before_photon,b_after_photon","(1, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"b_before_photon,b_after_photon","(1, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"b_before_photon,b_after_photon","(1, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,open_pair_GG,B,"b_before_photon,b_after_photon","(1, 0, 2)","{1,3}",contact_or_derivative,double_borel_active,t1*t3*(-P2 + 2*p2)/(t1 + t3)
