topology,class,current,object,num_d1,num_d2,num_d3,eff_n1,eff_n2,eff_n3,coefficient
"c_photon","single_line_G2","A","c_after_photon",0,0,0,4,1,1,"(-4*I)*mc^3"
"c_photon","single_line_G2","A","c_after_photon",1,1,0,3,0,1,"((-I)*mb*mc^2)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",0,2,0,4,-1,1,"(I*mb*mc^2)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",1,0,1,3,1,0,"(I*mb*mc^2)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",0,1,1,4,0,0,"((-I)*mb*mc^2)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",1,0,0,3,1,1,"(I*mb^3*mc^2)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",0,1,0,4,0,1,"((-I)*mb^3*mc^2)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",1,1,0,3,0,1,"(I*mc^3)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",0,2,0,4,-1,1,"((-I)*mc^3)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",1,0,1,3,1,0,"((-I)*mc^3)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",0,1,1,4,0,0,"(I*mc^3)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",1,0,0,3,1,1,"((-I)*mb^2*mc^3)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",0,1,0,4,0,1,"(I*mb^2*mc^3)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",1,0,0,3,1,1,"((-I)*mb*mc^4)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",0,1,0,4,0,1,"(I*mb*mc^4)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",1,0,0,3,1,1,"(I*mc^5)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",0,1,0,4,0,1,"((-I)*mc^5)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",2,0,0,2,1,1,"(I*mc*p2)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",1,1,0,3,0,1,"((-I)*mc*p2)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",1,0,0,3,1,1,"((-I)*mb*mc^2*p2)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",0,1,0,4,0,1,"(I*mb*mc^2*p2)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",1,0,0,3,1,1,"(I*mc^3*p2)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",0,1,0,4,0,1,"((-I)*mc^3*p2)/pq^2"
"c_photon","single_line_G2","A","c_after_photon",1,1,0,3,0,1,"((-4*I)*mc)/pq"
