index,mb,mc,M2,s0,theta_deg,f_Bc_GeV,Pi_AA,Pi_AB,Pi_BB,Pi_1,Pi_2,f1_GeV,f2_GeV,int_A,int_B,g1_GeV_inv,g2_GeV_inv,Gamma1_keV,Gamma2_keV
1,4.169934928266364,1.2862350560741322,8.066551949397102,54.33027310977668,43.237515648758766,0.4392267260567307,0.049301623213135574,-0.035574418755538226,0.04491885139856476,0.011468387718756079,0.08275208689294426,0.26599498824268053,0.7184603563524925,-0.0084055944600827,0.008793846077073926,0.02305245275623095,-0.15291849920102293,0.11925253142298399,5.511725517510726
2,4.16656189554838,1.2868810886549662,8.27305093167209,53.86873040536713,43.21990885292092,0.3298177879665451,0.05576679885664147,-0.040209171728660405,0.050763411040068214,0.01297818444658825,0.09355202545012144,0.26374138199377056,0.7118957988566889,-0.009458620083058812,0.009882932766959725,0.027681821417414675,-0.20260776407170555,0.17195810504463271,9.675639865564058
3,4.1885931838950805,1.2729899649802454,8.249621861289215,53.45818739695952,43.23284165086486,0.33949087874262535,0.05337405343377262,-0.038812484539927514,0.048579638647475124,0.012090401622962342,0.0898632904582854,0.2565553152435581,0.7031992268564196,-0.009172129284127594,0.009785940775016051,0.03369034652895278,-0.1984116048792498,0.25470899456205964,9.279010529652501
4,4.203487867089468,1.2636175860374115,8.79863677206182,53.8622530432869,43.41413957597227,0.4192860800306988,0.07412201714993379,-0.05426139444291921,0.06810838021748482,0.016770558799182572,0.125459838568236,0.2544227611137424,0.6993326836505798,-0.01220547316436338,0.013233628517762,0.031527180360502706,-0.15729129586474652,0.22305069870479358,5.8314547295811
5,4.195567564200534,1.2575582303769262,8.713776016329376,54.4785442614515,43.53644161505293,0.34521910831624614,0.07394167477757861,-0.05424607116862532,0.06839422010912743,0.01685100901199265,0.1254848858747134,0.26153106206159044,0.7172676549566194,-0.011973209799592929,0.013036999821302535,0.0380870872116547,-0.19146721702806221,0.32552837195156675,8.640848233988548
6,4.197273744496156,1.2523324621910568,7.572836423209286,54.49931642971247,43.36152916335492,0.394890708409365,0.03543301487934925,-0.026024565900049326,0.032452896822891,0.007875767544867813,0.060010144157372436,0.26489057949162764,0.7355512269683113,-0.006211028421369578,0.006771701881749709,0.035115381018651755,-0.17649515447996122,0.2767120651717483,7.342316493856308
7,4.197161632560111,1.273747782271725,8.589228517475071,54.68940921059569,43.42109510768607,0.36121807876601275,0.06718828670045615,-0.04894694244319416,0.06178747615505296,0.015466504833719613,0.11350925802178949,0.2602173917610976,0.7085493344189991,-0.011022830671494932,0.011802470882954826,0.03107470448189081,-0.18209269734143851,0.21669422628750257,7.81542475102662
8,4.180543579086442,1.256255135709865,7.109622049589525,53.94815411489935,43.19489398094591,0.3412903272331333,0.02487709016956454,-0.01818752737695457,0.022582056707760242,0.005505881531280609,0.041953265346044176,0.269326105646813,0.7482213643319386,-0.004565696174019973,0.004923276193280105,0.04070275796291276,-0.21094892223860098,0.37177570024346757,10.488711726060505
9,4.167920136801314,1.2511760128180354,7.354759063552665,54.48369261173243,43.36038216672229,0.3594442770953311,0.03176755594839999,-0.023259902292103212,0.029102155646001802,0.007136805571244343,0.05373290602315746,0.2756325032923246,0.7609760105519832,-0.005605240725974694,0.006062979328100628,0.037940564861137435,-0.19780807884708645,0.3230285517057412,9.22264681831365
10,4.18649915167269,1.2648777040438635,7.754962404528644,54.492826956692,43.32489122485873,0.35538686849117923,0.040332149980884316,-0.02943019347094895,0.03688651841178171,0.009128757845708772,0.06808991054695726,0.26577044406565997,0.7300456937060138,-0.0069832465494643935,0.007499782534186891,0.03419439391049855,-0.19332403231741072,0.26238750272393124,8.809255729860732
11,4.188079295709811,1.2745001184191038,7.937657447860271,53.68874827045775,43.19637187014803,0.39502000848852364,0.043804846377533506,-0.03182448600069811,0.03979229964781984,0.009910910162866503,0.07368623586248683,0.25885370654076567,0.7097886567559003,-0.007654851397210719,0.008145308715975021,0.02653411102583574,-0.1724589367189841,0.15799466030088444,7.010337647669758
12,4.183136081885311,1.2733100840243647,8.206756373611197,54.24528943093603,43.327229889106945,0.35464038312076906,0.05379279464920539,-0.0391054640605576,0.049220807220350604,0.012334577527700834,0.09067902434185515,0.262889950191208,0.7166492968613333,-0.009084720939393694,0.009677175363529848,0.0310740358034962,-0.1893072669258298,0.21668490055515688,8.446992306754284
13,4.204897677443013,1.2515936373256238,7.188529910273949,54.84863136806176,43.304985476033096,0.3607017859498108,0.026123029347189953,-0.019201983881198335,0.023848120058502308,0.0057499310161446115,0.04422121838954765,0.26573728891246384,0.7416218939497436,-0.004717060923224129,0.005148745922204046,0.03815771630046831,-0.19683869467395895,0.3267368177566403,9.132474754651936
14,4.194723006135541,1.2829013431687397,8.557742341353606,53.47191089504474,43.20039724195131,0.44359686922303,0.06254851723757825,-0.045329344040881576,0.05684601812410926,0.014278339300581578,0.10511619606110593,0.25246917739272995,0.688539086176219,-0.010628902218616626,0.011254318878555167,0.024360304719100237,-0.14915678392124165,0.13316765694107047,5.243889708942305
15,4.17456230878144,1.2772882584745178,8.473839242710874,53.71057311556985,43.291942412176624,0.4027509242843933,0.06286842492667075,-0.04557351640830783,0.05742756619038212,0.01449335577498016,0.10580263534207271,0.26114246134726793,0.7092390607686236,-0.010543459555536108,0.01116234362233715,0.026367737414117402,-0.16539414492674465,0.1560195624474621,6.447744057999675
16,4.199123346645837,1.2803640452785898,8.596078647924916,54.1548565680102,43.30444986904487,0.3592332958588375,0.06529432148426803,-0.04742099375947056,0.0596744528265476,0.014980214916874356,0.10998855939394127,0.2555543222955832,0.6960012411700955,-0.010892110866909954,0.01158497159630959,0.03030323018512691,-0.18312284241547114,0.20606829367758156,7.904102603268454
17,4.2052325880010795,1.2766744049697691,7.239355068832406,53.96091391929235,43.048284924316654,0.3494786650687724,0.025372043597941735,-0.018437939202924917,0.022855880479950623,0.005633151146026999,0.04259477293186535,0.25724928005527664,0.7118356477666057,-0.004696893084958061,0.004997968920745139,0.03311450603840238,-0.20050381694075428,0.24607635646314466,9.475733038872677
18,4.162592775319873,1.2597066356729314,7.7088358310065965,54.136662101799196,43.348293768671546,0.36993175268395634,0.040775220922176926,-0.02973259666643799,0.03734292599075325,0.009276990476036258,0.06884115643689392,0.2726606310409207,0.7470830255838088,-0.007046956443152098,0.007554361802009557,0.0332986173039972,-0.18804822946157151,0.24882025213090603,8.335008078598744
19,4.183387222771728,1.2786058750751266,8.689167029370937,54.46693839286773,43.39728086876358,0.34632608276102017,0.07182867045168234,-0.05212904051471704,0.06598981208050549,0.016698515052463482,0.12111996747972434,0.2622758173184643,0.7099210102676965,-0.011730926222699925,0.012448242171946318,0.028336340477804076,-0.18944408582029218,0.18018591928544292,8.459206584661276
20,4.1902758950427454,1.287114487978984,8.853688252856394,54.23200102153273,43.31883999303969,0.45039645287226565,0.07611835428565196,-0.05507565551144935,0.0696468533240064,0.017711978367102033,0.12805322924255635,0.25729917220082377,0.6952369135194475,-0.012477639007896816,0.013153078204038101,0.023160601057643164,-0.14434366814010918,0.12037407898689151,4.910921621911728
21,4.209730217820617,1.2671472140546507,7.283327454168422,53.7307241475631,43.09515239406203,0.35927376789685767,0.026364590481935114,-0.019248223484208973,0.023801116370719407,0.005792001781628623,0.04437370507102589,0.2559521651761016,0.7128708799360385,-0.004869961782114128,0.005239211905378598,0.03555843218073884,-0.19579758077058607,0.28373867323518637,9.036123761588073
22,4.160159171289691,1.2819461915302883,8.751539775612827,53.93321427417,43.35409443625421,0.3931530158646556,0.07571078181231297,-0.05469879973843729,0.06941864317729148,0.01777551241872656,0.1273539125708779,0.2656024676428904,0.714481179874426,-0.012367930056781226,0.012984491487883627,0.02534512781592559,-0.16726252090945803,0.14415253924961569,6.594240822787871
23,4.209216173990521,1.2646325746272224,8.557615111396863,54.523255546138,43.44222121150656,0.3815968976732531,0.06522374389385348,-0.04776657069345613,0.06002383722797208,0.014786513954207721,0.11046106716761785,0.25693281057883954,0.705855156361462,-0.01076420648924727,0.011673229789802921,0.03309513703701109,-0.17327687682071824,0.2457885756717973,7.076992749720073
24,4.171376195458468,1.2689481248100354,7.904309919750217,54.24510871998245,43.32018334587336,0.3731160479418098,0.04536601730399887,-0.03298732756779438,0.041493043912957266,0.010385412209178987,0.07647364900777714,0.2681990130089447,0.7319002948667207,-0.007772600373516231,0.008279916588829457,0.029986974212569826,-0.18321482063727088,0.2017895249038347,7.912044680526131
25,4.1986703989943335,1.273271783479181,8.094579808562926,54.902693054379974,43.35931206321011,0.31951706625755694,0.04960006167062979,-0.03613255172158372,0.04545684961755848,0.01133656642230714,0.08372034486588113,0.2618936491591065,0.7156170876254148,-0.008380795845094102,0.008967473998877078,0.03432063022334626,-0.20964662415605323,0.2643284039819701,10.359606863871623
26,4.18745080997614,1.2832675237489202,8.171977974815897,53.66737316397047,43.17186894700845,0.3732118124742253,0.0503374882718505,-0.03643391437709387,0.04568119216519172,0.011501116621698046,0.08451756381534417,0.2568631867266492,0.7000981322311993,-0.008698712348659758,0.009177289827344311,0.027073606849594783,-0.17984856559029389,0.16448472060167565,7.623975366078595
27,4.194116598076001,1.2568877266284764,8.956687283398969,54.77164268216791,43.61896624070412,0.44310781402404287,0.08575406163745616,-0.06294867181340516,0.07968020088552089,0.019695244355586818,0.1457390181673902,0.2634277847191281,0.7200639500262153,-0.013574841152109244,0.014800469978684463,0.031271973102794594,-0.14759805510991458,0.21945419811531983,5.1348622475531664
28,4.170270663366751,1.2664894898080912,7.858162227781866,54.499880735376735,43.359193194215855,0.3530959390672484,0.044552710380356825,-0.032430605872095564,0.04083371941427348,0.010209343196382527,0.07517708659824777,0.2704454249769158,0.7380598975514367,-0.00760680538862932,0.008121152038882614,0.03423016508193746,-0.193958672006013,0.2629367633848684,8.867188308260227
29,4.1623835718520805,1.2598786098019377,7.836950496811699,54.42532327259847,43.406122165392865,0.36918752626560186,0.04497533028828317,-0.0328031134940757,0.041321436712399226,0.010294434126313382,0.07600233287436901,0.2737049674490098,0.7479474764658209,-0.007651010095637052,0.008205297915060581,0.03268521479557759,-0.18678848185526623,0.23973752206714405,8.223708585012817
30,4.160605930963222,1.2880772055615417,7.003546459956199,53.911862745947545,42.96411111277458,0.4237995853832685,0.022236945544609917,-0.015987885909193204,0.01996072442093736,0.005070491603112036,0.037127178362435245,0.271283609247741,0.7388846284887363,-0.004157029470003764,0.004311079867537299,0.020460991830697838,-0.16857511491906224,0.0939478161889704,6.698143636732503
31,4.172694971525194,1.2816694463619087,7.79254778436834,54.23018780892588,43.2020093331279,0.3600485828339619,0.04091883048499695,-0.029584484118408555,0.03720040099497419,0.009416768710382696,0.06870246276958845,0.26614055284415983,0.723002000824331,-0.007124947701616634,0.007489066430951425,0.028127463889778593,-0.18950670698177677,0.17753928931292495,8.464799927839206
32,4.187147241237909,1.2595119723455888,8.121344246660788,53.059153038037245,43.26328452323167,0.2823511456371674,0.04985817220204159,-0.036453071277783175,0.045432974851387524,0.011125414730767356,0.08416573232266175,0.25705294066509066,0.7108919240756439,-0.00865124333825693,0.009349547151449015,0.04998221544922026,-0.24223093707815882,0.5606145045336408,13.830145404573386
33,4.178944997810748,1.2797546059312015,8.520615477550251,54.11298722922672,43.32454755224608,0.3498475267279205,0.06472758915956864,-0.04690800199852168,0.05923455940227995,0.0149927353501648,0.1089694132116838,0.2617200938684052,0.7092267968922014,-0.01075760074789489,0.011378312514597921,0.029407636562043298,-0.18916009912836182,0.1940678392121165,8.43386399879939
34,4.182750658741033,1.2655387159822034,7.483690497162159,54.019900347882064,43.217074839556595,0.41399380417202103,0.03281847373118023,-0.023914776649735226,0.02983791264881874,0.007367027143704007,0.055289359236294966,0.2655197228814089,0.7317939645634911,-0.005855781968318015,0.006269406448032502,0.029058206751115093,-0.16896358509291867,0.18948330205463587,6.729050062345762
35,4.18992717714226,1.2507024654313545,7.675283432531392,53.925010135983705,43.342429228073236,0.3947007505910487,0.038225197206663765,-0.02806674153477474,0.03497367700737668,0.00848564909683841,0.06471322511720203,0.26415588600353584,0.7337590712172176,-0.006696106494406333,0.007298951601047584,0.03666625477383453,-0.17671809392316068,0.3016938304260791,7.360877068778468
36,4.175511025619539,1.2896146953804986,7.053615508625624,54.27253928859863,42.98340233224316,0.4325597166293487,0.0226722259458495,-0.0163231017420667,0.020370373593878815,0.0051576729853023365,0.03788492655442599,0.2673735904611881,0.7293453380331589,-0.004218973087832922,0.004389311569127999,0.02320072976148059,-0.163360784900188,0.12079156732793905,6.2901811153228175
37,4.167214917116086,1.2893894779910426,8.415803831117099,53.13227513056685,43.1311969026705,0.36112790465028904,0.059030791721614774,-0.042502897145951464,0.05347768416970013,0.013660746463153794,0.09884772942816111,0.25826472014247526,0.6983637380445723,-0.010113516480863146,0.010541593998424527,0.026646579075198074,-0.18471262748329392,0.1593368578979414,8.04193761466964
38,4.207746727937462,1.2519822105426586,7.0094970364811875,54.460499795609294,43.217240896865796,0.36895802687612766,0.022123547327704364,-0.01625636296909657,0.020097663538721944,0.004822714585573313,0.037398496280853,0.263844180660626,0.7395339344692431,-0.004095544274795893,0.004467003691318334,0.038117715145132514,-0.19487665731231799,0.32605213319826665,8.951321811924982
