channel,status,g_central,g_min,g_max,Gamma_central_keV,Gamma_min_keV,Gamma_max_keV
Bc1(6743) -> Bc gamma,hard_QCDSR_baseline,0.021911863845147424,0.02091750842406343,0.023190709546865862,0.1077437201708047,0.09818682812132674,0.12068725198365984
Bc1(6743) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,-0.061990014815659994,-0.06686478786687017,-0.05832913868780028,46.27474477230915,40.97053912460696,53.83881519630607
Bc1(6750) -> Bc gamma,hard_QCDSR_baseline,-0.3544858268456739,-0.3870680677688645,-0.33119141328306684,29.618651323432996,25.853876173499856,35.31361814703107
Bc1(6750) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,0.36211132199063645,0.33515194140417004,0.40051307028285865,1671.1825633712301,1431.6048686403353,2044.4339040989098
